target,n_trees,strategy,service_time_min,t_max_h,seed,time_limit_sec,k,balance,total_travel_time_sec,route_time_mean_sec,route_time_std_sec,routes_over_t_max,dropped_trees,sum_max_radius_m,interleave_total,interleave_per_route,worst_pair_iou,cost_matrix.total,cost_matrix.cache_lookup,cost_matrix.osrm_fetch,cost_matrix.chunk_assembly,model_build.total,solve.total,solve.first_solution,solve.metaheuristic,solution_extraction.total,metrics.total,pipeline_total
Profiling RP2 - legacy completo (ambas fuentes),1607,global,1.0,2.0,42,180,23,0.9931243010396388,69880,7230,12,22,0,21753,4462,194.0,0.65,0.57,0.57,0.0,0.0,0.005,69.046,1.37,67.676,0.006,0.018,69.644
Profiling RP2 - legacy completo (ambas fuentes),1607,global,1.0,2.0,43,180,23,0.9893965124466719,69844,7228,17,21,0,21756,4463,194.04,0.65,0.565,0.565,0.0,0.0,0.003,29.246,1.381,27.865,0.006,0.017,29.836
Profiling RP2 - legacy completo (ambas fuentes),1607,global,1.0,2.0,44,180,23,0.9931243010396388,69880,7230,12,22,0,21753,4462,194.0,0.65,0.56,0.56,0.0,0.0,0.003,180.002,1.355,178.646,0.006,0.017,180.587
Profiling RP2 - legacy completo (ambas fuentes),1607,global,1.0,3.0,42,180,15,0.8773790003132081,59838,10417,387,1,0,19788,2638,175.87,0.43,0.563,0.563,0.0,0.0,0.003,88.532,1.38,87.152,0.006,0.015,89.118
Profiling RP2 - legacy completo (ambas fuentes),1607,global,1.0,3.0,43,180,15,0.8773790003132081,59944,10424,357,1,0,20638,2962,197.47,0.55,0.56,0.56,0.0,0.0,0.003,84.876,1.384,83.492,0.006,0.015,85.461
Profiling RP2 - legacy completo (ambas fuentes),1607,global,1.0,3.0,44,180,15,0.8773790003132081,59746,10411,389,1,0,19670,2612,174.13,0.43,0.562,0.562,0.0,0.0,0.003,93.645,1.446,92.199,0.006,0.016,94.232
Profiling RP2 - legacy completo (ambas fuentes),1607,global,2.0,2.0,42,180,36,0.996249809722818,67047,7219,6,35,0,22113,3370,93.61,0.48,0.601,0.601,0.0,0.0,0.003,180.05,1.462,178.588,0.006,0.02,180.679
Profiling RP2 - legacy completo (ambas fuentes),1607,global,2.0,2.0,43,180,36,0.996249809722818,67047,7219,6,35,0,22113,3370,93.61,0.48,0.564,0.564,0.0,0.0,0.003,110.867,1.37,109.497,0.006,0.02,111.459
Profiling RP2 - legacy completo (ambas fuentes),1607,global,2.0,2.0,44,180,36,0.996249809722818,67047,7219,6,35,0,22113,3370,93.61,0.48,0.561,0.561,0.0,0.0,0.003,103.895,1.405,102.49,0.006,0.02,104.485
Profiling RP2 - legacy completo (ambas fuentes),1607,global,2.0,3.0,42,180,24,0.864957975431791,56731,10398,393,1,0,21581,2346,97.75,0.42,0.562,0.562,0.0,0.0,0.003,125.876,1.366,124.509,0.006,0.018,126.465
Profiling RP2 - legacy completo (ambas fuentes),1607,global,2.0,3.0,43,180,24,0.864957975431791,56691,10397,390,1,0,21568,2342,97.58,0.42,0.562,0.562,0.0,0.0,0.003,135.521,1.359,134.162,0.006,0.017,136.109
Profiling RP2 - legacy completo (ambas fuentes),1607,global,2.0,3.0,44,180,24,0.864957975431791,56828,10402,391,1,0,21556,2333,97.21,0.42,0.563,0.563,0.0,0.0,0.003,119.255,1.358,117.897,0.006,0.019,119.845
Profiling RP2 - legacy completo (ambas fuentes),1607,global,3.0,2.0,42,180,49,0.9978665927824341,64360,7213,3,49,1,17429,2792,56.98,0.41,0.697,0.697,0.0,0.0,0.003,149.071,1.482,147.589,0.006,0.023,149.8
Profiling RP2 - legacy completo (ambas fuentes),1607,global,3.0,2.0,43,180,49,0.9978665927824341,64360,7213,3,49,1,17429,2792,56.98,0.41,0.564,0.564,0.0,0.0,0.003,149.224,1.366,147.858,0.006,0.023,149.82
Profiling RP2 - legacy completo (ambas fuentes),1607,global,3.0,2.0,44,180,49,0.9978665927824341,64360,7213,3,49,1,17429,2792,56.98,0.41,0.56,0.56,0.0,0.0,0.003,119.269,1.376,117.893,0.006,0.023,119.86
Profiling RP2 - legacy completo (ambas fuentes),1607,global,3.0,3.0,42,180,33,0.8897445390596075,58674,10543,293,2,0,22392,2591,78.52,0.39,0.558,0.558,0.0,0.0,0.003,59.221,1.34,57.881,0.006,0.019,59.807
Profiling RP2 - legacy completo (ambas fuentes),1607,global,3.0,3.0,43,180,33,0.8911144020733062,59720,10575,265,3,0,22423,2556,77.45,0.36,0.562,0.562,0.0,0.0,0.003,29.289,1.366,27.924,0.006,0.019,29.879
Profiling RP2 - legacy completo (ambas fuentes),1607,global,3.0,3.0,44,180,33,0.8897445390596075,58674,10543,293,2,0,22392,2591,78.52,0.39,0.559,0.559,0.0,0.0,0.003,59.235,1.376,57.859,0.006,0.02,59.823
