#,schema_name,table_name,column_name,data_type
1,arbocensus-dev,arbocensus_api_app_answer,id,bigint
2,arbocensus-dev,arbocensus_api_app_answer,date,timestamp with time zone
3,arbocensus-dev,arbocensus_api_app_answer,answer_text,text
4,arbocensus-dev,arbocensus_api_app_answer,answer_url,character varying(300)
5,arbocensus-dev,arbocensus_api_app_answer,sample_id,bigint
6,arbocensus-dev,arbocensus_api_app_answer,step_id,bigint
7,arbocensus-dev,arbocensus_api_app_answer,answer_mark,text
8,arbocensus-dev,arbocensus_api_app_answer,crop_url,character varying(300)
9,arbocensus-dev,arbocensus_api_app_answer,current_latitude,double precision
10,arbocensus-dev,arbocensus_api_app_answer,current_longitude,double precision
11,arbocensus-dev,arbocensus_api_app_answer,device,text
12,arbocensus-dev,arbocensus_api_app_area,id,bigint
13,arbocensus-dev,arbocensus_api_app_area,name,text
14,arbocensus-dev,arbocensus_api_app_area,points_per_sample,integer
15,arbocensus-dev,arbocensus_api_app_area,coordinates,double precision[]
16,arbocensus-dev,arbocensus_api_app_area,campaign_id,bigint
17,arbocensus-dev,arbocensus_api_app_campaign,id,bigint
18,arbocensus-dev,arbocensus_api_app_campaign,name,text
19,arbocensus-dev,arbocensus_api_app_campaign,description,text
20,arbocensus-dev,arbocensus_api_app_campaign,start_date,timestamp with time zone
21,arbocensus-dev,arbocensus_api_app_campaign,end_date,timestamp with time zone
22,arbocensus-dev,arbocensus_api_app_campaign,qr_step_enabled,boolean
23,arbocensus-dev,arbocensus_api_app_campaign,image_resolution,integer
24,arbocensus-dev,arbocensus_api_app_campaign,sponsor_id,bigint
25,arbocensus-dev,arbocensus_api_app_institution,id,bigint
26,arbocensus-dev,arbocensus_api_app_institution,name,text
27,arbocensus-dev,arbocensus_api_app_institution,logo_url,text
28,arbocensus-dev,arbocensus_api_app_participant,id,bigint
29,arbocensus-dev,arbocensus_api_app_participant,is_leader,boolean
30,arbocensus-dev,arbocensus_api_app_participant,application_date,date
31,arbocensus-dev,arbocensus_api_app_participant,resolution_date,date
32,arbocensus-dev,arbocensus_api_app_participant,accepted,boolean
33,arbocensus-dev,arbocensus_api_app_participant,team_id,bigint
34,arbocensus-dev,arbocensus_api_app_participant,user_id,bigint
35,arbocensus-dev,arbocensus_api_app_sample,id,bigint
36,arbocensus-dev,arbocensus_api_app_sample,date,timestamp with time zone
37,arbocensus-dev,arbocensus_api_app_sample,tree_id,text
38,arbocensus-dev,arbocensus_api_app_sample,tree_latitude,double precision
39,arbocensus-dev,arbocensus_api_app_sample,tree_longitude,double precision
40,arbocensus-dev,arbocensus_api_app_sample,completed,boolean
41,arbocensus-dev,arbocensus_api_app_sample,score,integer
42,arbocensus-dev,arbocensus_api_app_sample,area_id,bigint
43,arbocensus-dev,arbocensus_api_app_sample,participant_id,bigint
44,arbocensus-dev,arbocensus_api_app_sample,user_latitude,double precision
45,arbocensus-dev,arbocensus_api_app_sample,user_longitude,double precision
46,arbocensus-dev,arbocensus_api_app_sponsor,id,bigint
47,arbocensus-dev,arbocensus_api_app_sponsor,name,text
48,arbocensus-dev,arbocensus_api_app_sponsor,main_color,text
49,arbocensus-dev,arbocensus_api_app_sponsor,logo_url,text
50,arbocensus-dev,arbocensus_api_app_step,id,bigint
51,arbocensus-dev,arbocensus_api_app_step,type,character varying(1)
52,arbocensus-dev,arbocensus_api_app_step,order,integer
53,arbocensus-dev,arbocensus_api_app_step,optional,boolean
54,arbocensus-dev,arbocensus_api_app_step,title,text
55,arbocensus-dev,arbocensus_api_app_step,description,text
56,arbocensus-dev,arbocensus_api_app_step,alternatives,character varying(200)
57,arbocensus-dev,arbocensus_api_app_step,example_image_url,text
58,arbocensus-dev,arbocensus_api_app_step,campaign_id,bigint
59,arbocensus-dev,arbocensus_api_app_step,drawable_description,text
60,arbocensus-dev,arbocensus_api_app_step,is_image_drawable,boolean
61,arbocensus-dev,arbocensus_api_app_step,is_image_croppable,boolean
62,arbocensus-dev,arbocensus_api_app_step,mask_url,text
63,arbocensus-dev,arbocensus_api_app_step,data_type,character varying(30)
64,arbocensus-dev,arbocensus_api_app_step,suffix,text
65,arbocensus-dev,arbocensus_api_app_team,id,bigint
66,arbocensus-dev,arbocensus_api_app_team,name,text
67,arbocensus-dev,arbocensus_api_app_team,is_public,boolean
68,arbocensus-dev,arbocensus_api_app_team,campaign_id,bigint
69,arbocensus-dev,arbocensus_api_app_team,institution_id,bigint
70,arbocensus-dev,arbocensus_api_app_team,avatar,character varying(255)
71,arbocensus-dev,arbocensus_api_app_team,color,text
72,arbocensus-dev,arbocensus_api_app_user,id,bigint
73,arbocensus-dev,arbocensus_api_app_user,password,character varying(128)
74,arbocensus-dev,arbocensus_api_app_user,last_login,timestamp with time zone
75,arbocensus-dev,arbocensus_api_app_user,is_superuser,boolean
76,arbocensus-dev,arbocensus_api_app_user,username,character varying(255)
77,arbocensus-dev,arbocensus_api_app_user,email,character varying(255)
78,arbocensus-dev,arbocensus_api_app_user,is_verified,boolean
79,arbocensus-dev,arbocensus_api_app_user,is_active,boolean
80,arbocensus-dev,arbocensus_api_app_user,is_staff,boolean
81,arbocensus-dev,arbocensus_api_app_user,created_at,timestamp with time zone
82,arbocensus-dev,arbocensus_api_app_user,updated_at,timestamp with time zone
83,arbocensus-dev,arbocensus_api_app_user,auth_provider,character varying(255)
84,arbocensus-dev,arbocensus_api_app_user,current_tutorial_step,integer
85,arbocensus-dev,arbocensus_api_app_user,has_completed_tutorial,boolean
86,arbocensus-dev,arbocensus_api_app_user_groups,id,bigint
87,arbocensus-dev,arbocensus_api_app_user_groups,user_id,bigint
88,arbocensus-dev,arbocensus_api_app_user_groups,group_id,integer
89,arbocensus-dev,arbocensus_api_app_user_user_permissions,id,bigint
90,arbocensus-dev,arbocensus_api_app_user_user_permissions,user_id,bigint
91,arbocensus-dev,arbocensus_api_app_user_user_permissions,permission_id,integer
92,arbocensus-dev,auth_group,id,integer
93,arbocensus-dev,auth_group,name,character varying(150)
94,arbocensus-dev,auth_group_permissions,id,bigint
95,arbocensus-dev,auth_group_permissions,group_id,integer
96,arbocensus-dev,auth_group_permissions,permission_id,integer
97,arbocensus-dev,auth_permission,id,integer
98,arbocensus-dev,auth_permission,name,character varying(255)
99,arbocensus-dev,auth_permission,content_type_id,integer
100,arbocensus-dev,auth_permission,codename,character varying(100)
101,arbocensus-dev,django_admin_log,id,integer
102,arbocensus-dev,django_admin_log,action_time,timestamp with time zone
103,arbocensus-dev,django_admin_log,object_id,text
104,arbocensus-dev,django_admin_log,object_repr,character varying(200)
105,arbocensus-dev,django_admin_log,action_flag,smallint
106,arbocensus-dev,django_admin_log,change_message,text
107,arbocensus-dev,django_admin_log,content_type_id,integer
108,arbocensus-dev,django_admin_log,user_id,bigint
109,arbocensus-dev,django_content_type,id,integer
110,arbocensus-dev,django_content_type,app_label,character varying(100)
111,arbocensus-dev,django_content_type,model,character varying(100)
112,arbocensus-dev,django_migrations,id,bigint
113,arbocensus-dev,django_migrations,app,character varying(255)
114,arbocensus-dev,django_migrations,name,character varying(255)
115,arbocensus-dev,django_migrations,applied,timestamp with time zone
116,arbocensus-dev,django_session,session_key,character varying(40)
117,arbocensus-dev,django_session,session_data,text
118,arbocensus-dev,django_session,expire_date,timestamp with time zone
119,arbocensus-dev,postgres_arbocensus_dev_cwvglxcrsikm_us_east_2_rds_amazonaws_co,c1,text
120,arbocensus-gamification-dev,alembic_version,version_num,character varying(32)
121,arbocensus-gamification-dev,area_param,id,bigint
122,arbocensus-gamification-dev,area_param,area_name,character varying
123,arbocensus-gamification-dev,area_param,campaign_id,bigint
124,arbocensus-gamification-dev,area_param,points,bigint
125,arbocensus-gamification-dev,badge,id,integer
126,arbocensus-gamification-dev,badge,name,character varying
127,arbocensus-gamification-dev,badge,badge_type,character varying
128,arbocensus-gamification-dev,badge,campaign_id,integer
129,arbocensus-gamification-dev,badge,score_on_completion,integer
130,arbocensus-gamification-dev,badge,score_on_first_completion,integer
131,arbocensus-gamification-dev,badge,completed,boolean
132,arbocensus-gamification-dev,badge,created_at,timestamp with time zone
133,arbocensus-gamification-dev,badge,updated_at,timestamp with time zone
134,arbocensus-gamification-dev,badge,users_that_completed,integer[]
135,arbocensus-gamification-dev,badge,user_that_completed_first,integer
136,arbocensus-gamification-dev,campaign,id,integer
137,arbocensus-gamification-dev,campaign,description,character varying
138,arbocensus-gamification-dev,campaign,start_date,timestamp with time zone
139,arbocensus-gamification-dev,campaign,end_date,timestamp with time zone
140,arbocensus-gamification-dev,challenge,id,integer
141,arbocensus-gamification-dev,challenge,campaign_id,integer
142,arbocensus-gamification-dev,challenge,description,character varying
143,arbocensus-gamification-dev,challenge,start_date,timestamp with time zone
144,arbocensus-gamification-dev,challenge,end_date,timestamp with time zone
145,arbocensus-gamification-dev,challenge,area_param_id,integer
146,arbocensus-gamification-dev,challenge,amount_required,integer
147,arbocensus-gamification-dev,challenge,challenge_type,character varying
148,arbocensus-gamification-dev,challenge,challenge_scope,character varying
149,arbocensus-gamification-dev,challenge,score_on_completion,integer
150,arbocensus-gamification-dev,challenge,who_completed,integer
151,arbocensus-gamification-dev,challenge,completed,boolean
152,arbocensus-gamification-dev,challenge,created_at,timestamp with time zone
153,arbocensus-gamification-dev,challenge,updated_at,timestamp with time zone
154,arbocensus-gamification-dev,event,id,integer
155,arbocensus-gamification-dev,event,user_id,integer
156,arbocensus-gamification-dev,event,description,character varying
157,arbocensus-gamification-dev,event,url,character varying
158,arbocensus-gamification-dev,event,created_at,timestamp without time zone
159,arbocensus-gamification-dev,flag,id,integer
160,arbocensus-gamification-dev,flag,enabled,boolean
161,arbocensus-gamification-dev,flag,url,character varying
162,arbocensus-gamification-dev,individual_achievement,id,integer
163,arbocensus-gamification-dev,individual_achievement,description,character varying
164,arbocensus-gamification-dev,individual_achievement,badge_id,integer
165,arbocensus-gamification-dev,individual_achievement,campaign_id,integer
166,arbocensus-gamification-dev,individual_achievement,time_param_id,integer
167,arbocensus-gamification-dev,individual_achievement,area_param_id,integer
168,arbocensus-gamification-dev,individual_achievement,amount_required,integer
169,arbocensus-gamification-dev,individual_achievement,completed,boolean
170,arbocensus-gamification-dev,individual_achievement,score_on_completion,integer
171,arbocensus-gamification-dev,individual_achievement,score_on_first_completion,integer
172,arbocensus-gamification-dev,individual_achievement,users_that_completed,integer[]
173,arbocensus-gamification-dev,individual_achievement,users_that_completed_first,integer
174,arbocensus-gamification-dev,individual_achievement,created_at,timestamp with time zone
175,arbocensus-gamification-dev,individual_achievement,updated_at,timestamp with time zone
176,arbocensus-gamification-dev,notification,id,integer
177,arbocensus-gamification-dev,notification,user_id,integer
178,arbocensus-gamification-dev,notification,title,character varying
179,arbocensus-gamification-dev,notification,description,character varying
180,arbocensus-gamification-dev,notification,href,character varying
181,arbocensus-gamification-dev,notification,created_at,timestamp with time zone
182,arbocensus-gamification-dev,notification,updated_at,timestamp with time zone
183,arbocensus-gamification-dev,notification,read,boolean
184,arbocensus-gamification-dev,sample,id,integer
185,arbocensus-gamification-dev,sample,campaign_id,integer
186,arbocensus-gamification-dev,sample,team_score_id,integer
187,arbocensus-gamification-dev,sample,user_score_id,integer
188,arbocensus-gamification-dev,sample,area_id,integer
189,arbocensus-gamification-dev,sample,score,integer
190,arbocensus-gamification-dev,sample,user_score_added,integer
191,arbocensus-gamification-dev,sample,team_score_added,integer
192,arbocensus-gamification-dev,sample,latitude,double precision
193,arbocensus-gamification-dev,sample,longitude,double precision
194,arbocensus-gamification-dev,sample,created_at,timestamp with time zone
195,arbocensus-gamification-dev,sample,updated_at,timestamp with time zone
196,arbocensus-gamification-dev,team_achievement,id,integer
197,arbocensus-gamification-dev,team_achievement,description,character varying
