slug,n_trees,strategy,cost_matrix.total,cost_matrix.cache_lookup,cost_matrix.hash,cost_matrix.persist,cost_matrix.osrm_fetch,cost_matrix.chunk_assembly,cost_matrix.single_request,cost_matrix.chunked_diagonal,cost_matrix.chunked_offdiagonal,model_build.total,model_build.geo_matrix,model_build.disjunctions,model_build.vehicle_bounds,model_build.search_params,solve.total,solve.first_solution,solve.metaheuristic,solution_extraction.total,metrics.total,pipeline_total
battery-n50,50,global,0.989,0.001,0.0,0.008,0.489,0.001,0.489,0.0,0.0,0.003,0.0,0.0,0.0,0.002,5.0,0.005,4.994,0.0,0.0,5.992
battery-n50,50,spatial_term,0.962,0.0,0.0,0.004,0.478,0.001,0.478,0.0,0.0,0.002,0.002,0.0,0.0,0.0,4.999,0.008,4.991,0.0,0.0,5.964
battery-n100,100,global,1.931,0.0,0.0,0.01,0.96,0.001,0.96,0.0,0.0,0.001,0.0,0.0,0.0,0.0,5.0,0.012,4.988,0.0,0.001,6.933
battery-n100,100,spatial_term,2.044,0.0,0.0,0.01,1.016,0.001,1.016,0.0,0.0,0.007,0.006,0.0,0.0,0.0,5.0,0.021,4.979,0.0,0.001,7.052
battery-n200,200,global,4.701,0.0,0.0,0.031,2.332,0.003,2.334,0.0,0.0,0.001,0.0,0.0,0.0,0.0,5.0,0.033,4.967,0.001,0.002,9.704
battery-n200,200,spatial_term,4.531,0.0,0.0,0.031,2.247,0.003,2.249,0.0,0.0,0.026,0.026,0.0,0.0,0.0,5.001,0.063,4.937,0.001,0.002,9.56
battery-n400,400,global,25.659,0.0,0.0,0.119,12.758,0.014,0.0,4.362,8.405,0.001,0.0,0.0,0.0,0.0,5.0,0.109,4.891,0.002,0.003,30.665
battery-n400,400,spatial_term,27.132,0.001,0.0,0.134,13.486,0.014,0.0,4.718,8.778,0.106,0.104,0.0,0.0,0.0,5.003,0.207,4.796,0.003,0.005,32.249
battery-n800,800,global,92.022,0.0,0.0,0.458,45.738,0.052,0.0,8.991,36.783,0.002,0.0,0.001,0.0,0.0,5.005,0.399,4.607,0.003,0.008,97.041
battery-n800,800,spatial_term,91.271,0.0,0.0,0.438,45.374,0.048,0.0,8.989,36.421,0.424,0.422,0.001,0.0,0.0,5.002,0.751,4.251,0.003,0.008,96.708
battery-n1000,1000,global,133.623,0.001,0.001,0.693,66.4,0.074,0.0,11.029,55.426,0.002,0.0,0.001,0.0,0.0,5.002,0.587,4.414,0.004,0.01,138.641
battery-n1000,1000,spatial_term,132.958,0.001,0.001,0.67,66.079,0.074,0.0,10.83,55.304,0.642,0.64,0.001,0.0,0.0,5.004,1.09,3.915,0.004,0.01,138.618
battery-sparse-n250,250,global,6.117,0.0,0.0,0.043,3.033,0.004,3.036,0.0,0.0,0.001,0.0,0.0,0.0,0.0,5.0,0.047,4.954,0.001,0.002,11.121
battery-sparse-n250,250,spatial_term,5.973,0.0,0.0,0.044,2.961,0.005,2.963,0.0,0.0,0.04,0.039,0.0,0.0,0.0,5.0,0.085,4.915,0.001,0.002,11.016
battery-sparse-n500,500,global,32.932,0.0,0.0,0.165,16.367,0.019,0.0,5.337,11.043,0.001,0.0,0.001,0.0,0.0,5.001,0.158,4.843,0.002,0.004,37.941
battery-sparse-n500,500,spatial_term,34.499,0.0,0.0,0.17,17.148,0.019,0.0,5.706,11.455,0.164,0.162,0.001,0.0,0.0,5.001,0.306,4.694,0.002,0.005,39.67
