source,instance,n,cell,seed,k,travel_sec,relleno_sec,msf_k_sec,relleno_msf_sec,ub_k_sec,relleno_ub_sec
arc-weight-crossings-20260724.csv,reference-n1607,1607,arc-w1,1,25,59647,32591,30823,28824,39695,19952
arc-weight-crossings-20260724.csv,reference-n1607,1607,arc-w30,1,25,62166,35110,30823,31343,39695,22471
arc-weight-crossings-20260724.csv,battery-n50,50,arc-w1,1,2,8378,6354,1975,6403,2414,5964
arc-weight-crossings-20260724.csv,battery-n50,50,arc-w1,2,2,8398,6374,1975,6423,2414,5984
arc-weight-crossings-20260724.csv,battery-n50,50,arc-w1,3,2,8399,6375,1975,6424,2414,5985
arc-weight-crossings-20260724.csv,battery-n50,50,arc-w3,1,2,8384,6360,1975,6409,2414,5970
arc-weight-crossings-20260724.csv,battery-n50,50,arc-w3,2,2,8382,6358,1975,6407,2414,5968
arc-weight-crossings-20260724.csv,battery-n50,50,arc-w3,3,2,8379,6355,1975,6404,2414,5965
arc-weight-crossings-20260724.csv,battery-n50,50,arc-w10,1,1,3266,1199,2746,520,3266,0
arc-weight-crossings-20260724.csv,battery-n50,50,arc-w10,2,2,8387,6363,1975,6412,2414,5973
arc-weight-crossings-20260724.csv,battery-n50,50,arc-w10,3,1,3266,1199,2746,520,3266,0
arc-weight-crossings-20260724.csv,battery-n50,50,arc-w30,1,1,3266,1199,2746,520,3266,0
arc-weight-crossings-20260724.csv,battery-n50,50,arc-w30,2,1,3315,1248,2746,569,3266,49
arc-weight-crossings-20260724.csv,battery-n50,50,arc-w30,3,1,3266,1199,2746,520,3266,0
arc-weight-crossings-20260724.csv,battery-n100,100,arc-w1,1,2,4295,1835,2601,1694,3239,1056
arc-weight-crossings-20260724.csv,battery-n100,100,arc-w1,2,2,4079,1619,2601,1478,3239,840
arc-weight-crossings-20260724.csv,battery-n100,100,arc-w1,3,2,4336,1876,2601,1735,3239,1097
arc-weight-crossings-20260724.csv,battery-n100,100,arc-w3,1,2,4103,1643,2601,1502,3239,864
arc-weight-crossings-20260724.csv,battery-n100,100,arc-w3,2,2,4019,1559,2601,1418,3239,780
arc-weight-crossings-20260724.csv,battery-n100,100,arc-w3,3,2,4063,1603,2601,1462,3239,824
arc-weight-crossings-20260724.csv,battery-n100,100,arc-w10,1,2,4082,1622,2601,1481,3239,843
arc-weight-crossings-20260724.csv,battery-n100,100,arc-w10,2,2,3844,1384,2601,1243,3239,605
arc-weight-crossings-20260724.csv,battery-n100,100,arc-w10,3,2,3845,1385,2601,1244,3239,606
arc-weight-crossings-20260724.csv,battery-n100,100,arc-w30,1,2,3852,1392,2601,1251,3239,613
arc-weight-crossings-20260724.csv,battery-n100,100,arc-w30,2,2,3811,1351,2601,1210,3239,572
arc-weight-crossings-20260724.csv,battery-n100,100,arc-w30,3,2,3831,1371,2601,1230,3239,592
arc-weight-crossings-20260724.csv,battery-n200,200,arc-w1,1,4,8002,4524,4541,3461,6202,1800
arc-weight-crossings-20260724.csv,battery-n200,200,arc-w1,2,4,8254,4776,4541,3713,6202,2052
arc-weight-crossings-20260724.csv,battery-n200,200,arc-w1,3,4,8332,4854,4541,3791,6202,2130
arc-weight-crossings-20260724.csv,battery-n200,200,arc-w3,1,4,7400,3922,4541,2859,6202,1198
arc-weight-crossings-20260724.csv,battery-n200,200,arc-w3,2,4,7571,4093,4541,3030,6202,1369
arc-weight-crossings-20260724.csv,battery-n200,200,arc-w3,3,4,7785,4307,4541,3244,6202,1583
arc-weight-crossings-20260724.csv,battery-n200,200,arc-w10,1,4,7410,3932,4541,2869,6202,1208
arc-weight-crossings-20260724.csv,battery-n200,200,arc-w10,2,4,7723,4245,4541,3182,6202,1521
arc-weight-crossings-20260724.csv,battery-n200,200,arc-w10,3,4,7323,3845,4541,2782,6202,1121
arc-weight-crossings-20260724.csv,battery-n200,200,arc-w30,1,4,6916,3438,4541,2375,6202,714
arc-weight-crossings-20260724.csv,battery-n200,200,arc-w30,2,4,7084,3606,4541,2543,6202,882
arc-weight-crossings-20260724.csv,battery-n200,200,arc-w30,3,4,7433,3955,4541,2892,6202,1231
arc-weight-crossings-20260724.csv,battery-n400,400,arc-w1,1,7,14251,8733,7314,6937,,
arc-weight-crossings-20260724.csv,battery-n400,400,arc-w1,2,7,14220,8702,7314,6906,,
arc-weight-crossings-20260724.csv,battery-n400,400,arc-w1,3,6,11942,6410,7477,4465,10303,1639
arc-weight-crossings-20260724.csv,battery-n400,400,arc-w3,1,6,12495,6963,7477,5018,10303,2192
arc-weight-crossings-20260724.csv,battery-n400,400,arc-w3,2,7,14327,8809,7314,7013,,
arc-weight-crossings-20260724.csv,battery-n400,400,arc-w3,3,7,15767,10249,7314,8453,,
arc-weight-crossings-20260724.csv,battery-n400,400,arc-w10,1,6,12409,6877,7477,4932,10303,2106
arc-weight-crossings-20260724.csv,battery-n400,400,arc-w10,2,6,11472,5940,7477,3995,10303,1169
arc-weight-crossings-20260724.csv,battery-n400,400,arc-w10,3,6,12136,6604,7477,4659,10303,1833
arc-weight-crossings-20260724.csv,battery-n400,400,arc-w30,1,7,15888,10370,7314,8574,,
arc-weight-crossings-20260724.csv,battery-n400,400,arc-w30,2,7,14882,9364,7314,7568,,
arc-weight-crossings-20260724.csv,battery-n400,400,arc-w30,3,7,14072,8554,7314,6758,,
arc-weight-crossings-20260724.csv,battery-n800,800,arc-w1,1,12,19262,10299,12392,6870,,
arc-weight-crossings-20260724.csv,battery-n800,800,arc-w1,2,12,20036,11073,12392,7644,,
arc-weight-crossings-20260724.csv,battery-n800,800,arc-w1,3,12,19771,10808,12392,7379,,
arc-weight-crossings-20260724.csv,battery-n800,800,arc-w3,1,12,19304,10341,12392,6912,,
arc-weight-crossings-20260724.csv,battery-n800,800,arc-w3,2,12,20217,11254,12392,7825,,
arc-weight-crossings-20260724.csv,battery-n800,800,arc-w3,3,12,19969,11006,12392,7577,,
arc-weight-crossings-20260724.csv,battery-n800,800,arc-w10,1,12,19775,10812,12392,7383,,
arc-weight-crossings-20260724.csv,battery-n800,800,arc-w10,2,12,20084,11121,12392,7692,,
arc-weight-crossings-20260724.csv,battery-n800,800,arc-w10,3,12,20685,11722,12392,8293,,
arc-weight-crossings-20260724.csv,battery-n800,800,arc-w30,1,12,18931,9968,12392,6539,,
arc-weight-crossings-20260724.csv,battery-n800,800,arc-w30,2,12,21141,12178,12392,8749,,
arc-weight-crossings-20260724.csv,battery-n800,800,arc-w30,3,12,20500,11537,12392,8108,,
arc-weight-crossings-20260724.csv,battery-n1000,1000,arc-w1,1,15,27894,16942,15438,12456,,
arc-weight-crossings-20260724.csv,battery-n1000,1000,arc-w1,2,15,27272,16320,15438,11834,,
arc-weight-crossings-20260724.csv,battery-n1000,1000,arc-w1,3,15,27575,16623,15438,12137,,
arc-weight-crossings-20260724.csv,battery-n1000,1000,arc-w3,1,14,23960,12997,15529,8431,,
arc-weight-crossings-20260724.csv,battery-n1000,1000,arc-w3,2,14,23393,12430,15529,7864,,
arc-weight-crossings-20260724.csv,battery-n1000,1000,arc-w3,3,15,25868,14916,15438,10430,,
arc-weight-crossings-20260724.csv,battery-n1000,1000,arc-w10,1,14,24351,13388,15529,8822,,
arc-weight-crossings-20260724.csv,battery-n1000,1000,arc-w10,2,14,23972,13009,15529,8443,,
arc-weight-crossings-20260724.csv,battery-n1000,1000,arc-w10,3,14,23651,12688,15529,8122,,
arc-weight-crossings-20260724.csv,battery-n1000,1000,arc-w30,1,14,24192,13229,15529,8663,,
arc-weight-crossings-20260724.csv,battery-n1000,1000,arc-w30,2,14,23062,12099,15529,7533,,
arc-weight-crossings-20260724.csv,battery-n1000,1000,arc-w30,3,14,25419,14456,15529,9890,,
arc-weight-crossings-20260724.csv,battery-sparse-n250,250,arc-w1,1,6,16513,8137,10927,5586,13653,2860
arc-weight-crossings-20260724.csv,battery-sparse-n250,250,arc-w1,2,6,15498,7122,10927,4571,13653,1845
arc-weight-crossings-20260724.csv,battery-sparse-n250,250,arc-w1,3,6,16155,7779,10927,5228,13653,2502
arc-weight-crossings-20260724.csv,battery-sparse-n250,250,arc-w3,1,6,15289,6913,10927,4362,13653,1636
arc-weight-crossings-20260724.csv,battery-sparse-n250,250,arc-w3,2,6,15414,7038,10927,4487,13653,1761
arc-weight-crossings-20260724.csv,battery-sparse-n250,250,arc-w3,3,5,15646,7236,11132,4514,13901,1745
arc-weight-crossings-20260724.csv,battery-sparse-n250,250,arc-w10,1,6,14840,6464,10927,3913,13653,1187
arc-weight-crossings-20260724.csv,battery-sparse-n250,250,arc-w10,2,6,15718,7342,10927,4791,13653,2065
arc-weight-crossings-20260724.csv,battery-sparse-n250,250,arc-w10,3,5,15602,7192,11132,4470,13901,1701
arc-weight-crossings-20260724.csv,battery-sparse-n250,250,arc-w30,1,6,14639,6263,10927,3712,13653,986
arc-weight-crossings-20260724.csv,battery-sparse-n250,250,arc-w30,2,6,15797,7421,10927,4870,13653,2144
arc-weight-crossings-20260724.csv,battery-sparse-n250,250,arc-w30,3,6,14642,6266,10927,3715,13653,989
arc-weight-crossings-20260724.csv,battery-sparse-n500,500,arc-w1,1,8,18842,9380,13517,5325,,
arc-weight-crossings-20260724.csv,battery-sparse-n500,500,arc-w1,2,9,21861,12419,13401,8460,,
arc-weight-crossings-20260724.csv,battery-sparse-n500,500,arc-w1,3,9,21509,12067,13401,8108,,
arc-weight-crossings-20260724.csv,battery-sparse-n500,500,arc-w3,1,8,19408,9946,13517,5891,,
arc-weight-crossings-20260724.csv,battery-sparse-n500,500,arc-w3,2,8,18856,9394,13517,5339,,
arc-weight-crossings-20260724.csv,battery-sparse-n500,500,arc-w3,3,8,19318,9856,13517,5801,,
arc-weight-crossings-20260724.csv,battery-sparse-n500,500,arc-w10,1,9,25792,16350,13401,12391,,
arc-weight-crossings-20260724.csv,battery-sparse-n500,500,arc-w10,2,8,19755,10293,13517,6238,,
arc-weight-crossings-20260724.csv,battery-sparse-n500,500,arc-w10,3,8,18785,9323,13517,5268,,
arc-weight-crossings-20260724.csv,battery-sparse-n500,500,arc-w30,1,8,19039,9577,13517,5522,,
arc-weight-crossings-20260724.csv,battery-sparse-n500,500,arc-w30,2,8,19427,9965,13517,5910,,
arc-weight-crossings-20260724.csv,battery-sparse-n500,500,arc-w30,3,8,19872,10410,13517,6355,,
arc-weight-crossings-20260724.csv,area-26-n157,157,arc-w1,1,3,5193,2810,3618,1575,4290,903
arc-weight-crossings-20260724.csv,area-26-n157,157,arc-w1,2,3,4768,2385,3618,1150,4290,478
