instance,n,axis,cell,strategy,balance_arm,soft_lower_penalty,soft_upper_target,span_coef,spatial_span_coef,stops_floor_penalty,max_vehicles_forced,time_global_span_coef,post_resequence,arc_lambda,arc_tau,arc_coef,cluster_neighbors,cluster_count,vehicles_per_cluster,warm_start,seed,starts,budget_mode,start_time_limit_sec,k,drops,degenerate_routes,travel_sec,balance,sigma_t_sec,dur_min_sec,dur_median_sec,dur_max_sec,crossings_chord,crossings_road,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,msf_k_sec,relleno_msf_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec,two_opt_gap
reference-n1607,1607,arc-weight,arc-w1,spatial_term,actual,10000,midpoint,0,3,10000,,0,False,0.0,44.1,1,,,,,1,1,per-start,120,25,0,0,59647,0.83,550,8935,10172,10766,67,45,0.395,113.64,0.236,0.935,0.714,32591,30823,28824,11401,122.6,0.566,1.68,2.87,117.134,0.006,0.0176
reference-n1607,1607,arc-weight,arc-w30,spatial_term,actual,10000,midpoint,0,3,10000,,0,False,0.0,44.1,30,,,,,1,1,per-start,120,25,0,0,62166,0.84,508,9041,10327,10762,57,41,0.397,164.4,0.244,0.944,0.714,35110,30823,31343,11521,122.6,0.558,1.69,2.96,117.042,0.006,0.0076
battery-n50,50,arc-weight,arc-w1,spatial_term,actual,10000,midpoint,0,3,10000,,0,False,0.0,112.6,1,,,,,1,1,per-start,105,2,0,0,8378,0.999,2,7187,7189,7191,4,0,0.218,21.5,0.583,0.665,0.278,6354,1975,6403,8400,105.05,0.001,0.005,0.009,104.979,0.0,0.454
battery-n50,50,arc-weight,arc-w1,spatial_term,actual,10000,midpoint,0,3,10000,,0,False,0.0,112.6,1,,,,,2,1,per-start,105,2,0,0,8398,0.998,8,7191,7199,7207,6,4,0.195,16.5,0.583,0.667,0.278,6374,1975,6423,8400,105.02,0.001,0.002,0.008,104.992,0.0,0.4368
battery-n50,50,arc-weight,arc-w1,spatial_term,actual,10000,midpoint,0,3,10000,,0,False,0.0,112.6,1,,,,,3,1,per-start,105,2,0,0,8399,0.998,8,7191,7200,7208,5,6,0.186,10.5,0.583,0.667,0.278,6375,1975,6424,8400,105.02,0.001,0.002,0.008,104.991,0.0,0.4811
battery-n50,50,arc-weight,arc-w3,spatial_term,actual,10000,midpoint,0,3,10000,,0,False,0.0,112.6,3,,,,,1,1,per-start,105,2,0,0,8384,0.999,2,7190,7192,7194,13,2,0.203,16.5,0.583,0.666,0.278,6360,1975,6409,8400,105.04,0.001,0.002,0.008,104.992,0.0,0.3971
battery-n50,50,arc-weight,arc-w3,spatial_term,actual,10000,midpoint,0,3,10000,,0,False,0.0,112.6,3,,,,,2,1,per-start,105,2,0,0,8382,1.0,1,7190,7191,7192,3,3,0.214,21.5,0.583,0.666,0.278,6358,1975,6407,8400,105.02,0.001,0.002,0.01,104.99,0.0,0.4096
battery-n50,50,arc-weight,arc-w3,spatial_term,actual,10000,midpoint,0,3,10000,,0,False,0.0,112.6,3,,,,,3,1,per-start,105,2,0,0,8379,1.0,2,7188,7190,7191,12,5,0.143,10.5,0.583,0.666,0.278,6355,1975,6404,8400,105.03,0.001,0.002,0.008,104.994,0.0,0.5489
battery-n50,50,arc-weight,arc-w10,spatial_term,actual,10000,midpoint,0,3,10000,,0,False,0.0,112.6,10,,,,,1,1,per-start,105,1,0,0,3266,1.0,0,9266,9266,9266,3,0,0.0,0.0,0.352,0.858,0.556,1199,2746,520,1200,105.02,0.001,0.002,0.008,104.992,0.0,0.0
battery-n50,50,arc-weight,arc-w10,spatial_term,actual,10000,midpoint,0,3,10000,,0,False,0.0,112.6,10,,,,,2,1,per-start,105,2,0,0,8387,0.999,4,7189,7194,7198,6,3,0.172,13.5,0.583,0.666,0.278,6363,1975,6412,8400,105.03,0.001,0.002,0.008,104.992,0.001,0.4934
