instance,n,axis,cell,strategy,balance_arm,soft_lower_penalty,soft_upper_target,span_coef,spatial_span_coef,stops_floor_penalty,max_vehicles_forced,max_vehicles,exempt_lower_vehicle,exempt_upper_vehicle,exempt_vehicles_inactive,time_global_span_coef,post_resequence,arc_lambda,arc_tau,arc_coef,cluster_neighbors,cluster_count,vehicles_per_cluster,warm_start,seed,starts,budget_mode,start_time_limit_sec,k,drops,degenerate_routes,short_routes,travel_sec,balance,balance_excl_min,sigma_t_sec,dur_min_sec,dur_median_sec,dur_max_sec,crossings_chord,crossings_road,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,msf_k_sec,relleno_msf_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec,two_opt_gap
area-26-n157,157,config,actual,spatial_term,actual,10000,midpoint,0,3,10000,,8,,,0,0,True,0.0,48.1,1,,,,,42,1,per-start,120,3,0,0,0,5168,0.924,0.974,260,7656,8069,8283,2,6,0.23,12.0,0.215,0.741,0.581,2785,3618,1550,2760,120.32,0.009,0.029,0.062,119.94,0.003,0.0
area-26-n157,157,config,actual,spatial_term,actual,10000,midpoint,0,3,10000,,8,,,0,0,True,0.0,48.1,1,,,,,43,1,per-start,120,3,0,0,0,5020,0.884,0.97,413,7387,8112,8361,1,2,0.02,3.0,0.21,0.736,0.581,2637,3618,1402,2760,120.11,0.011,0.021,0.056,119.944,0.002,0.0
area-26-n157,157,config,actual,spatial_term,actual,10000,midpoint,0,3,10000,,8,,,0,0,True,0.0,48.1,1,,,,,44,1,per-start,120,3,0,0,0,4618,0.806,0.873,704,7057,7646,8755,6,6,0.11,5.67,0.197,0.724,0.581,2235,3618,1000,2760,120.1,0.008,0.018,0.051,119.951,0.002,0.0
area-27-n72,72,config,actual,spatial_term,actual,10000,midpoint,0,3,10000,,7,,,0,0,True,0.0,29.8,1,,,,,42,1,per-start,120,2,0,0,0,2251,0.831,1.0,502,4944,5446,5947,2,4,0.46,22.0,0.207,0.505,0.4,1720,914,1337,5760,120.1,0.003,0.012,0.022,119.979,0.001,0.0
area-27-n72,72,config,actual,spatial_term,actual,10000,midpoint,0,3,10000,,7,,,0,0,True,0.0,29.8,1,,,,,43,1,per-start,120,2,0,0,0,2739,0.821,1.0,560,5129,5690,6250,2,2,0.59,24.5,0.241,0.527,0.4,2208,914,1825,5760,120.06,0.002,0.004,0.016,119.985,0.001,0.0
area-27-n72,72,config,actual,spatial_term,actual,10000,midpoint,0,3,10000,,7,,,0,0,True,0.0,29.8,1,,,,,44,1,per-start,120,2,0,0,0,2390,0.827,1.0,521,4994,5515,6036,3,3,0.54,22.0,0.217,0.511,0.4,1859,914,1476,5760,120.13,0.002,0.005,0.017,119.941,0.002,0.0
area-29-n43,43,config,actual,spatial_term,actual,10000,midpoint,0,3,10000,,6,,,0,0,True,0.0,27.6,1,,,,,42,1,per-start,94,1,0,0,0,956,1.0,1.0,0,6116,6116,6116,6,1,0.0,0.0,0.156,0.566,0.478,568,789,167,2040,94.12,0.002,0.029,0.022,93.98,0.001,0.0
area-29-n43,43,config,actual,spatial_term,actual,10000,midpoint,0,3,10000,,6,,,0,0,True,0.0,27.6,1,,,,,43,1,per-start,94,1,0,0,0,962,1.0,1.0,0,6122,6122,6122,6,0,0.0,0.0,0.157,0.567,0.478,574,789,173,2040,94.04,0.001,0.002,0.007,93.992,0.001,0.0
area-29-n43,43,config,actual,spatial_term,actual,10000,midpoint,0,3,10000,,6,,,0,0,True,0.0,27.6,1,,,,,44,1,per-start,94,1,0,0,0,1075,1.0,1.0,0,6235,6235,6235,3,3,0.0,0.0,0.172,0.577,0.478,687,789,286,2040,94.04,0.002,0.002,0.007,93.992,0.001,0.0
areas-26-27-29-n272,272,config,actual,spatial_term,actual,10000,midpoint,0,3,10000,,11,,,0,0,True,0.0,45.7,1,,,,,42,1,per-start,120,5,0,0,0,10418,0.878,0.957,404,7848,8819,8938,5,10,0.6,31.6,0.242,0.798,0.604,7107,5410,5008,3840,120.33,0.032,0.066,0.144,119.856,0.003,0.0
areas-26-27-29-n272,272,config,actual,spatial_term,actual,10000,midpoint,0,3,10000,,11,,,0,0,True,0.0,45.7,1,,,,,43,1,per-start,120,5,0,0,0,10589,0.933,0.947,242,8294,8785,8893,9,7,0.26,48.4,0.245,0.8,0.604,7278,5410,5179,3960,120.17,0.026,0.048,0.102,119.898,0.003,0.0
areas-26-27-29-n272,272,config,actual,spatial_term,actual,10000,midpoint,0,3,10000,,11,,,0,0,True,0.0,45.7,1,,,,,44,1,per-start,120,5,0,0,0,9363,0.896,0.969,329,7767,8558,8666,11,6,0.46,18.4,0.223,0.778,0.604,6052,5410,3953,3480,120.18,0.025,0.051,0.106,119.895,0.003,0.0
