instance,n,axis,cell,strategy,balance_arm,soft_lower_penalty,soft_upper_target,span_coef,spatial_span_coef,stops_floor_penalty,max_vehicles_forced,max_vehicles,exempt_lower_vehicle,exempt_upper_vehicle,exempt_vehicles_inactive,time_global_span_coef,post_resequence,arc_lambda,arc_tau,arc_coef,cluster_neighbors,cluster_count,vehicles_per_cluster,warm_start,seed,starts,budget_mode,start_time_limit_sec,k,drops,degenerate_routes,short_routes,travel_sec,balance,balance_excl_min,sigma_t_sec,dur_min_sec,dur_median_sec,dur_max_sec,crossings_chord,crossings_road,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,msf_k_sec,relleno_msf_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec,two_opt_gap
battery-n50,50,exemptions,control,spatial_term,actual,10000,midpoint,0,3,10000,,7,,,0,0,False,0.0,112.6,1,,,,,1,1,per-start,105,2,0,0,0,4575,0.955,1.0,122,5166,5288,5409,2,2,0.218,21.5,0.433,0.489,0.278,2551,1975,2600,8400,105.06,0.001,0.004,0.009,104.988,0.0,0.0
battery-n50,50,exemptions,control,spatial_term,actual,10000,midpoint,0,3,10000,,7,,,0,0,False,0.0,112.6,1,,,,,2,1,per-start,105,2,0,0,0,4729,0.928,1.0,200,5165,5364,5564,5,0,0.195,16.5,0.441,0.496,0.278,2705,1975,2754,8400,105.03,0.001,0.003,0.009,104.99,0.0,0.0
battery-n50,50,exemptions,control,spatial_term,actual,10000,midpoint,0,3,10000,,7,,,0,0,False,0.0,112.6,1,,,,,3,1,per-start,105,2,0,0,0,4359,0.992,1.0,20,5159,5180,5200,4,2,0.186,10.5,0.421,0.479,0.278,2335,1975,2384,8400,105.03,0.001,0.002,0.009,104.991,0.0,0.0
battery-n100,100,exemptions,control,spatial_term,actual,10000,midpoint,0,3,10000,,8,,,0,0,False,0.0,67.3,1,,,,,1,1,per-start,120,2,0,0,0,3994,0.975,1.0,102,7895,7997,8099,3,4,0.017,3.0,0.25,0.74,0.556,1534,2601,1393,2400,120.06,0.003,0.007,0.022,119.977,0.001,0.0
battery-n100,100,exemptions,control,spatial_term,actual,10000,midpoint,0,3,10000,,8,,,0,0,False,0.0,67.3,1,,,,,2,1,per-start,120,2,0,0,0,3811,0.835,1.0,710,7196,7906,8615,3,3,0.049,5.0,0.241,0.732,0.556,1351,2601,1210,2400,120.05,0.003,0.007,0.023,119.977,0.001,0.0
battery-n100,100,exemptions,control,spatial_term,actual,10000,midpoint,0,3,10000,,8,,,0,0,False,0.0,67.3,1,,,,,3,1,per-start,120,2,0,0,0,3847,0.993,1.0,28,7895,7924,7952,3,4,0.017,3.0,0.243,0.734,0.556,1387,2601,1246,2400,120.05,0.003,0.007,0.022,119.977,0.0,0.0
battery-n200,200,exemptions,control,spatial_term,actual,10000,midpoint,0,3,10000,,9,,,0,0,False,0.0,59.0,1,,,,,1,1,per-start,120,4,0,0,0,7562,0.903,0.927,300,7544,7830,8359,15,9,0.191,21.5,0.24,0.731,0.556,4084,4541,3021,4800,120.07,0.011,0.028,0.213,119.754,0.001,0.0
battery-n200,200,exemptions,control,spatial_term,actual,10000,midpoint,0,3,10000,,9,,,0,0,False,0.0,59.0,1,,,,,2,1,per-start,120,4,0,0,0,7771,0.873,0.897,456,7395,7953,8470,14,14,0.238,29.75,0.245,0.736,0.556,4293,4541,3230,4800,120.1,0.01,0.027,0.065,119.933,0.001,0.0
battery-n200,200,exemptions,control,spatial_term,actual,10000,midpoint,0,3,10000,,9,,,0,0,False,0.0,59.0,1,,,,,3,1,per-start,120,4,0,0,0,7643,0.894,0.911,398,7445,7936,8326,13,12,0.217,15.0,0.242,0.732,0.556,4165,4541,3102,4801,120.1,0.01,0.028,0.066,119.932,0.002,0.0
battery-n400,400,exemptions,control,spatial_term,actual,10000,midpoint,0,3,10000,,13,,,0,0,False,0.0,46.7,1,,,,,1,1,per-start,120,7,0,0,0,13789,0.962,0.977,118,8591,8895,8927,13,14,0.398,38.0,0.223,0.817,0.635,8271,7314,6475,3360,120.26,0.043,0.11,0.238,119.762,0.002,0.0
battery-n400,400,exemptions,control,spatial_term,actual,10000,midpoint,0,3,10000,,13,,,0,0,False,0.0,46.7,1,,,,,2,1,per-start,120,7,0,0,0,13673,0.972,0.988,73,8655,8832,8900,18,14,0.466,79.29,0.222,0.816,0.635,8155,7314,6359,3720,120.31,0.044,0.133,0.239,119.76,0.002,0.0
battery-n400,400,exemptions,control,spatial_term,actual,10000,midpoint,0,3,10000,,13,,,0,0,False,0.0,46.7,1,,,,,3,1,per-start,120,6,0,0,0,11940,0.86,0.922,497,9034,10187,10500,20,18,0.613,19.83,0.199,0.925,0.741,6408,7477,4463,0,120.24,0.039,0.11,0.221,119.777,0.002,0.0
battery-n800,800,exemptions,control,spatial_term,actual,10000,midpoint,0,3,10000,,20,,,0,0,False,0.0,35.4,1,,,,,1,1,per-start,120,12,0,0,0,19308,0.854,0.855,500,8999,9543,10542,22,20,0.522,50.92,0.167,0.89,0.741,10345,12392,6916,840,120.81,0.168,0.444,0.798,119.202,0.003,0.0
battery-n800,800,exemptions,control,spatial_term,actual,10000,midpoint,0,3,10000,,20,,,0,0,False,0.0,35.4,1,,,,,2,1,per-start,120,12,0,0,0,20025,0.832,0.833,568,8944,9664,10750,53,32,0.321,55.17,0.173,0.895,0.741,11062,12392,7633,1560,120.8,0.162,0.438,0.801,119.2,0.005,0.0
battery-n800,800,exemptions,control,spatial_term,actual,10000,midpoint,0,3,10000,,20,,,0,0,False,0.0,35.4,1,,,,,3,1,per-start,120,12,0,0,0,19667,0.848,0.86,545,8834,9737,10418,16,15,0.381,61.42,0.17,0.892,0.741,10704,12392,7275,360,120.89,0.164,0.455,0.841,119.229,0.004,0.0
battery-n1000,1000,exemptions,control,spatial_term,actual,10000,midpoint,0,3,10000,,24,,,0,0,False,0.0,34.7,1,,,,,1,1,per-start,120,15,0,0,0,27434,0.835,0.838,625,8937,9919,10698,65,47,0.552,126.73,0.186,0.91,0.741,16482,15438,11996,1080,121.23,0.25,0.716,1.233,118.77,0.004,0.0
battery-n1000,1000,exemptions,control,spatial_term,actual,10000,midpoint,0,3,10000,,24,,,0,0,False,0.0,34.7,1,,,,,2,1,per-start,120,15,0,0,0,26203,0.837,0.843,666,8979,9460,10730,64,45,0.486,91.93,0.179,0.903,0.741,15251,15438,10765,1680,121.22,0.245,0.702,1.242,118.761,0.006,0.0
battery-n1000,1000,exemptions,control,spatial_term,actual,10000,midpoint,0,3,10000,,24,,,0,0,False,0.0,34.7,1,,,,,3,1,per-start,120,15,0,0,0,27344,0.831,0.837,596,8960,9735,10777,44,47,0.508,103.67,0.186,0.91,0.741,16392,15438,11906,1680,121.58,0.534,0.746,1.452,118.553,0.007,0.0
battery-sparse-n250,250,exemptions,control,spatial_term,actual,10000,midpoint,0,3,10000,,11,,,0,0,False,0.0,85.8,1,,,,,1,1,per-start,120,6,0,0,0,15451,0.818,0.834,615,6880,7387,8415,6,3,0.419,19.0,0.34,0.702,0.463,7075,10927,4524,13200,120.14,0.017,0.045,0.098,119.902,0.001,0.0
battery-sparse-n250,250,exemptions,control,spatial_term,actual,10000,midpoint,0,3,10000,,11,,,0,0,False,0.0,85.8,1,,,,,2,1,per-start,120,6,0,0,0,14678,0.826,0.837,580,6858,7210,8298,10,3,0.129,4.5,0.329,0.689,0.463,6302,10927,3751,13200,120.14,0.018,0.042,0.095,119.905,0.002,0.0
battery-sparse-n250,250,exemptions,control,spatial_term,actual,10000,midpoint,0,3,10000,,11,,,0,0,False,0.0,85.8,1,,,,,3,1,per-start,120,6,0,0,0,15437,0.847,0.859,442,7191,7368,8491,11,6,0.293,23.33,0.34,0.701,0.463,7061,10927,4510,13201,120.19,0.02,0.052,0.098,119.902,0.002,0.0
battery-sparse-n500,500,exemptions,control,spatial_term,actual,10000,midpoint,0,3,10000,,15,,,0,0,False,0.0,56.9,1,,,,,1,1,per-start,120,8,0,0,0,18850,0.866,0.867,542,9079,10024,10487,10,5,0.452,49.88,0.239,0.913,0.694,9388,13517,5333,720,120.36,0.062,0.171,0.337,119.664,0.002,0.0
battery-sparse-n500,500,exemptions,control,spatial_term,actual,10000,midpoint,0,3,10000,,15,,,0,0,False,0.0,56.9,1,,,,,2,1,per-start,120,9,0,0,0,21669,0.894,0.902,300,8861,8979,9908,13,2,0.574,74.89,0.265,0.84,0.617,12227,13401,8268,5640,120.4,0.064,0.18,0.34,119.682,0.004,0.0
battery-sparse-n500,500,exemptions,control,spatial_term,actual,10000,midpoint,0,3,10000,,15,,,0,0,False,0.0,56.9,1,,,,,3,1,per-start,120,9,0,0,0,21479,0.97,0.98,68,8934,9038,9206,15,6,0.706,95.67,0.264,0.838,0.617,12037,13401,8078,4920,120.41,0.07,0.17,0.337,119.664,0.002,0.0
area-26-n157,157,exemptions,control,spatial_term,actual,10000,midpoint,0,3,10000,,8,,,0,0,False,0.0,48.1,1,,,,,1,1,per-start,120,3,0,0,0,4999,0.904,0.974,336,7488,8068,8283,2,4,0.228,13.67,0.21,0.736,0.581,2616,3618,1381,2760,120.08,0.007,0.017,0.047,119.954,0.002,0.0
area-26-n157,157,exemptions,control,spatial_term,actual,10000,midpoint,0,3,10000,,8,,,0,0,False,0.0,48.1,1,,,,,2,1,per-start,120,3,0,0,0,4461,0.784,0.836,819,6974,7432,8895,2,5,0.114,5.67,0.191,0.719,0.581,2078,3618,843,2760,120.07,0.007,0.017,0.048,119.952,0.001,0.0
area-26-n157,157,exemptions,control,spatial_term,actual,10000,midpoint,0,3,10000,,8,,,0,0,False,0.0,48.1,1,,,,,3,1,per-start,120,3,0,0,0,5092,0.877,0.964,436,7387,8119,8426,4,5,0.044,6.67,0.213,0.739,0.581,2709,3618,1474,2760,120.07,0.006,0.017,0.046,119.955,0.001,0.0
area-27-n72,72,exemptions,control,spatial_term,actual,10000,midpoint,0,3,10000,,7,,,0,0,False,0.0,29.8,1,,,,,1,1,per-start,120,2,0,0,0,2790,0.91,1.0,268,5447,5715,5983,5,5,0.752,26.5,0.244,0.529,0.4,2259,914,1876,5760,120.05,0.002,0.004,0.015,119.987,0.001,0.0
area-27-n72,72,exemptions,control,spatial_term,actual,10000,midpoint,0,3,10000,,7,,,0,0,False,0.0,29.8,1,,,,,2,1,per-start,120,2,0,0,0,2390,0.827,1.0,521,4994,5515,6036,3,3,0.54,22.0,0.217,0.511,0.4,1859,914,1476,5760,120.03,0.002,0.005,0.016,119.983,0.0,0.0
area-27-n72,72,exemptions,control,spatial_term,actual,10000,midpoint,0,3,10000,,7,,,0,0,False,0.0,29.8,1,,,,,3,1,per-start,120,2,0,0,0,2302,0.748,1.0,788,4683,5471,6259,4,4,0.407,15.5,0.21,0.507,0.4,1771,914,1388,5760,120.05,0.002,0.004,0.016,119.985,0.001,0.0
area-29-n43,43,exemptions,control,spatial_term,actual,10000,midpoint,0,3,10000,,6,,,0,0,False,0.0,27.6,1,,,,,1,1,per-start,94,1,0,0,0,997,1.0,1.0,0,6157,6157,6157,3,1,0.0,0.0,0.162,0.57,0.478,609,789,208,2040,94.04,0.001,0.002,0.008,94.001,0.0,0.0
area-29-n43,43,exemptions,control,spatial_term,actual,10000,midpoint,0,3,10000,,6,,,0,0,False,0.0,27.6,1,,,,,2,1,per-start,94,1,0,0,0,1069,1.0,1.0,0,6229,6229,6229,3,2,0.0,0.0,0.172,0.577,0.478,681,789,280,2040,94.05,0.003,0.003,0.015,93.987,0.001,0.0
area-29-n43,43,exemptions,control,spatial_term,actual,10000,midpoint,0,3,10000,,6,,,0,0,False,0.0,27.6,1,,,,,3,1,per-start,94,1,0,0,0,1032,1.0,1.0,0,6192,6192,6192,7,1,0.0,0.0,0.167,0.573,0.478,644,789,243,2040,94.02,0.001,0.002,0.008,93.992,0.0,0.0
reference-n1607,1607,exemptions,control,spatial_term,actual,10000,midpoint,0,3,10000,,36,,,0,0,False,0.0,44.1,1,,,,,1,1,per-start,120,25,0,0,0,58666,0.824,0.831,542,8876,10166,10766,39,31,0.395,113.64,0.233,0.931,0.714,31610,30823,27843,11400,122.9,0.634,1.776,3.061,116.943,0.007,0.0
reference-n1607,1607,exemptions,control,spatial_term,actual,10000,midpoint,0,3,10000,,36,,,0,0,False,0.0,44.1,1,,,,,2,1,per-start,120,25,0,0,0,60609,0.846,0.852,580,9088,10353,10748,75,42,0.414,92.88,0.239,0.939,0.714,33553,30823,29786,9360,123.05,0.64,1.966,3.212,116.794,0.009,0.0
reference-n1607,1607,exemptions,control,spatial_term,actual,10000,midpoint,0,3,10000,,36,,,0,0,False,0.0,44.1,1,,,,,3,1,per-start,120,25,0,0,0,57690,0.848,0.866,504,9089,10033,10716,46,31,0.49,109.2,0.23,0.928,0.714,30634,30823,26867,9720,122.98,0.735,1.796,3.06,116.945,0.007,0.0
reference-n1607,1607,exemptions,exempt-none,spatial_term,exempt-none,10000,midpoint,0,3,10000,,36,,,0,0,False,0.0,44.1,1,,,,,1,1,per-start,120,25,0,0,0,58666,0.824,0.831,542,8876,10166,10766,39,31,0.395,113.64,0.233,0.931,0.714,31610,30823,27843,11400,122.81,0.572,1.717,3.026,116.978,0.01,0.0
reference-n1607,1607,exemptions,exempt-none,spatial_term,exempt-none,10000,midpoint,0,3,10000,,36,,,0,0,False,0.0,44.1,1,,,,,2,1,per-start,120,25,0,0,0,60715,0.846,0.851,583,9088,10353,10748,77,41,0.414,92.84,0.239,0.939,0.714,33659,30823,29892,9361,122.83,0.632,1.798,2.814,117.191,0.007,0.0
reference-n1607,1607,exemptions,exempt-none,spatial_term,exempt-none,10000,midpoint,0,3,10000,,36,,,0,0,False,0.0,44.1,1,,,,,3,1,per-start,120,25,0,0,0,57677,0.848,0.866,488,9089,10033,10716,46,31,0.49,109.16,0.23,0.928,0.714,30621,30823,26854,9600,122.79,0.602,1.717,2.8,117.206,0.009,0.0
area-26-n157,157,exemptions,exempt-none,spatial_term,exempt-none,10000,midpoint,0,3,10000,,8,,,0,0,False,0.0,48.1,1,,,,,1,1,per-start,120,3,0,0,0,4999,0.904,0.974,336,7488,8068,8283,2,4,0.228,13.67,0.21,0.736,0.581,2616,3618,1381,2760,120.13,0.007,0.02,0.045,119.956,0.001,0.0
area-26-n157,157,exemptions,exempt-none,spatial_term,exempt-none,10000,midpoint,0,3,10000,,8,,,0,0,False,0.0,48.1,1,,,,,2,1,per-start,120,3,0,0,0,4461,0.784,0.836,819,6974,7432,8895,2,5,0.114,5.67,0.191,0.719,0.581,2078,3618,843,2760,120.07,0.006,0.016,0.043,119.96,0.001,0.0
