instance,n,axis,cell,strategy,balance_arm,soft_lower_penalty,soft_upper_target,span_coef,spatial_span_coef,stops_floor_penalty,max_vehicles_forced,max_vehicles,exempt_lower_vehicle,exempt_upper_vehicle,exempt_vehicles_inactive,time_global_span_coef,post_resequence,arc_lambda,arc_tau,arc_coef,cluster_neighbors,cluster_count,vehicles_per_cluster,warm_start,seed,starts,budget_mode,start_time_limit_sec,k,drops,degenerate_routes,short_routes,travel_sec,balance,balance_excl_min,sigma_t_sec,dur_min_sec,dur_median_sec,dur_max_sec,crossings_chord,crossings_road,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,msf_k_sec,relleno_msf_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec,two_opt_gap
battery-n50,50,config,actual,spatial_term,actual,10000,midpoint,0,3,10000,,7,,,0,0,True,0.0,112.6,1,,,,,1,1,per-start,105,2,0,0,0,4575,0.955,1.0,122,5166,5288,5409,2,2,0.22,21.5,0.433,0.489,0.278,2551,1975,2600,8400,105.05,0.002,0.005,0.01,104.989,0.0,0.0
battery-n50,50,config,actual,spatial_term,actual,10000,midpoint,0,3,10000,,7,,,0,0,True,0.0,112.6,1,,,,,2,1,per-start,105,2,0,0,0,4729,0.928,1.0,200,5165,5364,5564,5,0,0.2,16.5,0.441,0.496,0.278,2705,1975,2754,8400,105.02,0.001,0.002,0.008,104.993,0.0,0.0
battery-n50,50,config,actual,spatial_term,actual,10000,midpoint,0,3,10000,,7,,,0,0,True,0.0,112.6,1,,,,,3,1,per-start,105,2,0,0,0,4359,0.992,1.0,20,5159,5180,5200,4,2,0.19,10.5,0.421,0.479,0.278,2335,1975,2384,8400,105.04,0.001,0.002,0.008,104.994,0.001,0.0
battery-n100,100,config,actual,spatial_term,actual,10000,midpoint,0,3,10000,,8,,,0,0,True,0.0,67.3,1,,,,,1,1,per-start,120,2,0,0,0,3994,0.975,1.0,102,7895,7997,8099,3,4,0.02,3.0,0.25,0.74,0.556,1534,2601,1393,2400,120.09,0.005,0.008,0.021,119.978,0.001,0.0
battery-n100,100,config,actual,spatial_term,actual,10000,midpoint,0,3,10000,,8,,,0,0,True,0.0,67.3,1,,,,,2,1,per-start,120,2,0,0,0,3811,0.835,1.0,710,7196,7906,8615,3,3,0.05,5.0,0.241,0.732,0.556,1351,2601,1210,2400,120.04,0.003,0.007,0.02,119.979,0.0,0.0
battery-n100,100,config,actual,spatial_term,actual,10000,midpoint,0,3,10000,,8,,,0,0,True,0.0,67.3,1,,,,,3,1,per-start,120,2,0,0,0,3847,0.993,1.0,28,7895,7924,7952,3,4,0.02,3.0,0.243,0.734,0.556,1387,2601,1246,2400,120.04,0.003,0.007,0.02,119.98,0.0,0.0
battery-n200,200,config,actual,spatial_term,actual,10000,midpoint,0,3,10000,,9,,,0,0,True,0.0,59.0,1,,,,,1,1,per-start,120,4,0,0,0,7562,0.903,0.927,300,7544,7830,8359,15,9,0.19,21.5,0.24,0.731,0.556,4084,4541,3021,4800,120.09,0.011,0.027,0.062,119.937,0.001,0.0
battery-n200,200,config,actual,spatial_term,actual,10000,midpoint,0,3,10000,,9,,,0,0,True,0.0,59.0,1,,,,,2,1,per-start,120,4,0,0,0,7832,0.922,0.933,262,7663,7930,8308,14,13,0.19,10.25,0.246,0.737,0.556,4354,4541,3291,4800,120.09,0.01,0.026,0.061,119.938,0.001,0.0
battery-n200,200,config,actual,spatial_term,actual,10000,midpoint,0,3,10000,,9,,,0,0,True,0.0,59.0,1,,,,,3,1,per-start,120,4,0,0,0,7643,0.894,0.911,398,7445,7936,8327,13,12,0.22,15.0,0.242,0.732,0.556,4165,4541,3102,4800,120.09,0.013,0.026,0.061,119.938,0.001,0.0
battery-n400,400,config,actual,spatial_term,actual,10000,midpoint,0,3,10000,,13,,,0,0,True,0.0,46.7,1,,,,,1,1,per-start,120,7,0,0,0,13789,0.962,0.977,118,8591,8895,8927,13,14,0.4,38.0,0.223,0.817,0.635,8271,7314,6475,3360,120.24,0.043,0.103,0.204,119.796,0.002,0.0
