instance,n,axis,cell,strategy,balance_arm,soft_lower_penalty,soft_upper_target,span_coef,spatial_span_coef,stops_floor_penalty,max_vehicles_forced,max_vehicles,exempt_lower_vehicle,exempt_upper_vehicle,exempt_vehicles_inactive,time_global_span_coef,post_resequence,arc_lambda,arc_tau,arc_coef,cluster_neighbors,cluster_count,vehicles_per_cluster,warm_start,seed,starts,budget_mode,start_time_limit_sec,k,drops,degenerate_routes,short_routes,travel_sec,balance,balance_excl_min,sigma_t_sec,dur_min_sec,dur_median_sec,dur_max_sec,crossings_chord,crossings_road,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,msf_k_sec,relleno_msf_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec,two_opt_gap
battery-n50,50,config,no-floor-stops15,spatial_term,no-floor-stops15,10000,midpoint,0,3,10000,,7,,,0,0,True,0.0,112.6,1,,,,,1,1,per-start,105,1,0,0,0,3333,1.0,1.0,0,9333,9333,9333,3,1,0.0,0.0,0.357,0.864,0.556,1266,2746,587,1200,105.05,0.001,0.005,0.011,104.988,0.0,0.0
battery-n50,50,config,no-floor-stops15,spatial_term,no-floor-stops15,10000,midpoint,0,3,10000,,7,,,0,0,True,0.0,112.6,1,,,,,2,1,per-start,105,1,0,0,0,3333,1.0,1.0,0,9333,9333,9333,3,1,0.0,0.0,0.357,0.864,0.556,1266,2746,587,1200,105.02,0.001,0.002,0.015,104.985,0.0,0.0
battery-n50,50,config,no-floor-stops15,spatial_term,no-floor-stops15,10000,midpoint,0,3,10000,,7,,,0,0,True,0.0,112.6,1,,,,,3,1,per-start,105,1,0,0,0,3333,1.0,1.0,0,9333,9333,9333,3,1,0.0,0.0,0.357,0.864,0.556,1266,2746,587,1200,105.03,0.001,0.002,0.013,104.987,0.001,0.0
battery-n100,100,config,no-floor-stops15,spatial_term,no-floor-stops15,10000,midpoint,0,3,10000,,8,,,0,0,True,0.0,67.3,1,,,,,1,1,per-start,120,2,0,0,0,3948,0.651,1.0,1685,6289,7974,9659,3,3,0.03,5.0,0.248,0.738,0.556,1488,2601,1347,2400,120.09,0.004,0.008,0.025,119.975,0.001,0.0
battery-n100,100,config,no-floor-stops15,spatial_term,no-floor-stops15,10000,midpoint,0,3,10000,,8,,,0,0,True,0.0,67.3,1,,,,,2,1,per-start,120,2,0,0,0,3948,0.651,1.0,1685,6289,7974,9659,4,3,0.03,5.0,0.248,0.738,0.556,1488,2601,1347,2400,120.04,0.003,0.008,0.026,119.974,0.0,0.0
battery-n100,100,config,no-floor-stops15,spatial_term,no-floor-stops15,10000,midpoint,0,3,10000,,8,,,0,0,True,0.0,67.3,1,,,,,3,1,per-start,120,2,0,0,0,3948,0.651,1.0,1685,6289,7974,9659,3,3,0.03,5.0,0.248,0.738,0.556,1488,2601,1347,2400,120.04,0.003,0.007,0.023,119.976,0.0,0.0
battery-n200,200,config,no-floor-stops15,spatial_term,no-floor-stops15,10000,midpoint,0,3,10000,,9,,,0,0,True,0.0,59.0,1,,,,,1,1,per-start,120,4,0,0,0,7093,0.457,0.851,1987,4478,8404,9807,11,11,0.03,2.75,0.228,0.72,0.556,3615,4541,2552,4800,120.08,0.011,0.026,0.066,119.933,0.001,0.0
battery-n200,200,config,no-floor-stops15,spatial_term,no-floor-stops15,10000,midpoint,0,3,10000,,9,,,0,0,True,0.0,59.0,1,,,,,2,1,per-start,120,4,0,0,0,7252,0.517,0.667,2067,5077,8177,9821,14,10,0.06,3.5,0.232,0.723,0.556,3774,4541,2711,6000,120.1,0.01,0.033,0.063,119.937,0.001,0.0
battery-n200,200,config,no-floor-stops15,spatial_term,no-floor-stops15,10000,midpoint,0,3,10000,,9,,,0,0,True,0.0,59.0,1,,,,,3,1,per-start,120,4,0,0,0,7092,0.655,0.95,1211,5693,8354,8692,13,11,0.06,4.75,0.228,0.72,0.556,3614,4541,2551,4800,120.1,0.012,0.035,0.065,119.934,0.001,0.0
battery-n400,400,config,no-floor-stops15,spatial_term,no-floor-stops15,10000,midpoint,0,3,10000,,13,,,0,0,True,0.0,46.7,1,,,,,1,1,per-start,120,6,0,0,0,12252,0.834,0.963,600,8746,10211,10493,22,23,0.54,33.67,0.203,0.93,0.741,6720,7477,4775,960,120.24,0.042,0.104,0.221,119.779,0.002,0.0
