instance,n,axis,cell,strategy,balance_arm,span_coef,spatial_span_coef,stops_floor_penalty,max_vehicles_forced,time_global_span_coef,post_resequence,arc_lambda,arc_tau,cluster_neighbors,cluster_count,vehicles_per_cluster,warm_start,seed,starts,budget_mode,start_time_limit_sec,k,drops,degenerate_routes,travel_sec,balance,sigma_t_sec,dur_min_sec,dur_median_sec,dur_max_sec,crossings,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,msf_k_sec,relleno_msf_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec
battery-n50,50,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,112.6,,,,,1,1,per-start,105,2,0,0,8389,0.998,6,7189,7194,7200,4,0.222,17.0,0.583,0.667,0.278,6365,1975,6414,8400,105.07,0.001,0.006,0.01,104.99,0.0
battery-n50,50,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,112.6,,,,,2,1,per-start,105,2,0,0,8398,0.998,8,7191,7199,7207,6,0.195,16.5,0.583,0.667,0.278,6374,1975,6423,8400,105.03,0.001,0.003,0.01,104.99,0.0
battery-n50,50,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,112.6,,,,,3,1,per-start,105,2,0,0,8399,0.998,8,7191,7200,7208,5,0.186,10.5,0.583,0.667,0.278,6375,1975,6424,8400,105.03,0.002,0.003,0.012,104.989,0.0
battery-n50,50,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,112.6,,,,,4,1,per-start,105,2,0,0,8399,0.997,10,7190,7200,7209,4,0.203,20.0,0.583,0.667,0.278,6375,1975,6424,8400,105.03,0.002,0.004,0.012,104.988,0.0
battery-n50,50,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,112.6,,,,,5,1,per-start,105,2,0,0,8385,0.999,4,7189,7192,7196,8,0.211,18.0,0.583,0.666,0.278,6361,1975,6410,8400,105.05,0.001,0.006,0.012,104.99,0.0
battery-n100,100,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,67.3,,,,,1,1,per-start,120,2,0,0,4295,0.968,134,8014,8148,8281,0,0.017,3.0,0.264,0.754,0.556,1835,2601,1694,2400,120.04,0.003,0.008,0.023,119.977,0.0
battery-n100,100,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,67.3,,,,,2,1,per-start,120,2,0,0,4079,0.828,758,7282,8040,8797,0,0.049,5.0,0.254,0.744,0.556,1619,2601,1478,2400,120.04,0.003,0.008,0.027,119.973,0.001
battery-n100,100,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,67.3,,,,,3,1,per-start,120,2,0,0,4336,0.959,172,7996,8168,8340,1,0.017,3.0,0.265,0.756,0.556,1876,2601,1735,2400,120.03,0.003,0.012,0.025,119.955,0.001
battery-n100,100,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,67.3,,,,,4,1,per-start,120,2,0,0,4199,0.826,772,7328,8100,8871,4,0.049,5.0,0.259,0.75,0.556,1739,2601,1598,2400,120.04,0.003,0.008,0.024,119.976,0.001
battery-n100,100,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,67.3,,,,,5,1,per-start,120,2,0,0,4321,0.955,188,7973,8160,8348,3,0.017,3.0,0.265,0.756,0.556,1861,2601,1720,2400,120.05,0.003,0.01,0.026,119.973,0.001
battery-n200,200,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,59.0,,,,,1,1,per-start,120,4,0,0,8313,0.864,431,7556,8006,8744,1,0.29,21.5,0.257,0.748,0.556,4835,4541,3772,4800,120.1,0.011,0.03,0.079,119.921,0.001
battery-n200,200,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,59.0,,,,,2,1,per-start,120,4,0,0,8550,0.885,426,7569,8215,8551,6,0.169,18.75,0.263,0.754,0.556,5072,4541,4009,4800,120.11,0.012,0.034,0.083,119.917,0.001
battery-n200,200,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,59.0,,,,,3,1,per-start,120,4,0,0,8332,0.869,498,7500,8103,8626,1,0.217,15.0,0.258,0.748,0.556,4854,4541,3791,4800,120.11,0.012,0.039,0.074,119.926,0.001
battery-n200,200,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,59.0,,,,,4,1,per-start,120,4,0,0,7914,0.84,571,7221,8047,8599,4,0.292,34.5,0.248,0.739,0.556,4436,4541,3373,4800,120.11,0.011,0.034,0.084,119.92,0.001
battery-n200,200,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,59.0,,,,,5,1,per-start,120,4,0,0,7954,0.899,323,7666,7881,8526,1,0.099,19.75,0.249,0.74,0.556,4476,4541,3413,4800,120.11,0.012,0.039,0.076,119.923,0.001
battery-n400,400,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,46.7,,,,,1,1,per-start,120,7,0,0,14458,0.989,37,8868,8917,8966,1,0.404,35.57,0.231,0.826,0.635,8940,7314,7144,3361,120.33,0.045,0.145,0.263,119.749,0.002
battery-n400,400,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,46.7,,,,,2,1,per-start,120,7,0,0,14220,0.975,69,8739,8895,8961,0,0.466,79.29,0.229,0.823,0.635,8702,7314,6906,3720,120.29,0.05,0.133,0.252,119.75,0.002
battery-n400,400,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,46.7,,,,,3,1,per-start,120,6,0,0,11942,0.86,497,9034,10187,10500,19,0.613,19.83,0.199,0.925,0.741,6410,7477,4465,0,120.26,0.042,0.118,0.234,119.769,0.002
battery-n400,400,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,46.7,,,,,4,1,per-start,120,7,0,0,14055,0.969,89,8690,8888,8965,3,0.442,50.29,0.226,0.821,0.635,8537,7314,6741,3480,120.26,0.042,0.121,0.237,119.764,0.002
battery-n400,400,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,46.7,,,,,5,1,per-start,120,7,0,0,14491,0.977,71,8774,8968,8980,10,0.474,99.0,0.232,0.826,0.635,8973,7314,7177,3000,120.28,0.042,0.118,0.242,119.759,0.002
battery-n800,800,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,35.4,,,,,1,1,per-start,120,12,0,0,19644,0.835,543,8801,9590,10543,23,0.471,51.75,0.17,0.892,0.741,10681,12392,7252,960,120.9,0.17,0.505,0.854,119.148,0.004
battery-n800,800,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,35.4,,,,,2,1,per-start,120,12,0,0,20357,0.828,581,8896,9770,10750,35,0.413,53.83,0.175,0.898,0.741,11394,12392,7965,1680,120.95,0.176,0.545,0.878,119.125,0.004
battery-n800,800,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,35.4,,,,,3,1,per-start,120,12,0,0,19984,0.842,511,8876,9580,10538,16,0.381,61.92,0.172,0.895,0.741,11021,12392,7592,720,120.89,0.173,0.506,0.91,119.09,0.004
battery-n800,800,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,35.4,,,,,4,1,per-start,120,12,0,0,20722,0.824,682,8851,9681,10740,29,0.556,70.67,0.178,0.901,0.741,11759,12392,8330,1080,120.9,0.172,0.504,0.87,119.136,0.004
battery-n800,800,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,35.4,,,,,5,1,per-start,120,12,0,0,20227,0.84,622,8967,9622,10672,32,0.551,74.75,0.174,0.897,0.741,11264,12392,7835,240,120.87,0.173,0.501,0.906,119.096,0.004
battery-n1000,1000,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,34.7,,,,,1,1,per-start,120,15,0,0,27930,0.837,633,8976,10019,10722,61,0.552,126.87,0.189,0.913,0.741,16978,15438,12492,1080,121.32,0.244,0.811,1.311,118.692,0.004
