instance,n,axis,cell,strategy,balance_arm,span_coef,spatial_span_coef,stops_floor_penalty,max_vehicles_forced,time_global_span_coef,post_resequence,arc_lambda,arc_tau,cluster_neighbors,cluster_count,vehicles_per_cluster,warm_start,seed,starts,budget_mode,start_time_limit_sec,k,drops,degenerate_routes,travel_sec,balance,sigma_t_sec,dur_min_sec,dur_median_sec,dur_max_sec,crossings,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,msf_k_sec,relleno_msf_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec
battery-n50,50,config,cluster-r1-no-floor,spatial_term,no-floor,0,3,10000,,0,False,0.0,112.6,1,1,7,,1,1,per-start,105,1,0,0,3419,1.0,0,9419,9419,9419,0,0.0,0.0,0.363,0.872,0.556,1352,2746,673,1200,105.07,0.001,0.004,0.009,104.992,0.0
battery-n50,50,config,cluster-r1-no-floor,spatial_term,no-floor,0,3,10000,,0,False,0.0,112.6,1,1,7,,2,1,per-start,105,1,0,0,3419,1.0,0,9419,9419,9419,0,0.0,0.0,0.363,0.872,0.556,1352,2746,673,1200,105.03,0.001,0.007,0.008,104.992,0.0
battery-n50,50,config,cluster-r1-no-floor,spatial_term,no-floor,0,3,10000,,0,False,0.0,112.6,1,1,7,,3,1,per-start,105,1,0,0,3419,1.0,0,9419,9419,9419,0,0.0,0.0,0.363,0.872,0.556,1352,2746,673,1200,105.03,0.003,0.003,0.008,104.992,0.0
battery-n50,50,config,cluster-r1-no-floor,spatial_term,no-floor,0,3,10000,,0,False,0.0,112.6,1,1,7,,4,1,per-start,105,1,0,0,3419,1.0,0,9419,9419,9419,0,0.0,0.0,0.363,0.872,0.556,1352,2746,673,1200,105.03,0.001,0.005,0.009,104.992,0.0
battery-n50,50,config,cluster-r1-no-floor,spatial_term,no-floor,0,3,10000,,0,False,0.0,112.6,1,1,7,,5,1,per-start,105,1,0,0,3419,1.0,0,9419,9419,9419,0,0.0,0.0,0.363,0.872,0.556,1352,2746,673,1200,105.06,0.002,0.007,0.008,104.993,0.0
battery-n100,100,config,cluster-r1-no-floor,spatial_term,no-floor,0,3,10000,,0,False,0.0,67.3,1,2,4,,1,1,per-start,120,2,0,0,4274,0.644,1763,6374,8137,9900,1,0.03,5.0,0.263,0.754,0.556,1814,2601,1673,2400,120.05,0.003,0.008,0.023,119.978,0.0
battery-n100,100,config,cluster-r1-no-floor,spatial_term,no-floor,0,3,10000,,0,False,0.0,67.3,1,2,4,,2,1,per-start,120,2,0,0,4155,0.659,1662,6415,8078,9740,0,0.03,5.0,0.257,0.748,0.556,1695,2601,1554,2400,120.05,0.003,0.009,0.025,119.975,0.0
battery-n100,100,config,cluster-r1-no-floor,spatial_term,no-floor,0,3,10000,,0,False,0.0,67.3,1,2,4,,3,1,per-start,120,2,0,0,4256,0.652,1713,6415,8128,9841,0,0.03,5.0,0.262,0.752,0.556,1796,2601,1655,2400,120.03,0.003,0.009,0.026,119.955,0.0
battery-n100,100,config,cluster-r1-no-floor,spatial_term,no-floor,0,3,10000,,0,False,0.0,67.3,1,2,4,,4,1,per-start,120,2,0,0,4274,0.654,1704,6433,8137,9841,0,0.03,5.0,0.263,0.754,0.556,1814,2601,1673,2400,120.05,0.005,0.008,0.023,119.976,0.0
battery-n100,100,config,cluster-r1-no-floor,spatial_term,no-floor,0,3,10000,,0,False,0.0,67.3,1,2,4,,5,1,per-start,120,2,0,0,4198,0.955,184,7914,8098,8283,3,0.017,3.0,0.259,0.75,0.556,1738,2601,1597,2401,120.05,0.005,0.011,0.026,119.975,0.0
battery-n200,200,config,cluster-r1-no-floor,spatial_term,no-floor,0,3,10000,,0,False,0.0,59.0,1,3,3,,1,1,per-start,120,4,0,1,7494,0.112,3878,1168,9936,10454,3,0.228,10.25,0.238,0.729,0.556,4016,4541,2953,7080,120.12,0.011,0.031,0.081,119.933,0.001
battery-n200,200,config,cluster-r1-no-floor,spatial_term,no-floor,0,3,10000,,0,False,0.0,59.0,1,3,3,,2,1,per-start,120,4,0,1,7425,0.115,3862,1168,10041,10175,5,0.082,7.25,0.236,0.727,0.556,3947,4541,2884,6840,120.12,0.018,0.034,0.08,119.921,0.001
battery-n200,200,config,cluster-r1-no-floor,spatial_term,no-floor,0,3,10000,,0,False,0.0,59.0,1,3,3,,3,1,per-start,120,4,0,1,7374,0.111,3883,1168,9834,10538,1,0.092,2.75,0.235,0.726,0.556,3896,4541,2833,6600,120.1,0.011,0.031,0.076,119.924,0.001
battery-n200,200,config,cluster-r1-no-floor,spatial_term,no-floor,0,3,10000,,0,False,0.0,59.0,1,3,3,,4,1,per-start,120,4,0,1,7331,0.109,3917,1168,9710,10743,2,0.148,6.25,0.234,0.725,0.556,3853,4541,2790,6600,120.11,0.013,0.034,0.087,119.914,0.001
battery-n200,200,config,cluster-r1-no-floor,spatial_term,no-floor,0,3,10000,,0,False,0.0,59.0,1,3,3,,5,1,per-start,120,4,0,1,7228,0.113,3838,1168,9872,10315,3,0.103,4.0,0.231,0.723,0.556,3750,4541,2687,6720,120.11,0.013,0.033,0.075,119.925,0.001
battery-n400,400,config,cluster-r1-no-floor,spatial_term,no-floor,0,3,10000,,0,False,0.0,46.7,1,6,3,,1,1,per-start,120,7,0,1,12788,0.124,3062,1307,10144,10543,3,0.428,21.14,0.21,0.804,0.635,7270,7314,5474,6960,120.34,0.045,0.147,0.287,119.725,0.002
battery-n400,400,config,cluster-r1-no-floor,spatial_term,no-floor,0,3,10000,,0,False,0.0,46.7,1,6,3,,2,1,per-start,120,6,0,0,12703,0.826,690,8827,10464,10688,6,0.125,14.67,0.209,0.937,0.741,7171,7477,5226,960,120.29,0.041,0.141,0.262,119.74,0.002
battery-n400,400,config,cluster-r1-no-floor,spatial_term,no-floor,0,3,10000,,0,False,0.0,46.7,1,6,3,,3,1,per-start,120,7,0,0,12893,0.58,1560,6221,9143,10733,6,0.23,13.0,0.212,0.806,0.635,7375,7314,5579,5160,120.27,0.039,0.122,0.237,119.765,0.002
battery-n400,400,config,cluster-r1-no-floor,spatial_term,no-floor,0,3,10000,,0,False,0.0,46.7,1,6,3,,4,1,per-start,120,6,0,0,12502,0.825,621,8846,10232,10718,5,0.152,16.5,0.207,0.934,0.741,6970,7477,5025,960,120.29,0.042,0.125,0.238,119.763,0.002
battery-n400,400,config,cluster-r1-no-floor,spatial_term,no-floor,0,3,10000,,0,False,0.0,46.7,1,6,3,,5,1,per-start,120,6,0,0,13120,0.822,650,8837,10425,10746,6,0.335,31.5,0.215,0.943,0.741,7588,7477,5643,960,120.27,0.039,0.123,0.234,119.768,0.002
battery-n800,800,config,cluster-r1-no-floor,spatial_term,no-floor,0,3,10000,,0,False,0.0,35.4,1,12,2,,1,1,per-start,120,14,0,0,20172,0.347,2329,3613,9315,10411,2,0.269,22.0,0.174,0.768,0.635,11232,12208,7964,13320,120.92,0.173,0.52,0.857,119.145,0.004
battery-n800,800,config,cluster-r1-no-floor,spatial_term,no-floor,0,3,10000,,0,False,0.0,35.4,1,12,2,,2,1,per-start,120,14,0,0,21116,0.355,2498,3807,9794,10726,4,0.34,18.79,0.18,0.774,0.635,12176,12208,8908,15000,120.97,0.18,0.561,0.865,119.137,0.003
battery-n800,800,config,cluster-r1-no-floor,spatial_term,no-floor,0,3,10000,,0,False,0.0,35.4,1,12,2,,3,1,per-start,120,13,0,0,20458,0.486,1583,5122,9540,10531,4,0.371,27.54,0.176,0.829,0.684,11507,12300,8158,6120,120.92,0.163,0.513,0.856,119.146,0.004
battery-n800,800,config,cluster-r1-no-floor,spatial_term,no-floor,0,3,10000,,0,False,0.0,35.4,1,12,2,,4,1,per-start,120,14,0,1,21381,0.127,2764,1366,9494,10755,6,0.6,27.86,0.182,0.776,0.635,12441,12208,9173,14400,120.89,0.178,0.506,0.845,119.156,0.003
battery-n800,800,config,cluster-r1-no-floor,spatial_term,no-floor,0,3,10000,,0,False,0.0,35.4,1,12,2,,5,1,per-start,120,12,0,0,21894,0.665,1077,7121,10262,10703,8,0.498,40.33,0.186,0.91,0.741,12931,12392,9502,1920,120.89,0.163,0.505,0.957,119.045,0.003
