instance,n,axis,cell,strategy,balance_arm,span_coef,spatial_span_coef,stops_floor_penalty,max_vehicles_forced,time_global_span_coef,post_resequence,arc_lambda,arc_tau,cluster_neighbors,cluster_count,vehicles_per_cluster,warm_start,seed,starts,budget_mode,start_time_limit_sec,k,drops,degenerate_routes,travel_sec,balance,sigma_t_sec,dur_min_sec,dur_median_sec,dur_max_sec,crossings,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,msf_k_sec,relleno_msf_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec
battery-n50,50,config,warm-cluster,spatial_term,actual,0,3,10000,,0,False,0.0,112.6,,,,cluster_first,1,1,per-start,105,2,0,0,8414,0.998,7,7200,7207,7214,11,0.222,22.0,0.584,0.667,0.278,6390,1975,6439,8400,210.08,0.001,0.003,0.002,105.0,0.0
battery-n50,50,config,warm-cluster,spatial_term,actual,0,3,10000,,0,False,0.0,112.6,,,,cluster_first,2,1,per-start,105,2,0,0,8384,0.999,3,7189,7192,7195,7,0.211,19.0,0.583,0.666,0.278,6360,1975,6409,8400,210.03,0.001,0.003,0.002,105.001,0.0
battery-n50,50,config,warm-cluster,spatial_term,actual,0,3,10000,,0,False,0.0,112.6,,,,cluster_first,3,1,per-start,105,2,0,0,8414,0.998,7,7200,7207,7214,11,0.222,22.0,0.584,0.667,0.278,6390,1975,6439,8400,210.04,0.001,0.003,0.002,105.001,0.0
battery-n50,50,config,warm-cluster,spatial_term,actual,0,3,10000,,0,False,0.0,112.6,,,,cluster_first,4,1,per-start,105,2,0,0,8379,1.0,0,7189,7190,7190,14,0.116,7.0,0.583,0.666,0.278,6355,1975,6404,8400,210.02,0.001,0.002,0.002,104.995,0.0
battery-n50,50,config,warm-cluster,spatial_term,actual,0,3,10000,,0,False,0.0,112.6,,,,cluster_first,5,1,per-start,105,2,0,0,8389,1.0,2,7193,7194,7196,9,0.116,7.5,0.583,0.666,0.278,6365,1975,6414,8400,210.04,0.001,0.003,0.002,105.007,0.0
battery-n100,100,config,warm-cluster,spatial_term,actual,0,3,10000,,0,False,0.0,67.3,,,,cluster_first,1,1,per-start,120,3,0,0,9569,0.999,4,7187,7187,7195,11,0.274,28.67,0.444,0.665,0.37,7134,2412,7157,9600,240.06,0.003,0.009,0.003,120.007,0.001
battery-n100,100,config,warm-cluster,spatial_term,actual,0,3,10000,,0,False,0.0,67.3,,,,cluster_first,2,1,per-start,120,2,0,0,4040,0.84,698,7322,8020,8718,0,0.049,5.0,0.252,0.743,0.556,1580,2601,1439,2400,240.05,0.004,0.01,0.003,120.001,0.001
battery-n100,100,config,warm-cluster,spatial_term,actual,0,3,10000,,0,False,0.0,67.3,,,,cluster_first,3,1,per-start,120,2,0,0,4361,0.975,103,8077,8180,8283,3,0.017,3.0,0.267,0.758,0.556,1901,2601,1760,2401,240.05,0.003,0.009,0.003,120.001,0.0
battery-n100,100,config,warm-cluster,spatial_term,actual,0,3,10000,,0,False,0.0,67.3,,,,cluster_first,4,1,per-start,120,2,0,0,4188,0.975,104,7990,8094,8198,3,0.017,3.0,0.259,0.75,0.556,1728,2601,1587,2400,240.06,0.003,0.009,0.003,120.003,0.0
battery-n100,100,config,warm-cluster,spatial_term,actual,0,3,10000,,0,False,0.0,67.3,,,,cluster_first,5,1,per-start,120,2,0,0,4188,0.975,104,7990,8094,8198,3,0.017,3.0,0.259,0.75,0.556,1728,2601,1587,2400,240.05,0.003,0.008,0.002,120.0,0.0
battery-n200,200,config,warm-cluster,spatial_term,actual,0,3,10000,,0,False,0.0,59.0,,,,cluster_first,1,1,per-start,120,4,0,0,7722,0.879,373,7495,7850,8526,0,0.099,19.75,0.243,0.734,0.556,4244,4541,3181,4800,240.11,0.012,0.031,0.004,120.001,0.001
battery-n200,200,config,warm-cluster,spatial_term,actual,0,3,10000,,0,False,0.0,59.0,,,,cluster_first,2,1,per-start,120,4,0,0,7710,0.878,405,7380,7964,8401,3,0.035,4.0,0.243,0.734,0.556,4232,4541,3169,4800,240.11,0.013,0.03,0.004,120.002,0.001
battery-n200,200,config,warm-cluster,spatial_term,actual,0,3,10000,,0,False,0.0,59.0,,,,cluster_first,3,1,per-start,120,5,0,0,11991,0.992,20,7179,7194,7234,3,0.197,27.4,0.333,0.667,0.444,8531,4404,7586,12000,240.12,0.011,0.035,0.004,120.003,0.001
battery-n200,200,config,warm-cluster,spatial_term,actual,0,3,10000,,0,False,0.0,59.0,,,,cluster_first,4,1,per-start,120,5,0,0,11975,0.996,12,7182,7193,7214,2,0.706,35.2,0.333,0.666,0.444,8515,4404,7570,12000,241.13,0.013,0.031,0.004,120.002,0.001
battery-n200,200,config,warm-cluster,spatial_term,actual,0,3,10000,,0,False,0.0,59.0,,,,cluster_first,5,1,per-start,120,5,0,0,12063,0.984,44,7184,7189,7299,7,0.461,18.0,0.334,0.668,0.444,8603,4404,7658,12000,240.11,0.011,0.03,0.004,120.001,0.001
battery-n400,400,config,warm-cluster,spatial_term,actual,0,3,10000,,0,False,0.0,46.7,,,,cluster_first,1,1,per-start,120,8,0,0,14211,0.852,389,7194,7800,8448,3,0.293,8.0,0.228,0.72,0.556,8708,7178,7033,9600,240.32,0.044,0.135,0.008,120.002,0.002
battery-n400,400,config,warm-cluster,spatial_term,actual,0,3,10000,,0,False,0.0,46.7,,,,cluster_first,2,1,per-start,120,9,0,0,18212,0.852,385,7181,7191,8430,10,0.504,23.89,0.275,0.681,0.494,12723,7066,11146,16800,239.31,0.042,0.133,0.008,120.002,0.002
battery-n400,400,config,warm-cluster,spatial_term,actual,0,3,10000,,0,False,0.0,46.7,,,,cluster_first,3,1,per-start,120,9,0,0,17376,0.967,70,7186,7264,7433,6,0.261,35.67,0.266,0.673,0.494,11887,7066,10310,16800,239.31,0.044,0.135,0.008,120.002,0.002
battery-n400,400,config,warm-cluster,spatial_term,actual,0,3,10000,,0,False,0.0,46.7,,,,cluster_first,4,1,per-start,120,9,0,0,18139,0.902,239,7186,7264,7970,6,0.565,40.44,0.274,0.68,0.494,12650,7066,11073,16800,239.28,0.043,0.121,0.007,120.003,0.002
battery-n400,400,config,warm-cluster,spatial_term,actual,0,3,10000,,0,False,0.0,46.7,,,,cluster_first,5,1,per-start,120,9,0,0,17021,0.981,47,7180,7198,7319,9,0.188,25.44,0.262,0.669,0.494,11532,7066,9955,16800,239.32,0.043,0.14,0.007,120.002,0.002
battery-n800,800,config,warm-cluster,spatial_term,actual,0,3,10000,,0,False,0.0,35.4,,,,cluster_first,1,1,per-start,120,16,0,0,24414,0.808,531,7182,7255,8893,11,0.719,39.5,0.203,0.697,0.556,15497,12033,12381,19440,240.91,0.183,0.545,0.026,120.007,0.003
battery-n800,800,config,warm-cluster,spatial_term,actual,0,3,10000,,0,False,0.0,35.4,,,,cluster_first,2,1,per-start,120,17,0,0,29536,0.801,440,7179,7201,8962,30,0.223,26.41,0.235,0.684,0.523,20630,11952,17584,26400,240.99,0.179,0.532,0.023,120.004,0.004
battery-n800,800,config,warm-cluster,spatial_term,actual,0,3,10000,,0,False,0.0,35.4,,,,cluster_first,3,1,per-start,120,15,0,0,21485,0.804,611,7203,7580,8957,6,0.401,24.47,0.183,0.725,0.593,12557,12116,9369,12480,241.95,0.18,0.509,0.025,120.003,0.004
battery-n800,800,config,warm-cluster,spatial_term,actual,0,3,10000,,0,False,0.0,35.4,,,,cluster_first,4,1,per-start,120,18,0,0,36314,0.802,405,7182,7198,8954,47,0.718,26.22,0.274,0.681,0.494,27420,11872,24442,33960,241.12,0.195,0.521,0.025,120.128,0.004
battery-n800,800,config,warm-cluster,spatial_term,actual,0,3,10000,,0,False,0.0,35.4,,,,cluster_first,5,1,per-start,120,17,0,0,28696,0.87,325,7177,7196,8245,29,0.487,31.18,0.23,0.679,0.523,19790,11952,16744,26400,241.97,0.189,0.521,0.022,120.005,0.004
battery-n1000,1000,config,warm-cluster,spatial_term,actual,0,3,10000,,0,False,0.0,34.7,,,,cluster_first,1,1,per-start,120,22,0,0,41139,0.852,299,7178,7195,8427,59,0.824,25.91,0.255,0.678,0.505,30265,14860,26279,38400,241.47,0.293,0.822,0.038,120.006,0.006
battery-n1000,1000,config,warm-cluster,spatial_term,actual,0,3,10000,,0,False,0.0,34.7,,,,cluster_first,2,1,per-start,120,23,0,0,49008,0.836,332,7181,7195,8587,163,0.454,35.61,0.29,0.68,0.483,38145,14790,34218,45961,242.51,0.304,0.809,0.033,120.005,0.005
battery-n1000,1000,config,warm-cluster,spatial_term,actual,0,3,10000,,0,False,0.0,34.7,,,,cluster_first,3,1,per-start,120,22,0,0,49811,0.799,682,7177,7205,8980,167,0.58,51.77,0.293,0.715,0.505,38937,14860,34951,39361,241.54,0.314,0.855,0.036,120.006,0.006
battery-n1000,1000,config,warm-cluster,spatial_term,actual,0,3,10000,,0,False,0.0,34.7,,,,cluster_first,4,1,per-start,120,21,18,0,45496,0.802,697,7178,7234,8953,140,0.71,54.67,0.279,0.72,0.52,34611,14936,,34081,241.58,0.305,0.814,0.034,120.006,0.008
battery-n1000,1000,config,warm-cluster,spatial_term,actual,0,3,10000,,0,False,0.0,34.7,,,,cluster_first,5,1,per-start,120,20,1,0,35491,0.803,623,7181,7564,8945,101,0.439,45.7,0.228,0.719,0.555,24595,15015,,24120,241.61,0.396,0.859,0.034,120.004,0.004
battery-sparse-n250,250,config,warm-cluster,spatial_term,actual,0,3,10000,,0,False,0.0,85.8,,,,cluster_first,1,1,per-start,120,6,0,0,17604,0.816,651,7258,7668,8900,1,0.254,13.83,0.37,0.735,0.463,9228,10927,6677,13200,239.13,0.015,0.042,0.004,120.0,0.001
battery-sparse-n250,250,config,warm-cluster,spatial_term,actual,0,3,10000,,0,False,0.0,85.8,,,,cluster_first,2,1,per-start,120,7,0,0,20432,0.99,23,7187,7197,7260,1,0.385,16.14,0.405,0.667,0.397,12090,10756,9676,20401,240.14,0.015,0.042,0.005,119.999,0.001
battery-sparse-n250,250,config,warm-cluster,spatial_term,actual,0,3,10000,,0,False,0.0,85.8,,,,cluster_first,3,1,per-start,120,7,0,0,20546,0.987,26,7183,7219,7275,2,0.46,16.57,0.406,0.669,0.397,12204,10756,9790,20400,239.11,0.017,0.041,0.005,120.0,0.001
battery-sparse-n250,250,config,warm-cluster,spatial_term,actual,0,3,10000,,0,False,0.0,85.8,,,,cluster_first,4,1,per-start,120,7,0,0,21106,0.919,215,7189,7213,7825,4,0.25,22.29,0.413,0.676,0.397,12764,10756,10350,20400,240.14,0.016,0.042,0.004,120.017,0.001
battery-sparse-n250,250,config,warm-cluster,spatial_term,actual,0,3,10000,,0,False,0.0,85.8,,,,cluster_first,5,1,per-start,120,6,0,0,16630,0.868,352,7322,7735,8433,1,0.373,21.5,0.357,0.72,0.463,8254,10927,5703,13201,240.12,0.016,0.041,0.005,120.0,0.001
battery-sparse-n500,500,config,warm-cluster,spatial_term,actual,0,3,10000,,0,False,0.0,56.9,,,,cluster_first,1,1,per-start,120,12,0,0,28725,0.849,353,7179,7242,8457,12,0.486,18.17,0.324,0.685,0.463,19340,13055,15670,26400,241.39,0.061,0.172,0.012,120.001,0.002
battery-sparse-n500,500,config,warm-cluster,spatial_term,actual,0,3,10000,,0,False,0.0,56.9,,,,cluster_first,2,1,per-start,120,13,0,0,33778,0.977,46,7179,7192,7346,21,0.566,31.46,0.36,0.668,0.427,24413,12948,20830,33601,241.39,0.067,0.171,0.011,120.001,0.002
battery-sparse-n500,500,config,warm-cluster,spatial_term,actual,0,3,10000,,0,False,0.0,56.9,,,,cluster_first,3,1,per-start,120,12,0,0,26811,0.981,43,7190,7214,7327,5,0.362,62.5,0.309,0.67,0.463,17426,13055,13756,26400,239.37,0.06,0.174,0.011,120.0,0.002
battery-sparse-n500,500,config,warm-cluster,spatial_term,actual,0,3,10000,,0,False,0.0,56.9,,,,cluster_first,4,1,per-start,120,14,0,0,40741,0.99,17,7182,7190,7253,33,0.661,17.36,0.404,0.666,0.397,31395,12848,27893,40801,240.39,0.06,0.167,0.011,120.0,0.002
battery-sparse-n500,500,config,warm-cluster,spatial_term,actual,0,3,10000,,0,False,0.0,56.9,,,,cluster_first,5,1,per-start,120,11,0,0,23522,0.809,582,7188,7272,8882,4,0.49,26.27,0.282,0.703,0.505,14118,13169,10353,19200,241.45,0.063,0.175,0.011,120.084,0.002
area-26-n157,157,config,warm-cluster,spatial_term,actual,0,3,10000,,0,False,0.0,48.1,,,,cluster_first,1,1,per-start,120,3,0,0,4724,0.807,758,7197,7451,8916,0,0.112,6.67,0.2,0.727,0.581,2341,3618,1106,3240,240.08,0.006,0.017,0.003,120.002,0.001
area-26-n157,157,config,warm-cluster,spatial_term,actual,0,3,10000,,0,False,0.0,48.1,,,,cluster_first,2,1,per-start,120,3,0,0,4795,0.913,321,7425,8076,8134,0,0.11,4.0,0.203,0.73,0.581,2412,3618,1177,2760,240.07,0.006,0.017,0.003,120.001,0.001
area-26-n157,157,config,warm-cluster,spatial_term,actual,0,3,10000,,0,False,0.0,48.1,,,,cluster_first,3,1,per-start,120,3,0,0,4997,0.877,463,7294,8222,8321,0,0.11,4.33,0.21,0.735,0.581,2614,3618,1379,2760,240.07,0.006,0.017,0.003,120.002,0.001
area-26-n157,157,config,warm-cluster,spatial_term,actual,0,3,10000,,0,False,0.0,48.1,,,,cluster_first,4,1,per-start,120,3,0,0,4799,0.816,677,7177,7667,8795,0,0.072,4.67,0.203,0.73,0.581,2416,3618,1181,2760,240.08,0.006,0.017,0.003,119.997,0.001
area-26-n157,157,config,warm-cluster,spatial_term,actual,0,3,10000,,0,False,0.0,48.1,,,,cluster_first,5,1,per-start,120,3,0,0,4678,0.844,543,7175,7837,8506,2,0.404,21.67,0.199,0.726,0.581,2295,3618,1060,2760,240.06,0.006,0.017,0.003,120.0,0.001
area-27-n72,72,config,warm-cluster,spatial_term,actual,0,3,10000,,0,False,0.0,29.8,,,,cluster_first,1,1,per-start,120,2,0,0,5734,0.999,4,7183,7187,7191,3,0.631,29.0,0.399,0.665,0.4,5203,914,4820,5760,240.03,0.002,0.004,0.002,120.001,0.0
area-27-n72,72,config,warm-cluster,spatial_term,actual,0,3,10000,,0,False,0.0,29.8,,,,cluster_first,2,1,per-start,120,2,0,0,5736,0.999,3,7185,7188,7191,5,0.739,24.0,0.399,0.665,0.4,5205,914,4822,5760,240.03,0.002,0.004,0.002,120.001,0.0
area-27-n72,72,config,warm-cluster,spatial_term,actual,0,3,10000,,0,False,0.0,29.8,,,,cluster_first,3,1,per-start,120,2,0,0,5738,1.0,0,7189,7189,7189,7,0.415,19.5,0.399,0.666,0.4,5207,914,4824,5760,240.05,0.002,0.004,0.002,120.019,0.0
area-27-n72,72,config,warm-cluster,spatial_term,actual,0,3,10000,,0,False,0.0,29.8,,,,cluster_first,4,1,per-start,120,2,0,0,5739,1.0,2,7188,7190,7191,10,0.326,7.0,0.399,0.666,0.4,5208,914,4825,5760,240.06,0.002,0.004,0.002,120.002,0.0
