instance,n,axis,cell,strategy,balance_arm,span_coef,spatial_span_coef,stops_floor_penalty,max_vehicles_forced,time_global_span_coef,post_resequence,arc_lambda,arc_tau,cluster_neighbors,cluster_count,vehicles_per_cluster,warm_start,seed,starts,budget_mode,start_time_limit_sec,k,drops,degenerate_routes,travel_sec,balance,sigma_t_sec,dur_min_sec,dur_median_sec,dur_max_sec,crossings,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,msf_k_sec,relleno_msf_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec
battery-n50,50,config,warm-greedy,spatial_term,actual,0,3,10000,,0,False,0.0,112.6,,,,greedy,1,1,per-start,105,2,0,0,8399,0.998,8,7192,7200,7207,4,0.092,10.5,0.583,0.667,0.278,6375,1975,6424,8400,105.06,0.001,0.004,0.002,105.0,0.0
battery-n50,50,config,warm-greedy,spatial_term,actual,0,3,10000,,0,False,0.0,112.6,,,,greedy,2,1,per-start,105,2,0,0,8399,0.998,8,7192,7200,7207,4,0.092,10.5,0.583,0.667,0.278,6375,1975,6424,8400,105.09,0.001,0.002,0.002,105.07,0.0
battery-n50,50,config,warm-greedy,spatial_term,actual,0,3,10000,,0,False,0.0,112.6,,,,greedy,3,1,per-start,105,2,0,0,8399,0.998,8,7192,7200,7207,4,0.092,10.5,0.583,0.667,0.278,6375,1975,6424,8400,105.02,0.001,0.002,0.001,105.002,0.0
battery-n50,50,config,warm-greedy,spatial_term,actual,0,3,10000,,0,False,0.0,112.6,,,,greedy,4,1,per-start,105,2,0,0,8399,0.998,8,7192,7200,7207,4,0.092,10.5,0.583,0.667,0.278,6375,1975,6424,8400,105.02,0.001,0.002,0.001,105.002,0.0
battery-n50,50,config,warm-greedy,spatial_term,actual,0,3,10000,,0,False,0.0,112.6,,,,greedy,5,1,per-start,105,2,0,0,8399,0.998,8,7192,7200,7207,4,0.092,10.5,0.583,0.667,0.278,6375,1975,6424,8400,105.05,0.004,0.004,0.001,105.002,0.0
battery-n100,100,config,warm-greedy,spatial_term,actual,0,3,10000,,0,False,0.0,67.3,,,,greedy,1,1,per-start,120,2,0,0,4128,0.831,742,7322,8064,8806,3,0.049,5.0,0.256,0.746,0.556,1668,2601,1527,2400,120.04,0.003,0.007,0.002,120.003,0.0
battery-n100,100,config,warm-greedy,spatial_term,actual,0,3,10000,,0,False,0.0,67.3,,,,greedy,2,1,per-start,120,2,0,0,4128,0.831,742,7322,8064,8806,3,0.049,5.0,0.256,0.746,0.556,1668,2601,1527,2400,120.05,0.003,0.008,0.002,120.003,0.001
battery-n100,100,config,warm-greedy,spatial_term,actual,0,3,10000,,0,False,0.0,67.3,,,,greedy,3,1,per-start,120,2,0,0,4128,0.831,742,7322,8064,8806,3,0.049,5.0,0.256,0.746,0.556,1668,2601,1527,2400,120.05,0.003,0.007,0.002,120.002,0.001
battery-n100,100,config,warm-greedy,spatial_term,actual,0,3,10000,,0,False,0.0,67.3,,,,greedy,4,1,per-start,120,2,0,0,4128,0.831,742,7322,8064,8806,3,0.049,5.0,0.256,0.746,0.556,1668,2601,1527,2400,120.04,0.003,0.008,0.003,120.003,0.0
battery-n100,100,config,warm-greedy,spatial_term,actual,0,3,10000,,0,False,0.0,67.3,,,,greedy,5,1,per-start,120,2,0,0,4128,0.831,742,7322,8064,8806,3,0.049,5.0,0.256,0.746,0.556,1668,2601,1527,2400,120.05,0.003,0.007,0.002,120.014,0.0
battery-n200,200,config,warm-greedy,spatial_term,actual,0,3,10000,,0,False,0.0,59.0,,,,greedy,1,1,per-start,120,4,0,0,7854,0.844,511,7218,8040,8556,4,0.286,29.75,0.247,0.737,0.556,4376,4541,3313,4800,120.1,0.01,0.027,0.004,120.004,0.001
battery-n200,200,config,warm-greedy,spatial_term,actual,0,3,10000,,0,False,0.0,59.0,,,,greedy,2,1,per-start,120,4,0,0,7854,0.844,511,7218,8040,8556,4,0.286,29.75,0.247,0.737,0.556,4376,4541,3313,4800,120.09,0.009,0.027,0.004,120.003,0.001
battery-n200,200,config,warm-greedy,spatial_term,actual,0,3,10000,,0,False,0.0,59.0,,,,greedy,3,1,per-start,120,4,0,0,7854,0.844,511,7218,8040,8556,4,0.286,29.75,0.247,0.737,0.556,4376,4541,3313,4800,120.09,0.009,0.027,0.004,120.002,0.001
battery-n200,200,config,warm-greedy,spatial_term,actual,0,3,10000,,0,False,0.0,59.0,,,,greedy,4,1,per-start,120,4,0,0,7854,0.844,511,7218,8040,8556,4,0.286,29.75,0.247,0.737,0.556,4376,4541,3313,4800,120.09,0.009,0.027,0.004,120.002,0.001
battery-n200,200,config,warm-greedy,spatial_term,actual,0,3,10000,,0,False,0.0,59.0,,,,greedy,5,1,per-start,120,4,0,0,7854,0.844,511,7218,8040,8556,4,0.286,29.75,0.247,0.737,0.556,4376,4541,3313,4800,120.1,0.009,0.026,0.004,120.004,0.001
battery-n400,400,config,warm-greedy,spatial_term,actual,0,3,10000,,0,False,0.0,46.7,,,,greedy,1,1,per-start,120,7,0,0,14582,0.982,51,8876,8944,9037,7,0.362,60.57,0.233,0.828,0.635,9064,7314,7268,3000,120.32,0.043,0.11,0.008,120.004,0.002
battery-n400,400,config,warm-greedy,spatial_term,actual,0,3,10000,,0,False,0.0,46.7,,,,greedy,2,1,per-start,120,7,0,0,14582,0.982,51,8876,8944,9037,7,0.362,60.57,0.233,0.828,0.635,9064,7314,7268,3000,120.25,0.037,0.11,0.009,120.003,0.002
battery-n400,400,config,warm-greedy,spatial_term,actual,0,3,10000,,0,False,0.0,46.7,,,,greedy,3,1,per-start,120,7,0,0,14454,0.976,67,8816,8920,9037,7,0.362,60.57,0.231,0.826,0.635,8936,7314,7140,3000,120.23,0.038,0.107,0.007,119.985,0.002
battery-n400,400,config,warm-greedy,spatial_term,actual,0,3,10000,,0,False,0.0,46.7,,,,greedy,4,1,per-start,120,7,0,0,14454,0.976,67,8816,8920,9037,7,0.362,60.57,0.231,0.826,0.635,8936,7314,7140,3000,120.26,0.037,0.108,0.007,120.006,0.002
battery-n400,400,config,warm-greedy,spatial_term,actual,0,3,10000,,0,False,0.0,46.7,,,,greedy,5,1,per-start,120,7,0,0,14582,0.982,51,8876,8944,9037,7,0.362,60.57,0.233,0.828,0.635,9064,7314,7268,3000,120.27,0.036,0.108,0.007,120.004,0.002
battery-n800,800,config,warm-greedy,spatial_term,actual,0,3,10000,,0,False,0.0,35.4,,,,greedy,1,1,per-start,120,14,0,0,31022,0.975,53,8993,9065,9222,35,0.784,216.71,0.244,0.84,0.635,22082,12208,18814,7081,120.79,0.149,0.433,0.021,120.006,0.003
battery-n800,800,config,warm-greedy,spatial_term,actual,0,3,10000,,0,False,0.0,35.4,,,,greedy,2,1,per-start,120,14,0,0,31030,0.977,50,8993,9065,9207,37,0.784,216.71,0.244,0.84,0.635,22090,12208,18822,7201,120.81,0.145,0.43,0.02,120.007,0.003
battery-n800,800,config,warm-greedy,spatial_term,actual,0,3,10000,,0,False,0.0,35.4,,,,greedy,3,1,per-start,120,14,0,0,31022,0.975,53,8993,9065,9222,35,0.784,216.71,0.244,0.84,0.635,22082,12208,18814,7081,120.79,0.148,0.434,0.021,120.006,0.003
