instance,n,k,service_total_sec,nn_mean_sec,nn_lower_bound_sec,msf_k_sec,floor_travel_lb_sec,travel_lb_sec,travel_ub_tmax_sec,feasible,saturation_apriori,relleno_lb_sec
area-26-n157,157,1,18840,15.48,2414,4256,0,4256,-8040,False,1.744,1842
area-26-n157,157,1,18840,15.48,2414,4256,0,4256,-8040,False,1.744,1842
area-26-n157,157,2,18840,15.48,2399,3881,0,3881,2760,False,0.872,1482
area-26-n157,157,2,18840,15.48,2399,3881,0,3881,2760,False,0.872,1482
area-26-n157,157,3,18840,15.48,2383,3618,0,3618,13560,True,0.581,1235
area-26-n157,157,3,18840,15.48,2383,3618,2760,3618,13560,True,0.581,1235
area-26-n157,157,4,18840,15.48,2368,3406,0,3406,24360,True,0.436,1039
area-26-n157,157,4,18840,15.48,2368,3406,9960,9960,24360,True,0.436,7592
area-26-n157,157,5,18840,15.48,2352,3230,0,3230,35160,True,0.349,878
area-26-n157,157,5,18840,15.48,2352,3230,17160,17160,35160,True,0.349,14808
area-26-n157,157,6,18840,15.48,2337,3075,0,3075,45960,True,0.291,738
area-26-n157,157,6,18840,15.48,2337,3075,24360,24360,45960,True,0.291,22023
