instance,n,axis,cell,strategy,balance_arm,span_coef,spatial_span_coef,max_vehicles_forced,time_global_span_coef,post_resequence,arc_lambda,arc_tau,seed,k,drops,degenerate_routes,travel_sec,balance,sigma_t_sec,dur_min_sec,dur_median_sec,dur_max_sec,crossings,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec
battery-n50,50,config,feasible-floor-b060-stops10,spatial_term,feasible-floor-b060-stops10,0,3,,0,False,0.0,112.6,1,1,0,0,3419,1.0,0,9419,9419,9419,0,0.0,0.0,0.363,0.872,0.556,1352,1200,105.06,0.001,0.004,0.01,104.992,0.0
battery-n50,50,config,feasible-floor-b060-stops10,spatial_term,feasible-floor-b060-stops10,0,3,,0,False,0.0,112.6,2,1,0,0,3419,1.0,0,9419,9419,9419,0,0.0,0.0,0.363,0.872,0.556,1352,1200,105.02,0.001,0.002,0.009,104.987,0.0
battery-n50,50,config,feasible-floor-b060-stops10,spatial_term,feasible-floor-b060-stops10,0,3,,0,False,0.0,112.6,3,1,0,0,3419,1.0,0,9419,9419,9419,0,0.0,0.0,0.363,0.872,0.556,1352,1200,105.02,0.001,0.002,0.009,104.992,0.0
battery-n100,100,config,feasible-floor-b060-stops10,spatial_term,feasible-floor-b060-stops10,0,3,,0,False,0.0,67.3,1,2,0,0,4274,0.654,1704,6433,8137,9841,0,0.03,5.0,0.263,0.754,0.556,1814,2400,120.06,0.003,0.007,0.023,119.978,0.0
battery-n100,100,config,feasible-floor-b060-stops10,spatial_term,feasible-floor-b060-stops10,0,3,,0,False,0.0,67.3,2,2,0,0,4274,0.654,1704,6433,8137,9841,0,0.03,5.0,0.263,0.754,0.556,1814,2400,120.04,0.003,0.007,0.023,119.979,0.0
battery-n100,100,config,feasible-floor-b060-stops10,spatial_term,feasible-floor-b060-stops10,0,3,,0,False,0.0,67.3,3,2,0,0,4274,0.654,1704,6433,8137,9841,0,0.03,5.0,0.263,0.754,0.556,1814,2400,120.04,0.003,0.007,0.024,119.977,0.0
battery-n200,200,config,feasible-floor-b060-stops10,spatial_term,feasible-floor-b060-stops10,0,3,,0,False,0.0,59.0,1,4,0,0,8139,0.667,1203,6484,7970,9716,4,0.02,7.0,0.253,0.744,0.556,4661,4800,120.08,0.01,0.025,0.071,119.933,0.001
battery-n200,200,config,feasible-floor-b060-stops10,spatial_term,feasible-floor-b060-stops10,0,3,,0,False,0.0,59.0,2,4,0,0,8139,0.667,1203,6484,7970,9716,4,0.02,7.0,0.253,0.744,0.556,4661,4800,120.08,0.009,0.026,0.064,119.938,0.001
battery-n200,200,config,feasible-floor-b060-stops10,spatial_term,feasible-floor-b060-stops10,0,3,,0,False,0.0,59.0,3,4,0,0,8139,0.667,1203,6484,7970,9716,4,0.02,7.0,0.253,0.744,0.556,4661,4800,120.1,0.009,0.027,0.065,119.956,0.001
battery-n400,400,config,feasible-floor-b060-stops10,spatial_term,feasible-floor-b060-stops10,0,3,,0,False,0.0,46.7,1,6,0,0,13191,0.822,666,8813,10488,10727,5,0.415,65.67,0.216,0.944,0.741,7659,960,120.29,0.036,0.105,0.21,119.843,0.003
battery-n400,400,config,feasible-floor-b060-stops10,spatial_term,feasible-floor-b060-stops10,0,3,,0,False,0.0,46.7,2,6,0,0,13191,0.822,666,8813,10488,10727,5,0.415,65.67,0.216,0.944,0.741,7659,960,120.25,0.037,0.103,0.211,119.791,0.002
