instance,n,axis,cell,strategy,balance_arm,span_coef,spatial_span_coef,max_vehicles_forced,time_global_span_coef,post_resequence,arc_lambda,arc_tau,seed,starts,budget_mode,start_time_limit_sec,k,drops,degenerate_routes,travel_sec,balance,sigma_t_sec,dur_min_sec,dur_median_sec,dur_max_sec,crossings,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,msf_k_sec,relleno_msf_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec
battery-n50,50,config,actual,spatial_term,actual,0,3,,0,False,0.0,112.6,1,1,per-start,105,2,0,0,8389,0.998,6,7189,7194,7200,4,0.222,17.0,0.583,0.667,0.278,6365,1975,6414,8400,105.1,0.002,0.007,0.012,104.988,0.001
battery-n100,100,config,actual,spatial_term,actual,0,3,,0,False,0.0,67.3,1,1,per-start,120,2,0,0,4295,0.968,134,8014,8148,8281,0,0.017,3.0,0.264,0.754,0.556,1835,2601,1694,2400,120.06,0.004,0.012,0.032,119.969,0.001
battery-n200,200,config,actual,spatial_term,actual,0,3,,0,False,0.0,59.0,1,1,per-start,120,4,0,0,8313,0.864,431,7556,8006,8744,1,0.29,21.5,0.257,0.748,0.556,4835,4541,3772,4800,120.13,0.015,0.039,0.097,119.905,0.001
battery-n400,400,config,actual,spatial_term,actual,0,3,,0,False,0.0,46.7,1,1,per-start,120,7,0,0,14037,0.919,248,8255,8969,8979,3,0.404,35.57,0.226,0.82,0.635,8519,7314,6723,3481,120.36,0.053,0.159,0.333,119.671,0.002
battery-n800,800,config,actual,spatial_term,actual,0,3,,0,False,0.0,35.4,1,1,per-start,120,12,0,0,20999,0.836,518,9005,9755,10767,56,0.471,50.5,0.179,0.903,0.741,12036,12392,8607,960,121.11,0.224,0.662,1.186,118.747,0.005
battery-n1000,1000,config,actual,spatial_term,actual,0,3,,0,False,0.0,34.7,1,1,per-start,120,15,0,0,28227,0.841,582,8997,10019,10704,60,0.552,126.93,0.19,0.915,0.741,17275,15438,12789,600,121.7,0.313,1.049,1.832,118.169,0.006
battery-sparse-n250,250,config,actual,spatial_term,actual,0,3,,0,False,0.0,85.8,1,1,per-start,120,5,0,0,15443,0.889,413,8810,8890,9910,2,0.334,34.6,0.34,0.842,0.556,7033,11132,4311,6000,120.2,0.024,0.061,0.129,119.87,0.001
battery-sparse-n500,500,config,actual,spatial_term,actual,0,3,,0,False,0.0,56.9,1,1,per-start,120,8,0,0,18863,0.849,604,9079,9867,10697,11,0.425,43.38,0.239,0.913,0.694,9401,13517,5346,1200,120.52,0.086,0.27,0.481,119.518,0.003
area-26-n157,157,config,actual,spatial_term,actual,0,3,,0,False,0.0,48.1,1,1,per-start,120,3,0,0,5229,0.871,455,7425,8117,8527,0,0.242,15.67,0.217,0.743,0.581,2846,3618,1611,2760,120.09,0.009,0.024,0.062,119.936,0.001
area-27-n72,72,config,actual,spatial_term,actual,0,3,,0,False,0.0,29.8,1,1,per-start,120,2,0,0,5732,1.0,1,7185,7186,7187,18,0.36,13.0,0.399,0.665,0.4,5201,914,4818,5760,120.04,0.002,0.007,0.022,119.977,0.0
area-29-n43,43,config,actual,spatial_term,actual,0,3,,0,False,0.0,27.6,1,1,per-start,94,1,0,0,2024,1.0,0,7184,7184,7184,10,0.0,0.0,0.282,0.665,0.478,1636,789,1235,2040,94.03,0.002,0.004,0.011,93.988,0.0
reference-n1607,1607,config,actual,spatial_term,actual,0,3,,0,False,0.0,44.1,1,1,per-start,120,25,0,0,60351,0.842,494,9061,10203,10766,59,0.395,119.28,0.238,0.938,0.714,33295,30823,29528,11760,124.25,0.864,2.798,4.417,115.588,0.01
battery-n50,50,config,actual,spatial_term,actual,0,3,,0,False,0.0,112.6,2,1,per-start,105,2,0,0,8398,0.998,8,7191,7199,7207,6,0.195,16.5,0.583,0.667,0.278,6374,1975,6423,8400,105.1,0.002,0.005,0.012,104.988,0.001
battery-n100,100,config,actual,spatial_term,actual,0,3,,0,False,0.0,67.3,2,1,per-start,120,2,0,0,4079,0.828,758,7282,8040,8797,0,0.049,5.0,0.254,0.744,0.556,1619,2601,1478,2400,120.07,0.004,0.011,0.033,119.969,0.001
battery-n200,200,config,actual,spatial_term,actual,0,3,,0,False,0.0,59.0,2,1,per-start,120,4,0,0,8550,0.885,426,7569,8215,8551,6,0.169,18.75,0.263,0.754,0.556,5072,4541,4009,4800,120.13,0.014,0.04,0.111,119.889,0.001
battery-n400,400,config,actual,spatial_term,actual,0,3,,0,False,0.0,46.7,2,1,per-start,120,7,0,0,14220,0.975,69,8739,8895,8961,0,0.466,79.29,0.229,0.823,0.635,8702,7314,6906,3720,120.39,0.072,0.163,0.313,119.687,0.002
battery-n800,800,config,actual,spatial_term,actual,0,3,,0,False,0.0,35.4,2,1,per-start,120,12,0,0,21259,0.814,574,8730,9848,10730,63,0.413,55.67,0.181,0.905,0.741,12296,12392,8867,2040,121.12,0.239,0.643,1.183,118.75,0.006
battery-n1000,1000,config,actual,spatial_term,actual,0,3,,0,False,0.0,34.7,2,1,per-start,120,15,0,0,28030,0.841,685,9056,9460,10763,69,0.486,94.0,0.189,0.914,0.741,17078,15438,12592,1440,121.76,0.38,1.022,1.757,118.244,0.006
