instance,n,axis,cell,strategy,balance_arm,span_coef,spatial_span_coef,max_vehicles_forced,time_global_span_coef,post_resequence,arc_lambda,arc_tau,seed,starts,budget_mode,start_time_limit_sec,k,drops,degenerate_routes,travel_sec,balance,sigma_t_sec,dur_min_sec,dur_median_sec,dur_max_sec,crossings,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,msf_k_sec,relleno_msf_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec
battery-n50,50,config,actual,spatial_term,actual,0,3,,0,False,0.0,112.6,1,3,per-start,105,2,0,0,8399,0.998,8,7191,7200,7208,5,0.186,10.5,0.583,0.667,0.278,6375,1975,6424,8400,315.09,0.002,0.013,0.037,314.965,0.001
battery-n100,100,config,actual,spatial_term,actual,0,3,,0,False,0.0,67.3,1,3,per-start,120,2,0,0,4295,0.968,134,8014,8148,8281,0,0.017,3.0,0.264,0.754,0.556,1835,2601,1694,2400,360.11,0.006,0.042,0.093,359.916,0.002
battery-n200,200,config,actual,spatial_term,actual,0,3,,0,False,0.0,59.0,1,3,per-start,120,4,0,0,8174,0.875,454,7471,8084,8534,0,0.132,12.75,0.254,0.745,0.556,4696,4541,3633,4800,360.17,0.016,0.122,0.279,359.673,0.003
battery-n400,400,config,actual,spatial_term,actual,0,3,,0,False,0.0,46.7,1,3,per-start,120,7,0,0,14306,0.986,43,8840,8919,8964,3,0.655,70.29,0.23,0.824,0.635,8788,7314,6992,3120,360.7,0.054,0.491,0.933,359.067,0.006
battery-n800,800,config,actual,spatial_term,actual,0,3,,0,False,0.0,35.4,1,3,per-start,120,12,0,0,20227,0.855,564,8961,9744,10475,31,0.4,63.17,0.174,0.897,0.741,11264,12392,7835,120,260.44,0.229,2.051,3.473,254.348,0.013
battery-n1000,1000,config,actual,spatial_term,actual,0,3,,0,False,0.0,34.7,1,3,per-start,120,15,0,0,26700,0.837,598,8998,9866,10748,49,0.479,83.27,0.182,0.906,0.741,15748,15438,11262,0,210.89,0.357,3.36,5.161,201.635,0.019
battery-sparse-n250,250,config,actual,spatial_term,actual,0,3,,0,False,0.0,85.8,1,3,per-start,120,6,0,0,16026,0.9,312,7243,7694,8044,0,0.257,16.33,0.348,0.71,0.463,7650,10927,5099,13200,360.39,0.021,0.183,0.384,359.68,0.005
battery-sparse-n500,500,config,actual,spatial_term,actual,0,3,,0,False,0.0,56.9,1,3,per-start,120,9,0,0,24384,0.873,473,8949,9233,10246,38,0.734,72.0,0.289,0.868,0.617,14942,13401,10983,5640,298.22,0.077,0.779,1.364,295.815,0.011
area-26-n157,157,config,actual,spatial_term,actual,0,3,,0,False,0.0,48.1,1,3,per-start,120,3,0,0,4988,0.86,542,7176,8303,8349,3,0.346,17.67,0.209,0.735,0.581,2605,3618,1370,2760,360.0,0.01,0.099,0.223,359.524,0.011
area-27-n72,72,config,actual,spatial_term,actual,0,3,,0,False,0.0,29.8,1,3,per-start,120,2,0,0,5741,0.998,6,7185,7190,7196,8,0.514,18.5,0.399,0.665,0.4,5210,914,4827,5760,360.06,0.003,0.015,0.059,359.944,0.002
area-29-n43,43,config,actual,spatial_term,actual,0,3,,0,False,0.0,27.6,1,3,per-start,94,1,0,0,2023,1.0,0,7183,7183,7183,3,0.0,0.0,0.282,0.665,0.478,1635,789,1234,2040,282.04,0.002,0.007,0.028,281.976,0.001
reference-n1607,1607,config,actual,spatial_term,actual,0,3,,0,False,0.0,44.1,1,3,per-start,120,25,0,0,60335,0.842,494,9061,10203,10766,59,0.395,119.28,0.238,0.938,0.714,33279,30823,29512,11760,370.14,1.029,8.318,12.805,347.19,0.027
battery-n50,50,config,actual,spatial_term,actual,0,3,,0,False,0.0,112.6,2,3,per-start,105,2,0,0,8390,0.998,6,7189,7195,7201,8,0.214,18.5,0.583,0.667,0.278,6366,1975,6415,8400,315.1,0.002,0.015,0.05,314.963,0.001
battery-n100,100,config,actual,spatial_term,actual,0,3,,0,False,0.0,67.3,2,3,per-start,120,2,0,0,4277,0.966,142,7996,8138,8281,0,0.017,3.0,0.263,0.754,0.556,1817,2601,1676,2400,360.1,0.004,0.044,0.103,359.899,0.002
battery-n200,200,config,actual,spatial_term,actual,0,3,,0,False,0.0,59.0,2,3,per-start,120,4,0,0,8101,0.871,414,7584,7906,8705,2,0.099,19.75,0.252,0.743,0.556,4623,4541,3560,4800,360.14,0.015,0.122,0.292,359.633,0.004
battery-n400,400,config,actual,spatial_term,actual,0,3,,0,False,0.0,46.7,2,3,per-start,120,7,0,0,14220,0.975,69,8739,8895,8961,0,0.466,79.29,0.229,0.823,0.635,8702,7314,6906,3720,360.7,0.064,0.487,0.984,359.014,0.007
battery-n800,800,config,actual,spatial_term,actual,0,3,,0,False,0.0,35.4,2,3,per-start,120,12,0,0,21231,0.839,691,9008,9572,10732,36,0.376,110.92,0.181,0.905,0.741,12268,12392,8839,480,260.48,0.225,1.992,3.661,254.271,0.015
battery-n1000,1000,config,actual,spatial_term,actual,0,3,,0,False,0.0,34.7,2,3,per-start,120,15,0,0,27363,0.842,630,8994,10084,10679,81,0.687,108.47,0.186,0.91,0.741,16411,15438,11925,1200,210.86,0.327,3.264,5.373,201.516,0.022
battery-sparse-n250,250,config,actual,spatial_term,actual,0,3,,0,False,0.0,85.8,2,3,per-start,120,6,0,0,16323,0.856,413,7182,7675,8393,1,0.184,9.17,0.352,0.715,0.463,7947,10927,5396,13200,360.4,0.021,0.178,0.398,359.665,0.004
battery-sparse-n500,500,config,actual,spatial_term,actual,0,3,,0,False,0.0,56.9,2,3,per-start,120,9,0,0,21437,0.965,110,8949,9009,9277,13,0.414,56.67,0.263,0.838,0.617,11995,13401,8036,4920,298.26,0.081,0.745,1.421,295.816,0.01
area-26-n157,157,config,actual,spatial_term,actual,0,3,,0,False,0.0,48.1,2,3,per-start,120,3,0,0,4839,0.915,318,7444,8101,8134,0,0.11,4.0,0.204,0.731,0.581,2456,3618,1221,2760,359.99,0.009,0.092,0.246,359.514,0.01
area-27-n72,72,config,actual,spatial_term,actual,0,3,,0,False,0.0,29.8,2,3,per-start,120,2,0,0,5751,0.997,12,7184,7196,7207,4,0.595,25.0,0.4,0.666,0.4,5220,914,4837,5760,360.06,0.002,0.017,0.062,359.94,0.002
area-29-n43,43,config,actual,spatial_term,actual,0,3,,0,False,0.0,27.6,2,3,per-start,94,1,0,0,2024,1.0,0,7184,7184,7184,5,0.0,0.0,0.282,0.665,0.478,1636,789,1235,2040,282.04,0.001,0.007,0.03,281.974,0.001
reference-n1607,1607,config,actual,spatial_term,actual,0,3,,0,False,0.0,44.1,2,3,per-start,120,25,0,0,61031,0.843,598,9036,10460,10720,71,0.374,97.48,0.24,0.94,0.714,33975,30823,30208,9000,369.98,0.898,8.263,13.287,346.723,0.029
battery-n50,50,config,actual,spatial_term,actual,0,3,,0,False,0.0,112.6,3,3,per-start,105,2,0,0,8399,0.998,8,7191,7200,7208,5,0.186,10.5,0.583,0.667,0.278,6375,1975,6424,8400,315.09,0.002,0.012,0.039,314.961,0.001
battery-n100,100,config,actual,spatial_term,actual,0,3,,0,False,0.0,67.3,3,3,per-start,120,2,0,0,4126,0.832,741,7322,8063,8804,0,0.049,5.0,0.256,0.746,0.556,1666,2601,1525,2400,360.09,0.003,0.031,0.096,359.906,0.002
battery-n200,200,config,actual,spatial_term,actual,0,3,,0,False,0.0,59.0,3,3,per-start,120,4,0,0,8120,0.809,711,7220,7990,8921,2,0.074,10.5,0.253,0.744,0.556,4642,4541,3579,4800,360.13,0.012,0.121,0.283,359.642,0.004
battery-n400,400,config,actual,spatial_term,actual,0,3,,0,False,0.0,46.7,3,3,per-start,120,7,0,0,14778,0.989,28,8926,8971,9025,9,0.636,51.57,0.235,0.831,0.635,9260,7314,7464,3720,360.7,0.055,0.481,0.939,359.067,0.007
battery-n800,800,config,actual,spatial_term,actual,0,3,,0,False,0.0,35.4,3,3,per-start,120,12,0,0,20482,0.852,450,8865,9754,10406,26,0.381,61.17,0.176,0.899,0.741,11519,12392,8090,720,260.53,0.222,2.01,3.482,254.482,0.013
battery-n1000,1000,config,actual,spatial_term,actual,0,3,,0,False,0.0,34.7,3,3,per-start,120,15,0,0,27011,0.834,587,8970,9799,10758,76,0.479,97.6,0.184,0.907,0.741,16059,15438,11573,480,210.95,0.322,3.358,5.303,201.571,0.023
battery-sparse-n250,250,config,actual,spatial_term,actual,0,3,,0,False,0.0,85.8,3,3,per-start,120,6,0,0,15174,0.922,214,7365,7460,7988,1,0.273,14.33,0.336,0.697,0.463,6798,10927,4247,13200,360.39,0.023,0.184,0.381,359.685,0.004
battery-sparse-n500,500,config,actual,spatial_term,actual,0,3,,0,False,0.0,56.9,3,3,per-start,120,9,0,0,21529,0.974,63,8964,9044,9206,14,0.706,95.67,0.264,0.839,0.617,12087,13401,8128,4922,298.17,0.085,0.79,1.371,295.729,0.01
area-26-n157,157,config,actual,spatial_term,actual,0,3,,0,False,0.0,48.1,3,3,per-start,120,3,0,0,5017,0.857,514,7246,8156,8455,0,0.042,2.67,0.21,0.736,0.581,2634,3618,1399,2760,360.01,0.008,0.093,0.257,359.503,0.024
area-27-n72,72,config,actual,spatial_term,actual,0,3,,0,False,0.0,29.8,3,3,per-start,120,2,0,0,5743,0.999,4,7188,7192,7195,4,0.687,28.0,0.399,0.666,0.4,5212,914,4829,5760,360.06,0.002,0.017,0.062,359.94,0.002
area-29-n43,43,config,actual,spatial_term,actual,0,3,,0,False,0.0,27.6,3,3,per-start,94,1,0,0,2028,1.0,0,7188,7188,7188,5,0.0,0.0,0.282,0.666,0.478,1640,789,1239,2040,282.04,0.002,0.007,0.031,281.97,0.001
reference-n1607,1607,config,actual,spatial_term,actual,0,3,,0,False,0.0,44.1,3,3,per-start,120,25,0,0,60377,0.835,541,8984,10095,10761,81,0.49,108.2,0.238,0.938,0.714,33321,30823,29554,10080,369.9,0.966,8.144,12.975,347.025,0.031
battery-n50,50,config,actual,spatial_term,actual,0,3,,0,False,0.0,112.6,4,3,per-start,105,2,0,0,8390,0.998,6,7189,7195,7201,8,0.214,18.5,0.583,0.667,0.278,6366,1975,6415,8400,315.1,0.001,0.016,0.038,314.963,0.001
battery-n100,100,config,actual,spatial_term,actual,0,3,,0,False,0.0,67.3,4,3,per-start,120,2,0,0,4262,0.948,217,7914,8131,8348,3,0.017,3.0,0.262,0.753,0.556,1802,2601,1661,2400,360.08,0.004,0.028,0.096,359.905,0.002
battery-n200,200,config,actual,spatial_term,actual,0,3,,0,False,0.0,59.0,4,3,per-start,120,4,0,0,8064,0.863,469,7315,8136,8477,1,0.249,30.0,0.251,0.742,0.556,4586,4541,3523,4800,360.14,0.012,0.12,0.282,359.646,0.003
battery-n400,400,config,actual,spatial_term,actual,0,3,,0,False,0.0,46.7,4,3,per-start,120,7,0,0,14055,0.969,89,8690,8888,8965,3,0.442,50.29,0.226,0.821,0.635,8537,7314,6741,3480,360.69,0.055,0.482,0.955,359.049,0.007
battery-n800,800,config,actual,spatial_term,actual,0,3,,0,False,0.0,35.4,4,3,per-start,120,12,0,0,21070,0.816,676,8688,9776,10641,26,0.458,81.17,0.18,0.903,0.741,12107,12392,8678,1320,260.56,0.234,1.994,3.575,254.44,0.012
battery-n1000,1000,config,actual,spatial_term,actual,0,3,,0,False,0.0,34.7,4,3,per-start,120,15,0,0,28197,0.837,560,8984,9852,10731,48,0.393,105.53,0.19,0.915,0.741,17245,15438,12759,2640,210.93,0.329,3.298,5.418,201.502,0.02
battery-sparse-n250,250,config,actual,spatial_term,actual,0,3,,0,False,0.0,85.8,4,3,per-start,120,6,0,0,15627,0.912,274,7220,7684,7919,0,0.181,17.33,0.342,0.704,0.463,7251,10927,4700,13200,360.38,0.018,0.18,0.386,359.677,0.005
battery-sparse-n500,500,config,actual,spatial_term,actual,0,3,,0,False,0.0,56.9,4,3,per-start,120,9,0,0,21478,0.93,206,8957,8978,9632,10,0.475,60.78,0.264,0.838,0.617,12036,13401,8077,5161,298.21,0.079,0.763,1.404,295.774,0.009
