instance,n,axis,cell,strategy,balance_arm,span_coef,spatial_span_coef,max_vehicles_forced,time_global_span_coef,post_resequence,arc_lambda,arc_tau,seed,starts,budget_mode,start_time_limit_sec,k,drops,degenerate_routes,travel_sec,balance,sigma_t_sec,dur_min_sec,dur_median_sec,dur_max_sec,crossings,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,msf_k_sec,relleno_msf_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec
battery-n50,50,config,actual,spatial_term,actual,0,3,,0,False,0.0,112.6,1,3,total,35,2,0,0,8392,0.999,5,7191,7196,7201,5,0.412,12.0,0.583,0.667,0.278,6368,1975,6417,8400,105.17,0.002,0.012,0.037,105.034,0.001
battery-n100,100,config,actual,spatial_term,actual,0,3,,0,False,0.0,67.3,1,3,total,40,2,0,0,4295,0.968,134,8014,8148,8281,0,0.017,3.0,0.264,0.754,0.556,1835,2601,1694,2400,120.09,0.004,0.03,0.097,119.912,0.002
battery-n200,200,config,actual,spatial_term,actual,0,3,,0,False,0.0,59.0,1,3,total,40,4,0,0,8129,0.895,402,7577,8041,8470,3,0.27,16.25,0.253,0.744,0.556,4651,4541,3588,4800,120.21,0.015,0.119,0.293,119.702,0.004
battery-n400,400,config,actual,spatial_term,actual,0,3,,0,False,0.0,46.7,1,3,total,40,7,0,0,15482,0.961,133,8968,8994,9332,23,0.504,66.0,0.244,0.84,0.635,9964,7314,8168,3120,120.69,0.058,0.477,0.955,119.052,0.007
battery-n800,800,config,actual,spatial_term,actual,0,3,,0,False,0.0,35.4,1,3,total,40,12,0,0,22309,0.834,604,8976,9834,10766,61,0.349,67.0,0.189,0.913,0.741,13346,12392,9917,2040,122.65,0.249,2.046,3.504,116.508,0.015
battery-n1000,1000,config,actual,spatial_term,actual,0,3,,0,False,0.0,34.7,1,3,total,40,15,0,0,30813,0.844,563,9097,10064,10777,94,0.681,153.87,0.204,0.931,0.741,19861,15438,15375,1680,124.0,0.366,3.208,5.203,114.825,0.017
battery-sparse-n250,250,config,actual,spatial_term,actual,0,3,,0,False,0.0,85.8,1,3,total,40,5,0,0,15904,0.9,391,8966,8977,9962,8,0.282,44.8,0.346,0.85,0.556,7494,11132,4772,6001,120.34,0.021,0.191,0.406,119.598,0.005
battery-sparse-n500,500,config,actual,spatial_term,actual,0,3,,0,False,0.0,56.9,1,3,total,40,9,0,0,24747,0.876,439,8975,9243,10246,23,0.583,96.67,0.292,0.872,0.617,15305,13401,11346,6120,121.02,0.086,0.74,1.426,118.582,0.009
area-26-n157,157,config,actual,spatial_term,actual,0,3,,0,False,0.0,48.1,1,3,total,40,3,0,0,4988,0.86,542,7176,8303,8349,3,0.346,17.67,0.209,0.735,0.581,2605,3618,1370,2760,120.11,0.009,0.073,0.192,119.773,0.003
area-27-n72,72,config,actual,spatial_term,actual,0,3,,0,False,0.0,29.8,1,3,total,40,2,0,0,5734,1.0,0,7187,7187,7187,6,0.573,18.5,0.399,0.665,0.4,5203,914,4820,5760,120.07,0.005,0.018,0.068,119.933,0.002
area-29-n43,43,config,actual,spatial_term,actual,0,3,,0,False,0.0,27.6,1,3,total,31,1,0,0,2025,1.0,0,7185,7185,7185,4,0.0,0.0,0.282,0.665,0.478,1637,789,1236,2040,93.04,0.001,0.007,0.029,92.977,0.001
reference-n1607,1607,config,actual,spatial_term,actual,0,3,,0,False,0.0,44.1,1,3,total,40,25,0,1,66079,0.86,444,9257,10628,10770,105,0.361,100.0,0.255,0.959,0.714,39023,30823,35256,12361,130.01,0.944,8.207,13.342,106.676,0.026
battery-n50,50,config,actual,spatial_term,actual,0,3,,0,False,0.0,112.6,2,3,total,35,2,0,0,8386,1.0,1,7192,7193,7194,7,0.194,20.5,0.583,0.666,0.278,6362,1975,6411,8400,105.17,0.006,0.018,0.044,105.027,0.001
battery-n100,100,config,actual,spatial_term,actual,0,3,,0,False,0.0,67.3,2,3,total,40,2,0,0,4079,0.828,758,7282,8040,8797,0,0.049,5.0,0.254,0.744,0.556,1619,2601,1478,2400,120.1,0.005,0.034,0.095,119.916,0.002
battery-n200,200,config,actual,spatial_term,actual,0,3,,0,False,0.0,59.0,2,3,total,40,4,0,0,8550,0.885,426,7569,8215,8551,6,0.169,18.75,0.263,0.754,0.556,5072,4541,4009,4800,120.22,0.017,0.116,0.28,119.727,0.004
