instance,n,axis,cell,strategy,balance_arm,span_coef,spatial_span_coef,max_vehicles_forced,time_global_span_coef,post_resequence,arc_lambda,arc_tau,seed,starts,budget_mode,start_time_limit_sec,k,drops,degenerate_routes,travel_sec,balance,sigma_t_sec,dur_min_sec,dur_median_sec,dur_max_sec,crossings,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,msf_k_sec,relleno_msf_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec
battery-n50,50,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,112.6,1,1,per-start,105,1,0,0,3419,1.0,0,9419,9419,9419,0,0.0,0.0,0.363,0.872,0.556,1352,2746,673,1200,105.1,0.002,0.006,0.013,104.987,0.001
battery-n100,100,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,67.3,1,1,per-start,120,2,0,0,4274,0.644,1763,6374,8137,9900,1,0.03,5.0,0.263,0.754,0.556,1814,2601,1673,2400,120.06,0.005,0.012,0.034,119.965,0.001
battery-n200,200,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,59.0,1,1,per-start,120,4,0,0,8170,0.679,1244,6756,7732,9951,0,0.421,15.5,0.254,0.745,0.556,4692,4541,3629,4800,120.13,0.014,0.041,0.103,119.897,0.001
battery-n400,400,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,46.7,1,1,per-start,120,6,0,0,13044,0.823,655,8844,10315,10750,5,0.319,39.67,0.214,0.942,0.741,7512,7477,5567,960,120.37,0.055,0.165,0.337,119.664,0.002
battery-n800,800,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,35.4,1,1,per-start,120,12,0,0,21409,0.697,954,7486,10092,10744,9,0.355,35.17,0.182,0.906,0.741,12446,12392,9017,1560,121.17,0.221,0.698,1.181,118.752,0.006
battery-n1000,1000,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,34.7,1,1,per-start,120,15,0,0,28144,0.741,780,7949,9931,10727,6,0.391,77.27,0.19,0.914,0.741,17192,15438,12706,1440,121.94,0.329,1.04,1.837,118.357,0.006
battery-sparse-n250,250,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,85.8,1,1,per-start,120,5,0,0,15982,0.687,1175,7165,9319,10432,1,0.153,10.8,0.348,0.851,0.556,7572,11132,4850,6000,120.2,0.025,0.065,0.143,119.856,0.001
battery-sparse-n500,500,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,56.9,1,1,per-start,120,8,0,0,20948,0.817,683,8798,10476,10770,1,0.364,37.25,0.259,0.937,0.694,11486,13517,7431,1200,120.53,0.083,0.264,0.515,119.485,0.003
area-26-n157,157,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,48.1,1,1,per-start,120,3,0,0,4267,0.795,758,6943,7426,8738,0,0.034,3.67,0.185,0.713,0.581,1884,3618,649,2760,120.11,0.009,0.028,0.063,119.936,0.003
area-27-n72,72,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,29.8,1,1,per-start,120,1,0,0,1481,1.0,0,10121,10121,10121,0,0.0,0.0,0.146,0.937,0.8,942,1303,178,0,120.05,0.003,0.009,0.021,119.978,0.0
area-29-n43,43,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,27.6,1,1,per-start,94,1,0,0,999,1.0,0,6159,6159,6159,0,0.0,0.0,0.162,0.57,0.478,611,789,210,2040,94.04,0.003,0.007,0.011,93.992,0.0
reference-n1607,1607,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,44.1,1,1,per-start,120,25,0,1,62001,0.666,747,7159,10491,10755,26,0.402,104.84,0.243,0.944,0.714,34945,30823,31178,11280,124.31,0.875,2.749,4.484,115.521,0.008
battery-n50,50,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,112.6,2,1,per-start,105,1,0,0,3419,1.0,0,9419,9419,9419,0,0.0,0.0,0.363,0.872,0.556,1352,2746,673,1200,105.11,0.002,0.007,0.014,104.987,0.001
battery-n100,100,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,67.3,2,1,per-start,120,2,0,0,4173,0.66,1654,6433,8086,9740,0,0.03,5.0,0.258,0.749,0.556,1713,2601,1572,2400,120.07,0.005,0.014,0.038,119.962,0.001
battery-n200,200,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,59.0,2,1,per-start,120,4,0,0,7969,0.755,878,6890,7980,9120,4,0.106,8.75,0.249,0.74,0.556,4491,4541,3428,4800,120.15,0.014,0.042,0.101,119.899,0.001
battery-n400,400,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,46.7,2,1,per-start,120,6,0,0,14962,0.919,295,9894,10584,10761,4,0.325,39.5,0.238,0.972,0.741,9430,7477,7485,480,120.35,0.052,0.159,0.335,119.666,0.003
battery-n800,800,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,35.4,2,1,per-start,120,12,0,0,22472,0.682,881,7305,10134,10710,3,0.383,71.08,0.19,0.914,0.741,13509,12392,10080,1080,121.2,0.217,0.705,1.131,118.801,0.005
battery-n1000,1000,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,34.7,2,1,per-start,120,15,0,0,26218,0.734,796,7875,9991,10732,5,0.439,53.4,0.179,0.903,0.741,15266,15438,10780,840,121.77,0.334,1.055,1.759,118.241,0.006
battery-sparse-n250,250,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,85.8,2,1,per-start,120,5,0,0,16533,0.834,616,8657,9095,10382,0,0.376,21.8,0.355,0.862,0.556,8123,11132,5401,6000,120.21,0.022,0.064,0.137,119.864,0.001
battery-sparse-n500,500,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,56.9,2,1,per-start,120,8,0,0,21648,0.8,658,8585,10362,10725,4,0.191,43.25,0.265,0.945,0.694,12186,13517,8131,960,120.5,0.08,0.248,0.492,119.509,0.004
area-26-n157,157,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,48.1,2,1,per-start,120,3,0,0,4260,0.794,761,6937,7425,8738,0,0.034,3.67,0.184,0.713,0.581,1877,3618,642,2760,120.09,0.009,0.024,0.064,119.935,0.001
area-27-n72,72,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,29.8,2,1,per-start,120,1,0,0,1481,1.0,0,10121,10121,10121,0,0.0,0.0,0.146,0.937,0.8,942,1303,178,0,120.04,0.003,0.009,0.022,119.976,0.001
area-29-n43,43,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,27.6,2,1,per-start,94,1,0,0,999,1.0,0,6159,6159,6159,0,0.0,0.0,0.162,0.57,0.478,611,789,210,2040,94.03,0.003,0.003,0.011,93.988,0.001
reference-n1607,1607,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,44.1,2,1,per-start,120,25,0,0,61998,0.798,605,8592,10454,10765,17,0.373,68.48,0.243,0.944,0.714,34942,30823,31175,9840,124.28,0.866,2.747,4.344,115.668,0.012
battery-n50,50,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,112.6,3,1,per-start,105,1,0,0,3419,1.0,0,9419,9419,9419,0,0.0,0.0,0.363,0.872,0.556,1352,2746,673,1200,105.11,0.002,0.009,0.013,104.989,0.001
battery-n100,100,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,67.3,3,1,per-start,120,2,0,0,4256,0.652,1713,6415,8128,9841,0,0.03,5.0,0.262,0.752,0.556,1796,2601,1655,2400,120.07,0.005,0.01,0.034,119.965,0.001
battery-n200,200,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,59.0,3,1,per-start,120,4,0,0,8098,0.662,1319,6600,7766,9966,2,0.051,3.5,0.252,0.743,0.556,4620,4541,3557,4800,120.13,0.019,0.035,0.096,119.904,0.001
battery-n400,400,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,46.7,3,1,per-start,120,6,0,0,13137,0.83,686,8933,10555,10766,3,0.469,9.67,0.215,0.943,0.741,7605,7477,5660,0,120.38,0.058,0.161,0.328,119.674,0.002
battery-n800,800,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,35.4,3,1,per-start,120,12,0,0,21512,0.689,937,7372,10096,10706,7,0.308,48.67,0.183,0.907,0.741,12549,12392,9120,2280,121.17,0.243,0.68,1.17,118.762,0.005
battery-n1000,1000,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,34.7,3,1,per-start,120,15,0,0,28602,0.734,969,7876,10196,10736,4,0.7,48.0,0.192,0.917,0.741,17650,15438,13164,1560,121.73,0.359,1.023,1.777,118.225,0.006
battery-sparse-n250,250,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,85.8,3,1,per-start,120,5,0,0,15904,0.711,1035,7438,9247,10467,0,0.421,20.0,0.346,0.85,0.556,7494,11132,4772,6002,120.2,0.023,0.065,0.136,119.863,0.002
battery-sparse-n500,500,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,56.9,3,1,per-start,120,8,0,0,21193,0.781,726,8319,10410,10653,3,0.366,32.88,0.261,0.94,0.694,11731,13517,7676,1440,120.54,0.087,0.276,0.49,119.509,0.003
area-26-n157,157,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,48.1,3,1,per-start,120,3,0,0,4957,0.743,1021,6937,7524,9336,0,0.114,5.67,0.208,0.734,0.581,2574,3618,1339,2760,120.1,0.01,0.024,0.066,119.933,0.001
area-27-n72,72,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,29.8,3,1,per-start,120,1,0,0,1481,1.0,0,10121,10121,10121,0,0.0,0.0,0.146,0.937,0.8,942,1303,178,0,120.04,0.003,0.006,0.022,119.977,0.001
area-29-n43,43,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,27.6,3,1,per-start,94,1,0,0,999,1.0,0,6159,6159,6159,0,0.0,0.0,0.162,0.57,0.478,611,789,210,2040,94.03,0.002,0.003,0.012,93.988,0.0
reference-n1607,1607,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,44.1,3,1,per-start,120,25,0,1,59067,0.718,909,7736,10449,10770,18,0.43,76.92,0.234,0.933,0.714,32011,30823,28244,9960,124.34,0.925,2.71,4.612,115.393,0.011
battery-n50,50,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,112.6,4,1,per-start,105,1,0,0,3419,1.0,0,9419,9419,9419,0,0.0,0.0,0.363,0.872,0.556,1352,2746,673,1200,105.1,0.003,0.007,0.014,104.986,0.001
battery-n100,100,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,67.3,4,1,per-start,120,2,0,0,4256,0.652,1713,6415,8128,9841,0,0.03,5.0,0.262,0.752,0.556,1796,2601,1655,2400,120.06,0.005,0.011,0.033,119.967,0.001
battery-n200,200,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,59.0,4,1,per-start,120,4,0,0,7951,0.767,801,6614,8358,8620,2,0.073,6.0,0.249,0.74,0.556,4473,4541,3410,4800,120.14,0.016,0.039,0.095,119.906,0.001
battery-n400,400,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,46.7,4,1,per-start,120,6,0,0,13546,0.825,658,8827,10529,10696,3,0.318,40.83,0.22,0.95,0.741,8014,7477,6069,960,120.37,0.059,0.163,0.316,119.685,0.002
