instance,n,axis,cell,strategy,balance_arm,span_coef,spatial_span_coef,max_vehicles_forced,time_global_span_coef,post_resequence,arc_lambda,arc_tau,seed,starts,budget_mode,start_time_limit_sec,k,drops,degenerate_routes,travel_sec,balance,sigma_t_sec,dur_min_sec,dur_median_sec,dur_max_sec,crossings,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,msf_k_sec,relleno_msf_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec
battery-n50,50,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,112.6,1,3,per-start,105,1,0,0,3419,1.0,0,9419,9419,9419,0,0.0,0.0,0.363,0.872,0.556,1352,2746,673,1200,315.1,0.002,0.014,0.041,314.961,0.001
battery-n100,100,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,67.3,1,3,per-start,120,2,0,0,4274,0.654,1704,6433,8137,9841,0,0.03,5.0,0.263,0.754,0.556,1814,2601,1673,2400,360.08,0.004,0.028,0.097,359.904,0.002
battery-n200,200,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,59.0,1,3,per-start,120,4,0,0,8170,0.679,1244,6756,7732,9951,0,0.421,15.5,0.254,0.745,0.556,4692,4541,3629,4800,360.15,0.016,0.116,0.281,359.662,0.004
battery-n400,400,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,46.7,1,3,per-start,120,6,0,0,13227,0.834,610,8966,10347,10750,5,0.077,17.5,0.216,0.945,0.741,7695,7477,5750,960,360.71,0.058,0.499,1.008,358.991,0.008
battery-n800,800,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,35.4,1,3,per-start,120,12,0,0,21409,0.697,954,7486,10092,10744,9,0.355,35.17,0.182,0.906,0.741,12446,12392,9017,1560,260.49,0.227,2.064,3.548,254.344,0.014
battery-n1000,1000,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,34.7,1,3,per-start,120,15,0,0,26006,0.633,1141,6797,10250,10732,17,0.333,41.4,0.178,0.901,0.741,15054,15438,10568,2280,210.91,0.332,3.271,5.393,201.532,0.018
battery-sparse-n250,250,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,85.8,1,3,per-start,120,5,0,0,15197,0.68,1145,6813,9350,10025,1,0.202,8.8,0.336,0.837,0.556,6787,11132,4065,6000,360.4,0.02,0.18,0.385,359.683,0.005
battery-sparse-n500,500,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,56.9,1,3,per-start,120,8,0,0,20970,0.817,688,8798,10428,10770,1,0.364,37.12,0.259,0.937,0.694,11508,13517,7453,1200,298.23,0.079,0.757,1.386,295.818,0.009
area-26-n157,157,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,48.1,1,3,per-start,120,3,0,0,4267,0.795,758,6943,7426,8738,0,0.034,3.67,0.185,0.713,0.581,1884,3618,649,2760,360.0,0.008,0.097,0.239,359.523,0.012
area-27-n72,72,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,29.8,1,3,per-start,120,1,0,0,1502,1.0,0,10142,10142,10142,0,0.0,0.0,0.148,0.939,0.8,963,1303,199,0,360.07,0.002,0.016,0.064,359.937,0.002
