instance,n,axis,cell,strategy,balance_arm,span_coef,spatial_span_coef,max_vehicles_forced,time_global_span_coef,post_resequence,arc_lambda,arc_tau,seed,starts,budget_mode,start_time_limit_sec,k,drops,degenerate_routes,travel_sec,balance,sigma_t_sec,dur_min_sec,dur_median_sec,dur_max_sec,crossings,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,msf_k_sec,relleno_msf_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec
battery-n50,50,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,112.6,1,3,total,35,1,0,0,3419,1.0,0,9419,9419,9419,0,0.0,0.0,0.363,0.872,0.556,1352,2746,673,1200,105.17,0.002,0.015,0.04,105.031,0.001
battery-n100,100,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,67.3,1,3,total,40,2,0,0,4274,0.654,1704,6433,8137,9841,0,0.03,5.0,0.263,0.754,0.556,1814,2601,1673,2400,120.1,0.008,0.031,0.104,119.905,0.002
battery-n200,200,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,59.0,1,3,total,40,4,0,0,8170,0.679,1244,6756,7732,9951,0,0.421,15.5,0.254,0.745,0.556,4692,4541,3629,4800,120.22,0.016,0.121,0.288,119.709,0.004
battery-n400,400,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,46.7,1,3,total,40,6,0,0,13553,0.833,605,8945,10474,10744,3,0.142,36.0,0.22,0.95,0.741,8021,7477,6076,960,120.69,0.056,0.473,0.95,119.055,0.008
battery-n800,800,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,35.4,1,3,total,40,12,0,0,22184,0.62,1121,6646,10212,10726,19,0.47,45.83,0.188,0.912,0.741,13221,12392,9792,3000,122.59,0.218,2.013,3.494,116.516,0.013
battery-n1000,1000,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,34.7,1,3,total,40,15,0,0,30399,0.781,756,8372,10336,10726,21,0.537,96.33,0.202,0.928,0.741,19447,15438,14961,2880,123.89,0.349,3.131,5.132,114.879,0.018
battery-sparse-n250,250,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,85.8,1,3,total,40,5,0,0,15291,0.826,787,8046,9648,9745,1,0.382,18.4,0.338,0.839,0.556,6881,11132,4159,6000,120.33,0.022,0.187,0.424,119.58,0.005
battery-sparse-n500,500,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,56.9,1,3,total,40,8,0,0,21579,0.867,455,9207,10376,10618,3,0.256,31.0,0.265,0.944,0.694,12117,13517,8062,960,121.04,0.094,0.743,1.48,118.528,0.009
area-26-n157,157,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,48.1,1,3,total,40,3,0,0,4267,0.795,758,6943,7426,8738,0,0.034,3.67,0.185,0.713,0.581,1884,3618,649,2760,120.07,0.009,0.078,0.204,119.703,0.003
area-27-n72,72,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,29.8,1,3,total,40,1,0,0,1502,1.0,0,10142,10142,10142,0,0.0,0.0,0.148,0.939,0.8,963,1303,199,0,120.06,0.002,0.016,0.064,119.939,0.001
area-29-n43,43,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,27.6,1,3,total,31,1,0,0,999,1.0,0,6159,6159,6159,0,0.0,0.0,0.162,0.57,0.478,611,789,210,2040,93.04,0.002,0.008,0.03,92.974,0.001
reference-n1607,1607,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,44.1,1,3,total,40,25,0,0,64738,0.827,500,8896,10603,10755,33,0.468,148.6,0.251,0.954,0.714,37682,30823,33915,10920,129.67,0.878,7.997,13.135,106.878,0.027
battery-n50,50,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,112.6,2,3,total,35,1,0,0,3419,1.0,0,9419,9419,9419,0,0.0,0.0,0.363,0.872,0.556,1352,2746,673,1200,105.16,0.002,0.012,0.037,105.032,0.001
battery-n100,100,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,67.3,2,3,total,40,2,0,0,4301,0.645,1758,6392,8150,9909,3,0.03,5.0,0.264,0.754,0.556,1841,2601,1700,2400,120.09,0.004,0.032,0.092,119.917,0.002
