instance,n,axis,cell,strategy,balance_arm,span_coef,time_global_span_coef,post_resequence,arc_lambda,arc_tau,seed,k,drops,degenerate_routes,travel_sec,balance,sigma_t_sec,dur_min_sec,dur_median_sec,dur_max_sec,crossings,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec
battery-n50,50,config,actual,spatial_term,actual,0,0,False,0.0,112.6,1,2,0,0,8399,0.998,8,7191,7200,7208,5,0.186,10.5,0.583,0.667,0.278,6375,8400,105.07,0.001,0.005,0.01,104.991,0.0
battery-n50,50,config,actual,spatial_term,actual,0,0,False,0.0,112.6,2,2,0,0,8399,0.998,8,7191,7200,7208,5,0.186,10.5,0.583,0.667,0.278,6375,8400,105.02,0.001,0.002,0.009,104.991,0.0
battery-n50,50,config,actual,spatial_term,actual,0,0,False,0.0,112.6,3,2,0,0,8399,0.998,8,7191,7200,7208,5,0.186,10.5,0.583,0.667,0.278,6375,8400,105.02,0.001,0.002,0.008,104.991,0.0
battery-n100,100,config,actual,spatial_term,actual,0,0,False,0.0,67.3,1,2,0,0,4244,0.946,226,7896,8122,8348,3,0.017,3.0,0.261,0.752,0.556,1784,2400,120.06,0.002,0.007,0.021,119.978,0.0
battery-n100,100,config,actual,spatial_term,actual,0,0,False,0.0,67.3,2,2,0,0,4244,0.946,226,7896,8122,8348,3,0.017,3.0,0.261,0.752,0.556,1784,2400,120.04,0.003,0.007,0.02,119.98,0.0
battery-n100,100,config,actual,spatial_term,actual,0,0,False,0.0,67.3,3,2,0,0,4244,0.946,226,7896,8122,8348,3,0.017,3.0,0.261,0.752,0.556,1784,2400,120.04,0.003,0.007,0.021,119.982,0.0
battery-n200,200,config,actual,spatial_term,actual,0,0,False,0.0,59.0,1,4,0,0,8254,0.832,617,7254,8139,8722,2,0.128,15.75,0.256,0.747,0.556,4776,4800,120.09,0.009,0.026,0.058,119.949,0.001
battery-n200,200,config,actual,spatial_term,actual,0,0,False,0.0,59.0,2,4,0,0,8254,0.832,617,7254,8139,8722,2,0.128,15.75,0.256,0.747,0.556,4776,4800,120.08,0.009,0.027,0.06,119.941,0.001
battery-n200,200,config,actual,spatial_term,actual,0,0,False,0.0,59.0,3,4,0,0,8254,0.832,617,7254,8139,8722,2,0.128,15.75,0.256,0.747,0.556,4776,4800,120.08,0.009,0.026,0.059,119.942,0.001
battery-n400,400,config,actual,spatial_term,actual,0,0,False,0.0,46.7,1,7,0,0,14557,0.987,43,8857,8969,8971,2,0.446,48.71,0.233,0.828,0.635,9039,3600,120.24,0.037,0.111,0.203,119.798,0.002
battery-n400,400,config,actual,spatial_term,actual,0,0,False,0.0,46.7,2,7,0,0,14557,0.987,43,8857,8969,8971,2,0.446,48.71,0.233,0.828,0.635,9039,3600,120.25,0.035,0.107,0.201,119.801,0.002
battery-n400,400,config,actual,spatial_term,actual,0,0,False,0.0,46.7,3,7,0,0,14557,0.987,43,8857,8969,8971,2,0.446,48.71,0.233,0.828,0.635,9039,3600,120.24,0.036,0.115,0.208,119.794,0.002
battery-n800,800,config,actual,spatial_term,actual,0,0,False,0.0,35.4,1,12,0,0,19920,0.847,558,8960,9483,10576,27,0.513,67.08,0.172,0.894,0.741,10957,1320,120.83,0.149,0.506,0.791,119.211,0.003
battery-n800,800,config,actual,spatial_term,actual,0,0,False,0.0,35.4,2,12,0,0,19837,0.861,589,9002,9446,10460,28,0.513,67.08,0.171,0.894,0.741,10874,1200,120.83,0.145,0.492,0.761,119.241,0.003
battery-n800,800,config,actual,spatial_term,actual,0,0,False,0.0,35.4,3,12,0,0,19725,0.851,663,9002,9222,10580,29,0.492,66.83,0.17,0.893,0.741,10762,1200,120.93,0.147,0.589,0.754,119.233,0.003
battery-n1000,1000,config,actual,spatial_term,actual,0,0,False,0.0,34.7,1,15,0,0,26875,0.836,564,8990,9788,10753,57,0.321,81.93,0.183,0.907,0.741,15923,1560,121.22,0.231,0.768,1.187,118.815,0.004
battery-n1000,1000,config,actual,spatial_term,actual,0,0,False,0.0,34.7,2,15,0,0,26875,0.836,573,8990,9788,10753,55,0.321,91.93,0.183,0.907,0.741,15923,1560,121.4,0.23,0.927,1.148,118.855,0.004
battery-n1000,1000,config,actual,spatial_term,actual,0,0,False,0.0,34.7,3,15,0,0,26579,0.852,482,8990,9788,10554,57,0.321,82.07,0.181,0.905,0.741,15627,1560,121.17,0.226,0.703,1.089,118.914,0.004
battery-sparse-n250,250,config,actual,spatial_term,actual,0,0,False,0.0,85.8,1,5,0,0,15734,0.946,221,8966,8976,9480,2,0.129,37.4,0.344,0.847,0.556,7324,6000,120.12,0.015,0.047,0.089,119.915,0.001
battery-sparse-n250,250,config,actual,spatial_term,actual,0,0,False,0.0,85.8,2,5,0,0,15734,0.946,221,8966,8976,9480,2,0.129,37.4,0.344,0.847,0.556,7324,6000,120.13,0.015,0.056,0.089,119.912,0.001
battery-sparse-n250,250,config,actual,spatial_term,actual,0,0,False,0.0,85.8,3,5,0,0,15734,0.946,221,8966,8976,9480,2,0.129,37.4,0.344,0.847,0.556,7324,6000,120.12,0.015,0.047,0.089,119.913,0.001
battery-sparse-n500,500,config,actual,spatial_term,actual,0,0,False,0.0,56.9,1,9,0,0,23557,0.832,591,8661,9013,10413,13,0.573,78.44,0.282,0.86,0.617,14115,5880,120.41,0.056,0.221,0.327,119.675,0.002
battery-sparse-n500,500,config,actual,spatial_term,actual,0,0,False,0.0,56.9,2,9,0,0,22989,0.828,629,8623,8996,10413,15,0.581,78.78,0.277,0.854,0.617,13547,5881,120.34,0.057,0.188,0.321,119.658,0.002
battery-sparse-n500,500,config,actual,spatial_term,actual,0,0,False,0.0,56.9,3,9,0,0,23225,0.848,562,8745,8983,10309,10,0.576,77.89,0.279,0.856,0.617,13783,5640,120.38,0.057,0.209,0.318,119.682,0.002
