dataset,soft_lower_penalty,soft_upper_target,seed,k,drops,travel_sec,duration_mean_sec,duration_sd_sec,balance,walk_ratio,walk_ratio_worst,tmin_gap_routes,tmin_gap_coverage_mean,saturation_mean,routes_over_tmax,self_crossings
disp,10000,midpoint,42,4,0,23427,8857,210,0.952,0.661,0.757,4,1.405,0.82,0,0
disp,10000,midpoint,43,4,0,23427,8857,210,0.952,0.661,0.757,4,1.405,0.82,0,0
disp,10000,midpoint,44,4,0,23427,8857,210,0.952,0.661,0.757,4,1.405,0.82,0,0
disp,10000,tmax,42,4,0,22778,8694,1232,0.718,0.655,0.745,4,1.389,0.805,0,0
disp,10000,tmax,43,4,0,22778,8694,1232,0.718,0.655,0.745,4,1.389,0.805,0,0
disp,10000,tmax,44,4,0,22778,8694,1232,0.718,0.655,0.745,4,1.389,0.805,0,0
disp,100,midpoint,42,4,0,23427,8857,210,0.952,0.661,0.757,4,1.405,0.82,0,0
disp,100,midpoint,43,4,0,23427,8857,210,0.952,0.661,0.757,4,1.405,0.82,0,0
disp,100,midpoint,44,4,0,23427,8857,210,0.952,0.661,0.757,4,1.405,0.82,0,0
disp,100,tmax,42,4,0,22390,8598,1327,0.696,0.651,0.745,4,1.365,0.796,0,0
disp,100,tmax,43,4,0,22390,8598,1327,0.696,0.651,0.745,4,1.365,0.796,0,0
disp,100,tmax,44,4,0,22390,8598,1327,0.696,0.651,0.745,4,1.365,0.796,0,0
disp,0,midpoint,42,4,0,23469,8867,249,0.926,0.662,0.732,4,1.398,0.821,0,0
disp,0,midpoint,43,4,0,23469,8867,249,0.926,0.662,0.732,4,1.398,0.821,0,0
disp,0,midpoint,44,4,0,23469,8867,249,0.926,0.662,0.732,4,1.398,0.821,0,0
disp,0,tmax,42,4,0,22072,8518,1584,0.591,0.648,0.745,4,1.369,0.789,0,0
disp,0,tmax,43,4,0,22072,8518,1584,0.591,0.648,0.745,4,1.369,0.789,0,0
disp,0,tmax,44,4,0,22072,8518,1584,0.591,0.648,0.745,4,1.369,0.789,0,0
