route,n_trees,duration_sec,service_total_sec,travel_sec,walk_ratio,shortfall_sec,saturation,self_crossings
1,1,120,120,0,0.0,7080,0.011,0
2,56,7354,6720,634,0.086,0,0.681,0
3,67,10340,8040,2300,0.222,0,0.957,0
4,62,10679,7440,3239,0.303,0,0.989,0
5,59,10748,7080,3668,0.341,0,0.995,0
6,63,10698,7560,3138,0.293,0,0.991,1
7,64,10540,7680,2860,0.271,0,0.976,0
8,60,8004,7200,804,0.1,0,0.741,1
9,72,10423,8640,1783,0.171,0,0.965,0
10,68,9818,8160,1658,0.169,0,0.909,0
11,66,9802,7920,1882,0.192,0,0.908,0
12,73,10258,8760,1498,0.146,0,0.95,1
13,69,10368,8280,2088,0.201,0,0.96,0
14,67,10669,8040,2629,0.246,0,0.988,2
15,64,10371,7680,2691,0.259,0,0.96,3
16,70,9957,8400,1557,0.156,0,0.922,0
17,67,10724,8040,2684,0.25,0,0.993,0
18,75,10409,9000,1409,0.135,0,0.964,0
19,73,10474,8760,1714,0.164,0,0.97,1
20,72,10730,8640,2090,0.195,0,0.994,0
21,74,10012,8880,1132,0.113,0,0.927,0
22,59,9995,7080,2915,0.292,0,0.925,0
23,60,9997,7200,2797,0.28,0,0.926,0
24,73,10577,8760,1817,0.172,0,0.979,0
25,73,10535,8760,1775,0.168,0,0.975,1
summary,1607,243602,192840,50762,0.208,7080,0.902,10
