route,n_trees,duration_sec,service_total_sec,travel_sec,walk_ratio,shortfall_sec,saturation,self_crossings
1,57,10100,6840,3260,0.323,0,0.935,7
2,14,10395,1680,8715,0.838,0,0.963,0
3,51,9335,6120,3215,0.344,0,0.864,0
4,57,8972,6840,2132,0.238,0,0.831,1
5,60,10277,7200,3077,0.299,0,0.952,6
6,57,10469,6840,3629,0.347,0,0.969,3
7,63,10686,7560,3126,0.293,0,0.989,0
8,62,10068,7440,2628,0.261,0,0.932,1
9,54,8945,6479,2466,0.276,0,0.828,3
10,73,10734,8760,1974,0.184,0,0.994,4
11,65,9193,7800,1393,0.152,0,0.851,1
12,61,8977,7320,1657,0.185,0,0.831,5
13,78,10763,9360,1403,0.13,0,0.997,2
14,60,8972,7199,1773,0.198,0,0.831,3
15,64,10178,7680,2498,0.245,0,0.942,4
16,63,10413,7560,2853,0.274,0,0.964,3
17,80,10591,9600,991,0.094,0,0.981,5
18,65,10121,7800,2321,0.229,0,0.937,4
19,70,9729,8400,1329,0.137,0,0.901,1
20,68,9672,8160,1512,0.156,0,0.896,4
21,68,9046,8159,887,0.098,0,0.838,0
22,66,9073,7920,1153,0.127,0,0.84,5
23,56,9673,6720,2953,0.305,0,0.896,3
24,67,10613,8040,2573,0.242,0,0.983,5
25,64,9126,7680,1446,0.158,0,0.845,4
26,64,9605,7680,1925,0.2,0,0.889,3
summary,1607,255726,192837,62889,0.246,0,0.911,77
