target,n_trees,strategy,service_time_min,t_max_h,seed,time_limit_sec,k,balance,total_travel_time_sec,route_time_mean_sec,route_time_std_sec,routes_over_t_max,dropped_trees,sum_max_radius_m,interleave_total,interleave_per_route,worst_pair_iou,cost_matrix.total,cost_matrix.cache_lookup,cost_matrix.osrm_fetch,cost_matrix.chunk_assembly,model_build.total,solve.total,solve.first_solution,solve.metaheuristic,solution_extraction.total,metrics.total,pipeline_total
Profiling RP2 - legacy completo (ambas fuentes),1607,spatial_term,1.0,2.0,42,120,23,0.9964362775805665,68410,7167,7,0,0,20937,2511,109.17,0.41,0.672,0.672,0.0,0.0,1.644,120.004,2.604,117.4,0.006,0.017,122.343
Profiling RP2 - legacy completo (ambas fuentes),1607,spatial_term,1.0,2.0,43,120,23,0.9964362775805665,68410,7167,7,0,0,20937,2511,109.17,0.41,0.653,0.653,0.0,0.0,1.648,120.006,2.628,117.377,0.006,0.017,122.33
Profiling RP2 - legacy completo (ambas fuentes),1607,spatial_term,1.0,2.0,44,120,23,0.9964362775805665,68410,7167,7,0,0,20937,2511,109.17,0.41,0.646,0.646,0.0,0.0,1.658,120.035,2.626,117.409,0.007,0.017,122.363
Profiling RP2 - legacy completo (ambas fuentes),1607,spatial_term,1.0,3.0,42,120,16,0.8346083245590331,59490,9745,601,0,0,19905,2337,146.06,0.49,0.662,0.662,0.0,0.0,1.656,120.011,2.678,117.333,0.006,0.015,122.35
Profiling RP2 - legacy completo (ambas fuentes),1607,spatial_term,1.0,3.0,43,120,16,0.8346083245590331,59490,9745,601,0,0,19905,2337,146.06,0.49,0.626,0.626,0.0,0.0,1.658,120.009,2.65,117.359,0.006,0.015,122.314
Profiling RP2 - legacy completo (ambas fuentes),1607,spatial_term,1.0,3.0,44,120,16,0.8348319527399112,59492,9745,601,0,0,19905,2337,146.06,0.49,0.635,0.635,0.0,0.0,1.673,120.006,2.627,117.379,0.006,0.016,122.336
Profiling RP2 - legacy completo (ambas fuentes),1607,spatial_term,2.0,2.0,42,120,36,0.9979965774865395,65727,7180,3,0,1,16917,2982,82.83,0.54,0.628,0.628,0.0,0.0,1.685,120.006,2.585,117.421,0.006,0.019,122.344
Profiling RP2 - legacy completo (ambas fuentes),1607,spatial_term,2.0,2.0,43,120,36,0.9979965774865395,65727,7180,3,0,1,16917,2982,82.83,0.54,0.644,0.644,0.0,0.0,1.658,120.007,2.607,117.4,0.006,0.02,122.334
Profiling RP2 - legacy completo (ambas fuentes),1607,spatial_term,2.0,2.0,44,120,36,0.9979965774865395,65727,7180,3,0,1,16917,2982,82.83,0.54,0.629,0.629,0.0,0.0,1.646,120.006,2.558,117.449,0.006,0.02,122.308
Profiling RP2 - legacy completo (ambas fuentes),1607,spatial_term,2.0,3.0,42,120,25,0.8332435745060168,60588,10138,606,0,0,19588,1880,75.2,0.55,0.65,0.65,0.0,0.0,1.644,120.006,2.594,117.412,0.006,0.017,122.322
Profiling RP2 - legacy completo (ambas fuentes),1607,spatial_term,2.0,3.0,43,120,25,0.8332435745060168,60588,10138,606,0,0,19588,1880,75.2,0.55,0.625,0.625,0.0,0.0,1.648,120.005,2.584,117.421,0.006,0.017,122.301
Profiling RP2 - legacy completo (ambas fuentes),1607,spatial_term,2.0,3.0,44,120,25,0.8332435745060168,60588,10138,606,0,0,19588,1880,75.2,0.55,0.635,0.635,0.0,0.0,1.647,120.006,2.594,117.412,0.006,0.017,122.31
Profiling RP2 - legacy completo (ambas fuentes),1607,spatial_term,3.0,2.0,42,120,49,0.9984286131468065,63147,7185,2,0,2,17347,2732,55.76,0.32,0.626,0.626,0.0,0.0,1.657,120.007,2.62,117.387,0.006,0.023,122.318
Profiling RP2 - legacy completo (ambas fuentes),1607,spatial_term,3.0,2.0,43,120,49,0.9984286131468065,63147,7185,2,0,2,17347,2732,55.76,0.32,0.623,0.623,0.0,0.0,1.657,120.007,2.579,117.428,0.006,0.022,122.316
Profiling RP2 - legacy completo (ambas fuentes),1607,spatial_term,3.0,2.0,44,120,49,0.9984286131468065,63145,7185,2,0,2,17347,2732,55.76,0.32,0.646,0.646,0.0,0.0,1.672,120.016,2.653,117.363,0.009,0.026,122.369
Profiling RP2 - legacy completo (ambas fuentes),1607,spatial_term,3.0,3.0,42,120,34,0.8358341999702869,61611,10320,522,0,0,24267,2716,79.88,0.55,0.74,0.74,0.0,0.0,1.658,119.952,2.61,117.341,0.006,0.019,122.374
Profiling RP2 - legacy completo (ambas fuentes),1607,spatial_term,3.0,3.0,43,120,34,0.8358341999702869,61611,10320,522,0,0,24267,2716,79.88,0.55,0.633,0.633,0.0,0.0,1.649,120.004,2.618,117.386,0.006,0.019,122.311
Profiling RP2 - legacy completo (ambas fuentes),1607,spatial_term,3.0,3.0,44,120,34,0.8358341999702869,61611,10320,522,0,0,24267,2716,79.88,0.55,0.624,0.624,0.0,0.0,1.65,120.006,2.604,117.402,0.006,0.02,122.306
