instance,cell,seeds,gates_ok,k,drops_max,degenerate_routes_max,balance,relleno_msf_sec,relleno_msf_sec_sigma,crossings_road,crossings_road_sigma,crossings_chord,crossings_chord_sigma,travel_sec,travel_sec_sigma
reference-n1607,floor100-mid,3,False,25.667,0.0,1.0,0.833,31842.667,2570.363,45.0,8.641,69.0,1.414,62596.333,2524.296
reference-n1607,floor100-tmax,3,False,25.0,0.0,1.0,0.707,27642.667,1391.808,59.333,10.873,4.333,0.471,58465.667,1391.808
reference-n1607,floor10000-mid,3,True,25.0,0.0,0.0,0.849,29123.333,1095.683,41.0,5.099,64.667,9.031,59946.333,1095.683
reference-n1607,floor10000-tmax,3,False,25.0,0.0,1.0,0.723,27539.667,1335.028,58.333,10.339,4.333,0.471,58362.667,1335.028
reference-n1607,floor2000-mid,3,True,25.0,0.0,0.0,0.849,29118.333,1097.034,41.0,5.099,64.667,9.031,59941.333,1097.034
reference-n1607,floor2000-tmax,3,False,25.0,0.0,1.0,0.723,27533.0,1332.445,58.333,10.339,4.333,0.471,58356.0,1332.445
reference-n1607,floor500-mid,3,True,25.0,0.0,0.0,0.848,28906.333,1192.114,41.667,5.793,66.667,9.741,59729.333,1192.114
reference-n1607,floor500-tmax,3,False,25.0,0.0,1.0,0.723,27533.0,1332.445,58.333,10.339,4.333,0.471,58356.0,1332.445
battery-sparse-n500,floor100-mid,3,True,9.333,0.0,0.0,0.929,7780.0,276.783,10.667,2.625,7.333,4.989,21142.333,279.24
battery-sparse-n500,floor100-tmax,3,True,8.0,0.0,0.0,0.83,7496.667,435.451,14.333,5.558,3.0,1.633,21013.667,435.451
battery-sparse-n500,floor10000-mid,3,True,8.667,0.0,0.0,0.909,7297.667,1402.269,6.333,1.7,12.0,1.414,20737.333,1347.885
battery-sparse-n500,floor10000-tmax,3,True,8.0,0.0,0.0,0.807,7536.333,490.378,14.667,6.018,3.333,1.7,21053.333,490.378
battery-sparse-n500,floor2000-mid,3,True,8.667,0.0,0.0,0.909,7297.667,1402.269,6.333,1.7,12.0,1.414,20737.333,1347.885
battery-sparse-n500,floor2000-tmax,3,True,8.0,0.0,0.0,0.807,7536.333,490.378,14.667,6.018,3.333,1.7,21053.333,490.378
battery-sparse-n500,floor500-mid,3,True,8.667,0.0,0.0,0.909,7297.667,1402.269,6.333,1.7,12.0,1.414,20737.333,1347.885
battery-sparse-n500,floor500-tmax,3,True,8.0,0.0,0.0,0.821,7513.667,458.956,13.667,4.643,3.667,1.886,21030.667,458.956
battery-n1000,floor100-mid,3,False,15.667,0.0,0.0,0.577,13642.0,862.537,47.333,1.7,66.333,9.286,29021.333,822.261
battery-n1000,floor100-tmax,3,True,14.667,0.0,0.0,0.802,12263.667,240.131,72.333,9.534,5.333,0.471,27732.0,279.224
battery-n1000,floor10000-mid,3,True,15.0,0.0,0.0,0.837,12284.667,131.302,47.0,2.16,63.667,6.236,27722.667,131.302
battery-n1000,floor10000-tmax,3,True,14.667,0.0,0.0,0.802,12263.667,240.131,72.333,9.534,5.333,0.471,27732.0,279.224
battery-n1000,floor2000-mid,3,True,15.0,0.0,0.0,0.839,12198.667,190.008,47.0,2.16,68.333,12.658,27636.667,190.008
battery-n1000,floor2000-tmax,3,True,14.667,0.0,0.0,0.802,12263.667,240.131,72.333,9.534,5.333,0.471,27732.0,279.224
battery-n1000,floor500-mid,3,True,15.0,0.0,0.0,0.839,12196.0,190.908,47.0,2.16,70.333,11.954,27634.0,190.908
battery-n1000,floor500-tmax,3,True,14.667,0.0,0.0,0.802,12263.667,240.131,72.333,9.534,5.333,0.471,27732.0,279.224
battery-sparse-n250,floor100-mid,3,True,6.0,0.0,0.0,0.867,4989.0,184.572,6.333,0.943,0.667,0.943,15916.0,184.572
battery-sparse-n250,floor100-tmax,3,True,5.0,0.0,0.0,0.732,4583.667,460.225,7.667,2.357,1.333,0.471,15715.667,460.225
battery-sparse-n250,floor10000-mid,3,True,6.0,0.0,0.0,0.844,5128.333,420.322,6.333,1.247,1.0,0.816,16055.333,420.322
battery-sparse-n250,floor10000-tmax,3,True,5.0,0.0,0.0,0.709,5057.667,275.623,5.667,1.247,1.667,1.247,16189.667,275.623
battery-sparse-n250,floor2000-mid,3,True,6.0,0.0,0.0,0.847,5101.0,415.592,5.667,0.471,1.667,0.471,16028.0,415.592
battery-sparse-n250,floor2000-tmax,3,True,5.0,0.0,0.0,0.709,5057.667,275.623,5.667,1.247,1.667,1.247,16189.667,275.623
battery-sparse-n250,floor500-mid,3,True,6.0,0.0,0.0,0.871,5124.0,185.754,5.333,1.247,0.667,0.943,16051.0,185.754
battery-sparse-n250,floor500-tmax,3,True,5.0,0.0,0.0,0.709,5057.667,275.623,5.667,1.247,1.667,1.247,16189.667,275.623
area-27-n72,floor100-mid,3,True,2.0,0.0,0.0,0.999,4821.0,4.243,14.333,2.494,8.333,3.3,5735.0,4.243
area-27-n72,floor100-tmax,3,True,1.0,0.0,0.0,1.0,185.0,9.899,3.0,0.816,0.0,0.0,1488.0,9.899
area-27-n72,floor10000-mid,3,True,2.0,0.0,0.0,1.0,4820.667,0.471,12.667,5.249,6.667,3.091,5734.667,0.471
area-27-n72,floor10000-tmax,3,True,1.333,0.0,0.0,1.0,1726.667,2190.145,6.0,4.967,2.667,3.771,2900.0,2006.769
area-27-n72,floor2000-mid,3,True,2.0,0.0,0.0,1.0,4825.0,4.546,14.333,4.19,7.333,3.859,5739.0,4.546
area-27-n72,floor2000-tmax,3,True,1.0,0.0,0.0,1.0,199.0,0.0,4.0,0.0,0.0,0.0,1502.0,0.0
area-27-n72,floor500-mid,3,True,2.0,0.0,0.0,1.0,4822.0,0.816,17.333,2.625,4.667,1.247,5736.0,0.816
area-27-n72,floor500-tmax,3,True,1.0,0.0,0.0,1.0,178.0,0.0,2.333,0.471,0.0,0.0,1481.0,0.0
battery-n800,floor100-mid,3,True,13.667,0.0,0.0,0.817,17072.0,1786.889,53.0,8.602,93.0,5.099,29310.667,1745.63
battery-n800,floor100-tmax,3,True,12.0,0.0,0.0,0.745,9308.0,382.647,59.667,5.312,7.333,1.247,21700.0,382.647
battery-n800,floor10000-mid,3,True,12.0,0.0,0.0,0.844,7296.0,323.742,22.0,4.967,29.0,14.72,19688.0,323.742
battery-n800,floor10000-tmax,3,True,12.0,0.0,0.0,0.743,9196.667,424.649,56.667,9.286,5.667,0.471,21588.667,424.649
battery-n800,floor2000-mid,3,True,12.0,0.0,0.0,0.844,7294.333,321.928,22.0,4.967,29.333,15.173,19686.333,321.928
battery-n800,floor2000-tmax,3,True,12.0,0.0,0.0,0.728,9239.0,483.625,57.0,9.626,5.667,0.471,21631.0,483.625
battery-n800,floor500-mid,3,True,12.0,0.0,0.0,0.844,7296.0,323.742,22.0,4.967,29.0,14.72,19688.0,323.742
battery-n800,floor500-tmax,3,True,12.0,0.0,0.0,0.747,9195.333,422.796,56.667,9.286,6.333,0.471,21587.333,422.796
battery-n200,floor100-mid,3,True,4.0,0.0,0.0,0.875,3632.667,135.051,14.0,4.967,1.0,0.816,8173.667,135.051
battery-n200,floor100-tmax,3,True,4.0,0.0,0.0,0.812,3628.0,108.594,10.667,1.886,1.667,1.247,8169.0,108.594
battery-n200,floor10000-mid,3,True,4.0,0.0,0.0,0.885,3669.667,148.201,11.667,4.643,1.0,0.816,8210.667,148.201
battery-n200,floor10000-tmax,3,True,4.0,0.0,0.0,0.853,3562.667,240.735,10.667,1.247,2.333,0.471,8103.667,240.735
battery-n200,floor2000-mid,3,True,4.0,0.0,0.0,0.885,3669.667,148.201,11.667,4.643,1.0,0.816,8210.667,148.201
battery-n200,floor2000-tmax,3,True,4.0,0.0,0.0,0.843,3556.0,232.862,14.333,5.558,3.0,0.816,8097.0,232.862
battery-n200,floor500-mid,3,True,4.0,0.0,0.0,0.886,3753.667,225.272,15.0,5.715,2.333,2.625,8294.667,225.272
