route,n_trees,duration_sec,service_total_sec,travel_sec,walk_ratio,shortfall_sec,saturation,self_crossings
1,25,10264,3000,7264,0.708,0,0.95,3
2,37,9018,4440,4578,0.508,0,0.835,2
3,66,10192,7920,2272,0.223,0,0.944,12
4,62,9706,7440,2266,0.233,0,0.899,4
5,58,9445,6960,2485,0.263,0,0.875,3
6,65,10751,7800,2951,0.274,0,0.995,9
7,58,10542,6960,3582,0.34,0,0.976,4
8,57,9879,6840,3039,0.308,0,0.915,1
9,63,9480,7560,1920,0.203,0,0.878,5
10,66,9480,7920,1560,0.165,0,0.878,5
11,64,9573,7680,1893,0.198,0,0.886,3
12,76,10716,9120,1596,0.149,0,0.992,8
13,66,10589,7920,2669,0.252,0,0.98,5
14,66,9207,7920,1287,0.14,0,0.853,0
15,69,9947,8280,1667,0.168,0,0.921,10
16,72,10603,8640,1963,0.185,0,0.982,3
17,76,10154,9120,1034,0.102,0,0.94,2
18,62,10635,7440,3195,0.3,0,0.985,1
19,72,10546,8640,1906,0.181,0,0.976,11
20,76,10445,9120,1325,0.127,0,0.967,2
21,74,10460,8880,1580,0.151,0,0.969,1
22,77,10575,9240,1335,0.126,0,0.979,7
23,75,10434,9000,1434,0.137,0,0.966,5
24,49,9939,5880,4059,0.408,0,0.92,2
25,76,10730,9120,1610,0.15,0,0.994,3
summary,1607,253310,192840,60470,0.239,0,0.938,111
