instance,n,axis,cell,strategy,balance_arm,span_coef,seed,k,drops,travel_sec,balance,sigma_t_sec,crossings,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec
battery-n50,50,config,actual,spatial_term,actual,0,1,2,0,8399,0.998,8,5,0.186,10.5,0.583,0.667,0.278,6375,8400,105.05,0.002,0.008,0.012,104.987,0.0
battery-n50,50,config,actual,spatial_term,actual,0,2,2,0,8399,0.998,8,5,0.186,10.5,0.583,0.667,0.278,6375,8400,105.02,0.001,0.002,0.008,104.992,0.0
battery-n50,50,config,actual,spatial_term,actual,0,3,2,0,8399,0.998,8,5,0.186,10.5,0.583,0.667,0.278,6375,8400,105.02,0.001,0.002,0.008,104.991,0.0
battery-n50,50,config,upper-tmax-tmin9000,spatial_term,upper-tmax-tmin9000,0,1,1,0,3419,1.0,0,0,0.0,0.0,0.363,0.872,0.556,1352,1200,105.03,0.001,0.002,0.008,104.992,0.001
battery-n50,50,config,upper-tmax-tmin9000,spatial_term,upper-tmax-tmin9000,0,2,1,0,3419,1.0,0,0,0.0,0.0,0.363,0.872,0.556,1352,1200,105.02,0.001,0.003,0.01,104.99,0.0
battery-n50,50,config,upper-tmax-tmin9000,spatial_term,upper-tmax-tmin9000,0,3,1,0,3419,1.0,0,0,0.0,0.0,0.363,0.872,0.556,1352,1200,105.06,0.001,0.002,0.008,104.991,0.0
battery-n50,50,config,tmin-scaled,spatial_term,tmin-scaled,0,1,2,0,3221,0.865,334,0,0.05,2.0,0.349,0.427,0.278,1197,8400,105.02,0.001,0.002,0.012,104.988,0.0
battery-n50,50,config,tmin-scaled,spatial_term,tmin-scaled,0,2,2,0,3221,0.865,334,0,0.05,2.0,0.349,0.427,0.278,1197,8400,105.02,0.001,0.002,0.008,104.991,0.0
battery-n50,50,config,tmin-scaled,spatial_term,tmin-scaled,0,3,2,0,3221,0.865,334,0,0.05,2.0,0.349,0.427,0.278,1197,8400,105.05,0.001,0.002,0.008,105.014,0.0
battery-n50,50,config,service-floor,spatial_term,service-floor,0,1,2,0,2500,0.014,4130,0,0.0,0.0,0.294,0.394,0.278,476,8400,105.03,0.001,0.002,0.008,104.995,0.0
