dataset,soft_upper_target,t_min_sec,time_limit_sec,seed,k,drops,travel_sec,duration_mean_sec,duration_sd_sec,balance,interleave_per_route,worst_pair_iou,self_crossings,saturation_mean,routes_over_tmax
area-26-n157,midpoint,7200,120,42,3,0,4961,7934,558,0.877,4.33,0.11,0,0.734,0
area-26-n157,midpoint,7200,120,43,3,0,4961,7934,558,0.877,4.33,0.11,0,0.734,0
area-26-n157,midpoint,7200,120,44,3,0,4961,7934,558,0.877,4.33,0.11,0,0.734,0
area-26-n157,tmax,9000,120,42,3,0,8138,8993,21,0.995,8.0,0.11,2,0.833,0
area-26-n157,tmax,9000,120,43,3,0,8138,8993,21,0.995,8.0,0.11,2,0.833,0
area-26-n157,tmax,9000,120,44,3,0,8138,8993,21,0.995,8.0,0.11,2,0.833,0
area-27-n72,midpoint,7200,120,42,2,0,5737,7189,0,1.0,25.5,0.63,6,0.666,0
area-27-n72,midpoint,7200,120,43,2,0,5737,7189,0,1.0,25.5,0.63,6,0.666,0
area-27-n72,midpoint,7200,120,44,2,0,5737,7189,0,1.0,25.5,0.63,6,0.666,0
area-27-n72,tmax,9000,120,42,2,0,9331,8986,3,1.0,26.0,0.65,27,0.832,0
area-27-n72,tmax,9000,120,43,2,0,9331,8986,3,1.0,26.0,0.65,27,0.832,0
area-27-n72,tmax,9000,120,44,2,0,9331,8986,3,1.0,26.0,0.65,27,0.832,0
area-29-n43,midpoint,7200,120,42,1,0,2022,7182,0,1.0,0.0,0.0,0,0.665,0
area-29-n43,midpoint,7200,120,43,1,0,2022,7182,0,1.0,0.0,0.0,0,0.665,0
area-29-n43,midpoint,7200,120,44,1,0,2022,7182,0,1.0,0.0,0.0,0,0.665,0
area-29-n43,tmax,9000,120,42,1,0,3821,8981,0,1.0,0.0,0.0,15,0.832,0
area-29-n43,tmax,9000,120,43,1,0,3821,8981,0,1.0,0.0,0.0,15,0.832,0
area-29-n43,tmax,9000,120,44,1,0,3821,8981,0,1.0,0.0,0.0,15,0.832,0
