route,n_trees,duration_sec,service_total_sec,travel_sec,walk_ratio,shortfall_sec,saturation,self_crossings
1,43,10076,5160,4916,0.488,0,0.933,5
2,45,9898,5400,4498,0.454,0,0.916,4
3,50,10674,6000,4674,0.438,0,0.988,2
4,62,10344,7440,2904,0.281,0,0.958,4
5,60,9874,7200,2674,0.271,0,0.914,2
6,59,9896,7080,2816,0.285,0,0.916,1
7,67,9939,8040,1899,0.191,0,0.92,0
8,69,9885,8279,1606,0.162,0,0.915,13
9,61,9930,7320,2610,0.263,0,0.919,5
10,68,10686,8160,2526,0.236,0,0.989,5
11,22,9892,2640,7252,0.733,0,0.916,0
12,78,10619,9360,1259,0.119,0,0.983,1
13,70,10712,8400,2312,0.216,0,0.992,4
14,69,10662,8280,2382,0.223,0,0.987,5
15,68,10170,8160,2010,0.198,0,0.942,3
16,63,9888,7560,2328,0.235,0,0.916,1
17,71,9879,8520,1359,0.138,0,0.915,4
18,74,10645,8880,1765,0.166,0,0.986,5
19,76,10477,9120,1357,0.13,0,0.97,1
20,67,9820,8040,1780,0.181,0,0.909,3
21,77,10767,9240,1527,0.142,0,0.997,3
22,66,9873,7920,1953,0.198,0,0.914,3
23,69,9980,8280,1700,0.17,0,0.924,4
24,73,9942,8760,1182,0.119,0,0.921,4
25,80,10593,9600,993,0.094,0,0.981,5
summary,1607,255121,192839,62282,0.244,0,0.945,87
