route,n_trees,duration_sec,service_total_sec,travel_sec,walk_ratio,shortfall_sec,saturation,self_crossings
1,70,10271,8400,1871,0.182,0,0.951,0
2,58,9016,6960,2056,0.228,0,0.835,0
3,61,9695,7320,2375,0.245,0,0.898,0
4,67,9671,8040,1631,0.169,0,0.895,0
5,56,10190,6720,3470,0.341,0,0.944,0
6,64,10770,7680,3090,0.287,0,0.997,1
7,62,9745,7440,2305,0.237,0,0.902,0
8,74,10448,8880,1568,0.15,0,0.967,0
9,59,9677,7080,2597,0.268,0,0.896,0
10,79,10670,9480,1190,0.112,0,0.988,0
11,8,7959,960,6999,0.879,0,0.737,0
12,68,10619,8160,2459,0.232,0,0.983,2
13,69,10409,8280,2129,0.205,0,0.964,0
14,67,10701,8040,2661,0.249,0,0.991,0
15,68,10129,8160,1969,0.194,0,0.938,0
16,66,10047,7920,2127,0.212,0,0.93,0
17,75,10609,9000,1609,0.152,0,0.982,0
18,74,10723,8880,1843,0.172,0,0.993,0
19,78,10753,9360,1393,0.13,0,0.996,0
20,46,8974,5520,3454,0.385,0,0.831,0
21,74,10406,8880,1526,0.147,0,0.964,0
22,69,10468,8280,2188,0.209,0,0.969,0
23,64,9650,7680,1970,0.204,0,0.894,1
24,73,10170,8760,1410,0.139,0,0.942,1
25,58,10201,6960,3241,0.318,0,0.945,0
summary,1607,251971,192840,59131,0.235,0,0.933,5
