dataset,soft_upper_target,t_min_sec,time_limit_sec,seed,k,drops,travel_sec,duration_mean_sec,duration_sd_sec,balance,interleave_per_route,worst_pair_iou,self_crossings,saturation_mean,routes_over_tmax
reference-n1607,midpoint,7200,120,42,25,0,60681,10141,651,0.833,95.2,0.35,92,0.939,0
reference-n1607,midpoint,7200,120,43,25,0,60554,10136,644,0.833,95.2,0.35,88,0.939,0
reference-n1607,midpoint,7200,120,44,25,0,60554,10136,644,0.833,95.2,0.35,88,0.939,0
reference-n1607,tmax,7200,120,42,25,0,59119,10079,672,0.739,68.2,0.38,5,0.933,0
reference-n1607,tmax,7200,120,43,25,0,59119,10079,672,0.739,68.2,0.38,5,0.933,0
reference-n1607,tmax,7200,120,44,25,0,59119,10079,672,0.739,68.2,0.38,5,0.933,0
reference-n1607,midpoint,9000,120,42,25,0,62272,10205,359,0.912,94.08,0.35,87,0.945,0
reference-n1607,midpoint,9000,120,43,25,0,62272,10205,359,0.912,94.08,0.35,86,0.945,0
reference-n1607,midpoint,9000,120,44,25,0,62272,10205,359,0.912,94.08,0.35,87,0.945,0
reference-n1607,tmax,9000,120,42,25,0,60387,10130,579,0.837,66.28,0.32,6,0.938,0
reference-n1607,tmax,9000,120,43,25,0,60387,10130,579,0.837,66.28,0.32,6,0.938,0
reference-n1607,tmax,9000,120,44,25,0,60394,10130,576,0.838,66.28,0.32,6,0.938,0
reference-n1607,midpoint,7200,300,42,25,0,54808,9906,610,0.828,78.88,0.44,50,0.917,0
reference-n1607,midpoint,7200,300,43,25,0,54808,9906,610,0.828,78.88,0.44,50,0.917,0
reference-n1607,midpoint,7200,300,44,25,0,54666,9901,636,0.828,78.84,0.44,50,0.917,0
