instance,n,axis,cell,strategy,balance_arm,soft_lower_penalty,soft_upper_target,span_coef,spatial_span_coef,stops_floor_penalty,max_vehicles_forced,max_vehicles,exempt_lower_vehicle,exempt_upper_vehicle,exempt_vehicles_inactive,time_global_span_coef,post_resequence,arc_lambda,arc_tau,arc_coef,cluster_neighbors,cluster_count,vehicles_per_cluster,warm_start,seed,starts,budget_mode,start_time_limit_sec,k,drops,degenerate_routes,short_routes,travel_sec,balance,balance_excl_min,sigma_t_sec,dur_min_sec,dur_median_sec,dur_max_sec,crossings_chord,crossings_road,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,msf_k_sec,relleno_msf_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec,two_opt_gap
battery-n50,50,config,actual,spatial_term,actual,10000,midpoint,0,0,10000,,7,,,0,0,True,0.0,112.6,1,,,,,1,1,per-start,105,2,0,0,0,4233,0.882,1.0,322,4795,5116,5438,2,0,0.32,14.5,0.414,0.474,0.278,2209,1975,2258,8400,105.09,0.001,0.006,0.01,104.991,0.004,0.0
battery-n50,50,config,actual,spatial_term,actual,10000,midpoint,0,0,10000,,7,,,0,0,True,0.0,112.6,1,,,,,2,1,per-start,105,2,0,0,0,4508,0.889,1.0,310,4944,5254,5564,4,0,0.42,14.5,0.429,0.487,0.278,2484,1975,2533,8400,105.04,0.001,0.003,0.008,104.993,0.001,0.0
battery-n50,50,config,actual,spatial_term,actual,10000,midpoint,0,0,10000,,7,,,0,0,True,0.0,112.6,1,,,,,3,1,per-start,105,2,0,0,0,4233,0.882,1.0,322,4795,5116,5438,2,0,0.32,14.5,0.414,0.474,0.278,2209,1975,2258,8400,105.03,0.001,0.003,0.007,104.994,0.0,0.0
battery-n100,100,config,actual,spatial_term,actual,10000,midpoint,0,0,10000,,8,,,0,0,True,0.0,67.3,1,,,,,1,1,per-start,120,2,0,0,0,3811,0.835,1.0,710,7196,7906,8615,9,2,0.05,5.0,0.241,0.732,0.556,1351,2601,1210,2400,120.09,0.003,0.007,0.016,119.985,0.001,0.0
battery-n100,100,config,actual,spatial_term,actual,10000,midpoint,0,0,10000,,8,,,0,0,True,0.0,67.3,1,,,,,2,1,per-start,120,2,0,0,0,3797,0.987,1.0,54,7845,7898,7952,8,2,0.02,3.0,0.24,0.731,0.556,1337,2601,1196,2400,120.04,0.003,0.007,0.017,119.984,0.001,0.0
battery-n100,100,config,actual,spatial_term,actual,10000,midpoint,0,0,10000,,8,,,0,0,True,0.0,67.3,1,,,,,3,1,per-start,120,2,0,0,0,3797,0.987,1.0,54,7845,7898,7952,9,1,0.02,3.0,0.24,0.731,0.556,1337,2601,1196,2400,120.04,0.003,0.007,0.016,119.985,0.0,0.0
battery-n200,200,config,actual,spatial_term,actual,10000,midpoint,0,0,10000,,9,,,0,0,True,0.0,59.0,1,,,,,1,1,per-start,120,4,0,0,0,7120,0.883,0.889,461,7295,7780,8265,17,10,0.13,14.5,0.229,0.72,0.556,3642,4541,2579,4800,120.09,0.009,0.026,0.043,119.959,0.002,0.0
battery-n200,200,config,actual,spatial_term,actual,10000,midpoint,0,0,10000,,9,,,0,0,True,0.0,59.0,1,,,,,2,1,per-start,120,4,0,0,0,7142,0.885,0.903,397,7326,7768,8279,22,5,0.04,4.0,0.229,0.721,0.556,3664,4541,2601,4800,120.12,0.01,0.026,0.043,119.959,0.001,0.0
battery-n200,200,config,actual,spatial_term,actual,10000,midpoint,0,0,10000,,9,,,0,0,True,0.0,59.0,1,,,,,3,1,per-start,120,4,0,0,0,7141,0.897,0.904,383,7376,7770,8226,16,6,0.21,15.0,0.229,0.721,0.556,3663,4541,2600,4800,120.11,0.009,0.028,0.044,119.957,0.002,0.0
battery-n400,400,config,actual,spatial_term,actual,10000,midpoint,0,0,10000,,13,,,0,0,True,0.0,46.7,1,,,,,1,1,per-start,120,7,0,0,0,13695,0.946,0.978,155,8477,8838,8963,28,13,0.61,93.14,0.222,0.816,0.635,8177,7314,6381,3120,120.25,0.039,0.104,0.137,119.876,0.002,0.0
