instance,n,axis,cell,strategy,balance_arm,span_coef,spatial_span_coef,time_global_span_coef,post_resequence,arc_lambda,arc_tau,seed,k,drops,degenerate_routes,travel_sec,balance,sigma_t_sec,dur_min_sec,dur_median_sec,dur_max_sec,crossings,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec
battery-n50,50,config,actual,spatial_term,actual,0,3,0,False,0.0,112.6,1,2,0,0,8399,0.998,8,7191,7200,7208,5,0.186,10.5,0.583,0.667,0.278,6375,8400,105.06,0.001,0.005,0.01,104.987,0.0
battery-n50,50,config,actual,spatial_term,actual,0,3,0,False,0.0,112.6,2,2,0,0,8399,0.998,8,7191,7200,7208,5,0.186,10.5,0.583,0.667,0.278,6375,8400,105.03,0.001,0.002,0.008,104.992,0.0
battery-n50,50,config,actual,spatial_term,actual,0,3,0,False,0.0,112.6,3,2,0,0,8399,0.998,8,7191,7200,7208,5,0.186,10.5,0.583,0.667,0.278,6375,8400,105.03,0.001,0.002,0.008,104.992,0.0
battery-n100,100,config,actual,spatial_term,actual,0,3,0,False,0.0,67.3,1,2,0,0,4244,0.946,226,7896,8122,8348,3,0.017,3.0,0.261,0.752,0.556,1784,2400,120.06,0.003,0.007,0.022,119.98,0.0
battery-n100,100,config,actual,spatial_term,actual,0,3,0,False,0.0,67.3,2,2,0,0,4244,0.946,226,7896,8122,8348,3,0.017,3.0,0.261,0.752,0.556,1784,2400,120.04,0.003,0.007,0.021,119.98,0.0
battery-n100,100,config,actual,spatial_term,actual,0,3,0,False,0.0,67.3,3,2,0,0,4244,0.946,226,7896,8122,8348,3,0.017,3.0,0.261,0.752,0.556,1784,2400,120.01,0.003,0.007,0.021,119.953,0.0
battery-n200,200,config,actual,spatial_term,actual,0,3,0,False,0.0,59.0,1,4,0,0,8254,0.832,617,7254,8139,8722,2,0.128,15.75,0.256,0.747,0.556,4776,4800,120.08,0.01,0.026,0.067,119.934,0.001
battery-n200,200,config,actual,spatial_term,actual,0,3,0,False,0.0,59.0,2,4,0,0,8254,0.832,617,7254,8139,8722,2,0.128,15.75,0.256,0.747,0.556,4776,4800,120.08,0.01,0.025,0.066,119.936,0.001
battery-n200,200,config,actual,spatial_term,actual,0,3,0,False,0.0,59.0,3,4,0,0,8254,0.832,617,7254,8139,8722,2,0.128,15.75,0.256,0.747,0.556,4776,4800,120.09,0.01,0.026,0.065,119.936,0.001
battery-n400,400,config,actual,spatial_term,actual,0,3,0,False,0.0,46.7,1,7,0,0,14557,0.987,43,8857,8969,8971,2,0.446,48.71,0.233,0.828,0.635,9039,3600,120.23,0.04,0.104,0.218,119.784,0.002
battery-n400,400,config,actual,spatial_term,actual,0,3,0,False,0.0,46.7,2,7,0,0,14557,0.987,43,8857,8969,8971,2,0.446,48.71,0.233,0.828,0.635,9039,3600,120.26,0.037,0.115,0.203,119.799,0.002
battery-n400,400,config,actual,spatial_term,actual,0,3,0,False,0.0,46.7,3,7,0,0,14557,0.987,43,8857,8969,8971,2,0.446,48.71,0.233,0.828,0.635,9039,3600,120.24,0.043,0.109,0.203,119.798,0.002
battery-n800,800,config,actual,spatial_term,actual,0,3,0,False,0.0,35.4,1,12,0,0,19901,0.853,554,9018,9483,10576,27,0.513,67.08,0.172,0.894,0.741,10938,1200,120.76,0.165,0.416,0.754,119.249,0.003
battery-n800,800,config,actual,spatial_term,actual,0,3,0,False,0.0,35.4,2,12,0,0,19767,0.851,624,9002,9290,10576,29,0.492,66.83,0.171,0.893,0.741,10804,1200,120.84,0.169,0.447,0.743,119.275,0.003
battery-n800,800,config,actual,spatial_term,actual,0,3,0,False,0.0,35.4,3,12,0,0,19901,0.853,554,9018,9483,10576,27,0.513,67.08,0.172,0.894,0.741,10938,1200,120.78,0.161,0.42,0.765,119.239,0.003
battery-n1000,1000,config,actual,spatial_term,actual,0,3,0,False,0.0,34.7,1,15,0,0,26875,0.836,564,8990,9788,10753,57,0.321,81.93,0.183,0.907,0.741,15923,1560,121.13,0.247,0.662,1.195,118.809,0.004
battery-n1000,1000,config,actual,spatial_term,actual,0,3,0,False,0.0,34.7,2,15,0,0,26875,0.836,573,8990,9788,10753,55,0.321,91.93,0.183,0.907,0.741,15923,1560,121.15,0.251,0.65,1.161,118.84,0.004
battery-n1000,1000,config,actual,spatial_term,actual,0,3,0,False,0.0,34.7,3,15,0,0,26615,0.838,552,8990,9788,10724,56,0.576,82.2,0.182,0.905,0.741,15663,1800,121.13,0.243,0.656,1.134,118.869,0.004
battery-sparse-n250,250,config,actual,spatial_term,actual,0,3,0,False,0.0,85.8,1,5,0,0,15734,0.946,221,8966,8976,9480,2,0.129,37.4,0.344,0.847,0.556,7324,6000,120.11,0.015,0.04,0.089,119.912,0.001
battery-sparse-n250,250,config,actual,spatial_term,actual,0,3,0,False,0.0,85.8,2,5,0,0,15734,0.946,221,8966,8976,9480,2,0.129,37.4,0.344,0.847,0.556,7324,6000,120.11,0.015,0.04,0.088,119.914,0.001
battery-sparse-n250,250,config,actual,spatial_term,actual,0,3,0,False,0.0,85.8,3,5,0,0,15734,0.946,221,8966,8976,9480,2,0.129,37.4,0.344,0.847,0.556,7324,6000,120.12,0.016,0.04,0.092,119.912,0.001
battery-sparse-n500,500,config,actual,spatial_term,actual,0,3,0,False,0.0,56.9,1,9,0,0,23196,0.847,565,8733,8983,10309,13,0.576,77.89,0.279,0.856,0.617,13754,5640,120.36,0.061,0.162,0.312,119.702,0.002
battery-sparse-n500,500,config,actual,spatial_term,actual,0,3,0,False,0.0,56.9,2,9,0,0,23225,0.848,562,8745,8983,10309,10,0.576,77.89,0.279,0.856,0.617,13783,5640,120.34,0.062,0.162,0.322,119.68,0.002
battery-sparse-n500,500,config,actual,spatial_term,actual,0,3,0,False,0.0,56.9,3,9,0,0,23234,0.847,562,8733,8983,10309,14,0.576,77.89,0.279,0.856,0.617,13792,5640,120.33,0.063,0.162,0.314,119.688,0.002
area-26-n157,157,config,actual,spatial_term,actual,0,3,0,False,0.0,48.1,1,3,0,0,4962,0.877,456,7294,8187,8321,0,0.11,4.33,0.208,0.734,0.581,2579,2760,120.07,0.008,0.017,0.044,119.958,0.001
area-26-n157,157,config,actual,spatial_term,actual,0,3,0,False,0.0,48.1,2,3,0,0,4962,0.877,456,7294,8187,8321,0,0.11,4.33,0.208,0.734,0.581,2579,2760,120.08,0.007,0.017,0.044,119.957,0.001
area-26-n157,157,config,actual,spatial_term,actual,0,3,0,False,0.0,48.1,3,3,0,0,4962,0.877,456,7294,8187,8321,0,0.11,4.33,0.208,0.734,0.581,2579,2760,120.06,0.008,0.016,0.044,119.958,0.001
area-27-n72,72,config,actual,spatial_term,actual,0,3,0,False,0.0,29.8,1,2,0,0,5738,1.0,0,7189,7189,7189,6,0.631,25.5,0.399,0.666,0.4,5207,5760,120.03,0.002,0.004,0.015,119.986,0.0
area-27-n72,72,config,actual,spatial_term,actual,0,3,0,False,0.0,29.8,2,2,0,0,5738,1.0,0,7189,7189,7189,6,0.631,25.5,0.399,0.666,0.4,5207,5760,120.03,0.002,0.004,0.016,119.986,0.0
area-27-n72,72,config,actual,spatial_term,actual,0,3,0,False,0.0,29.8,3,2,0,0,5738,1.0,0,7189,7189,7189,6,0.631,25.5,0.399,0.666,0.4,5207,5760,119.94,0.002,0.006,0.014,119.891,0.0
area-29-n43,43,config,actual,spatial_term,actual,0,3,0,False,0.0,27.6,1,1,0,0,2022,1.0,0,7182,7182,7182,0,0.0,0.0,0.282,0.665,0.478,1634,2040,94.02,0.001,0.002,0.007,93.993,0.0
area-29-n43,43,config,actual,spatial_term,actual,0,3,0,False,0.0,27.6,2,1,0,0,2022,1.0,0,7182,7182,7182,0,0.0,0.0,0.282,0.665,0.478,1634,2040,94.02,0.001,0.001,0.007,93.993,0.0
area-29-n43,43,config,actual,spatial_term,actual,0,3,0,False,0.0,27.6,3,1,0,0,2022,1.0,0,7182,7182,7182,0,0.0,0.0,0.282,0.665,0.478,1634,2040,94.02,0.001,0.002,0.01,93.99,0.0
reference-n1607,1607,config,actual,spatial_term,actual,0,3,0,False,0.0,44.1,1,25,0,0,60566,0.833,631,8972,10438,10767,88,0.348,95.2,0.239,0.939,0.714,33510,9240,122.84,0.702,1.759,2.791,117.213,0.006
reference-n1607,1607,config,actual,spatial_term,actual,0,3,0,False,0.0,44.1,2,25,0,0,60679,0.833,627,8972,10438,10767,88,0.348,95.2,0.239,0.939,0.714,33623,9240,122.7,0.634,1.696,2.83,117.174,0.006
reference-n1607,1607,config,actual,spatial_term,actual,0,3,0,False,0.0,44.1,3,25,0,0,60651,0.833,628,8972,10438,10767,88,0.348,95.2,0.239,0.939,0.714,33595,9240,122.86,0.639,1.704,2.816,117.195,0.006
battery-n50,50,config,no-floor,spatial_term,no-floor,0,3,0,False,0.0,112.6,1,1,0,0,3419,1.0,0,9419,9419,9419,0,0.0,0.0,0.363,0.872,0.556,1352,1200,105.06,0.001,0.004,0.008,104.991,0.0
battery-n50,50,config,no-floor,spatial_term,no-floor,0,3,0,False,0.0,112.6,2,1,0,0,3419,1.0,0,9419,9419,9419,0,0.0,0.0,0.363,0.872,0.556,1352,1200,105.02,0.001,0.002,0.009,104.99,0.0
battery-n50,50,config,no-floor,spatial_term,no-floor,0,3,0,False,0.0,112.6,3,1,0,0,3419,1.0,0,9419,9419,9419,0,0.0,0.0,0.363,0.872,0.556,1352,1200,105.04,0.001,0.002,0.008,105.014,0.0
battery-n100,100,config,no-floor,spatial_term,no-floor,0,3,0,False,0.0,67.3,1,2,0,0,4277,0.966,142,7996,8138,8281,0,0.017,3.0,0.263,0.754,0.556,1817,2400,120.06,0.003,0.007,0.021,119.979,0.0
battery-n100,100,config,no-floor,spatial_term,no-floor,0,3,0,False,0.0,67.3,2,2,0,0,4277,0.966,142,7996,8138,8281,0,0.017,3.0,0.263,0.754,0.556,1817,2400,120.04,0.003,0.007,0.02,119.979,0.0
battery-n100,100,config,no-floor,spatial_term,no-floor,0,3,0,False,0.0,67.3,3,2,0,0,4277,0.966,142,7996,8138,8281,0,0.017,3.0,0.263,0.754,0.556,1817,2400,120.03,0.003,0.007,0.02,119.979,0.0
battery-n200,200,config,no-floor,spatial_term,no-floor,0,3,0,False,0.0,59.0,1,4,0,1,7942,0.109,3947,1168,10048,10678,6,0.075,4.75,0.249,0.74,0.556,4464,6600,120.08,0.011,0.025,0.062,119.938,0.001
battery-n200,200,config,no-floor,spatial_term,no-floor,0,3,0,False,0.0,59.0,2,4,0,1,7942,0.109,3947,1168,10048,10678,6,0.075,4.75,0.249,0.74,0.556,4464,6600,120.09,0.011,0.025,0.059,119.941,0.001
battery-n200,200,config,no-floor,spatial_term,no-floor,0,3,0,False,0.0,59.0,3,4,0,1,7942,0.109,3947,1168,10048,10678,6,0.075,4.75,0.249,0.74,0.556,4464,6600,120.09,0.01,0.025,0.06,119.94,0.001
battery-n400,400,config,no-floor,spatial_term,no-floor,0,3,0,False,0.0,46.7,1,6,0,0,12896,0.834,657,8945,10527,10721,3,0.379,35.5,0.212,0.94,0.741,7364,960,120.26,0.04,0.102,0.203,119.824,0.002
battery-n400,400,config,no-floor,spatial_term,no-floor,0,3,0,False,0.0,46.7,2,6,0,0,12896,0.834,657,8945,10527,10721,3,0.379,35.5,0.212,0.94,0.741,7364,960,120.2,0.046,0.102,0.205,119.733,0.002
battery-n400,400,config,no-floor,spatial_term,no-floor,0,3,0,False,0.0,46.7,3,6,0,0,12896,0.834,657,8945,10527,10721,3,0.379,35.5,0.212,0.94,0.741,7364,960,120.23,0.039,0.103,0.203,119.796,0.002
battery-n800,800,config,no-floor,spatial_term,no-floor,0,3,0,False,0.0,35.4,1,12,0,0,21192,0.37,1774,3970,10360,10729,8,0.402,43.33,0.181,0.904,0.741,12229,3600,120.77,0.168,0.411,0.731,119.269,0.003
battery-n800,800,config,no-floor,spatial_term,no-floor,0,3,0,False,0.0,35.4,2,12,0,0,21192,0.37,1774,3970,10360,10729,8,0.402,43.33,0.181,0.904,0.741,12229,3600,120.74,0.156,0.418,0.717,119.282,0.003
battery-n800,800,config,no-floor,spatial_term,no-floor,0,3,0,False,0.0,35.4,3,12,0,0,21192,0.37,1774,3970,10360,10729,8,0.402,43.33,0.181,0.904,0.741,12229,3600,120.76,0.158,0.41,0.728,119.272,0.003
battery-n1000,1000,config,no-floor,spatial_term,no-floor,0,3,0,False,0.0,34.7,1,15,0,0,26980,0.479,1382,5145,10097,10751,7,0.508,42.4,0.184,0.907,0.741,16028,3600,121.37,0.244,0.645,1.108,119.149,0.004
battery-n1000,1000,config,no-floor,spatial_term,no-floor,0,3,0,False,0.0,34.7,2,15,0,0,26980,0.479,1382,5145,10097,10751,7,0.508,42.4,0.184,0.907,0.741,16028,3600,121.24,0.245,0.647,1.113,119.018,0.004
battery-n1000,1000,config,no-floor,spatial_term,no-floor,0,3,0,False,0.0,34.7,3,15,0,0,26980,0.479,1382,5145,10097,10751,7,0.508,42.4,0.184,0.907,0.741,16028,3600,121.19,0.244,0.645,1.114,118.956,0.004
battery-sparse-n250,250,config,no-floor,spatial_term,no-floor,0,3,0,False,0.0,85.8,1,5,0,0,15497,0.681,1153,6842,9567,10043,1,0.069,2.6,0.341,0.843,0.556,7087,6001,120.07,0.016,0.04,0.086,119.87,0.001
battery-sparse-n250,250,config,no-floor,spatial_term,no-floor,0,3,0,False,0.0,85.8,2,5,0,0,15497,0.681,1153,6842,9567,10043,1,0.069,2.6,0.341,0.843,0.556,7087,6001,120.11,0.016,0.039,0.088,119.911,0.001
battery-sparse-n250,250,config,no-floor,spatial_term,no-floor,0,3,0,False,0.0,85.8,3,5,0,0,15497,0.681,1153,6842,9567,10043,1,0.069,2.6,0.341,0.843,0.556,7087,6001,120.12,0.018,0.042,0.084,119.913,0.001
battery-sparse-n500,500,config,no-floor,spatial_term,no-floor,0,3,0,False,0.0,56.9,1,8,0,0,21664,0.875,439,9361,10335,10693,4,0.295,23.62,0.265,0.945,0.694,12202,600,120.33,0.06,0.161,0.319,119.68,0.002
battery-sparse-n500,500,config,no-floor,spatial_term,no-floor,0,3,0,False,0.0,56.9,2,8,0,0,20935,0.812,611,8692,10196,10705,4,0.144,23.25,0.259,0.937,0.694,11473,1320,120.33,0.06,0.162,0.305,119.694,0.002
battery-sparse-n500,500,config,no-floor,spatial_term,no-floor,0,3,0,False,0.0,56.9,3,8,0,0,21062,0.887,480,9455,10271,10660,3,0.144,24.62,0.26,0.938,0.694,11600,1200,120.35,0.063,0.159,0.304,119.695,0.002
area-26-n157,157,config,no-floor,spatial_term,no-floor,0,3,0,False,0.0,48.1,1,3,0,0,4300,0.795,755,6943,7459,8738,0,0.034,3.67,0.186,0.714,0.581,1917,2760,120.06,0.007,0.016,0.041,119.956,0.001
