instance,n,axis,cell,strategy,balance_arm,span_coef,spatial_span_coef,stops_floor_penalty,max_vehicles_forced,time_global_span_coef,post_resequence,arc_lambda,arc_tau,seed,k,drops,degenerate_routes,travel_sec,balance,sigma_t_sec,dur_min_sec,dur_median_sec,dur_max_sec,crossings,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,msf_k_sec,relleno_msf_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec
battery-n50,50,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,112.6,1,2,0,0,8389,0.998,6,7189,7194,7200,4,0.222,17.0,0.583,0.667,0.278,6365,1975,6414,8400,105.07,0.001,0.007,0.012,104.987,0.0
battery-n50,50,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,112.6,2,2,0,0,8385,0.999,4,7189,7192,7196,8,0.211,18.0,0.583,0.666,0.278,6361,1975,6410,8400,105.03,0.002,0.006,0.01,104.99,0.0
battery-n50,50,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,112.6,3,2,0,0,8385,0.999,4,7189,7192,7196,8,0.211,18.0,0.583,0.666,0.278,6361,1975,6410,8400,105.04,0.002,0.003,0.012,104.989,0.001
battery-n50,50,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,112.6,4,2,0,0,8385,0.999,4,7189,7192,7196,8,0.211,18.0,0.583,0.666,0.278,6361,1975,6410,8400,105.05,0.002,0.004,0.013,104.987,0.001
battery-n50,50,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,112.6,5,2,0,0,8420,0.997,12,7198,7210,7222,8,0.181,13.0,0.584,0.667,0.278,6396,1975,6445,8400,105.06,0.002,0.003,0.017,104.983,0.0
battery-n100,100,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,67.3,1,2,0,0,4268,0.964,150,7984,8134,8283,6,0.017,3.0,0.262,0.753,0.556,1808,2601,1667,2401,120.04,0.003,0.008,0.021,119.979,0.001
battery-n100,100,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,67.3,2,2,0,0,4698,0.969,132,8217,8349,8481,2,0.101,10.5,0.281,0.773,0.556,2238,2601,2097,2400,120.05,0.004,0.01,0.026,119.974,0.001
battery-n100,100,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,67.3,3,2,0,0,4292,0.967,138,8008,8146,8283,4,0.017,3.0,0.263,0.754,0.556,1832,2601,1691,2401,120.17,0.004,0.01,0.03,120.081,0.001
battery-n100,100,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,67.3,4,2,0,0,4186,0.838,713,7380,8093,8806,5,0.049,5.0,0.259,0.749,0.556,1726,2601,1585,2400,120.07,0.007,0.016,0.057,119.944,0.001
battery-n100,100,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,67.3,5,2,0,0,4126,0.832,741,7322,8063,8804,0,0.049,5.0,0.256,0.746,0.556,1666,2601,1525,2400,120.06,0.004,0.009,0.027,119.975,0.001
battery-n200,200,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,59.0,1,4,0,0,7992,0.831,619,7229,8031,8701,2,0.318,30.5,0.25,0.741,0.556,4514,4541,3451,4800,120.12,0.017,0.033,0.081,119.92,0.001
battery-n200,200,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,59.0,2,4,0,0,7877,0.844,558,7501,7746,8883,5,0.099,20.25,0.247,0.738,0.556,4399,4541,3336,5040,120.12,0.014,0.036,0.084,119.917,0.001
