instance,n,k,service_total_sec,nn_mean_sec,nn_lower_bound_sec,msf_k_sec,floor_travel_lb_sec,travel_lb_sec,travel_ub_tmax_sec,feasible,saturation_apriori,relleno_lb_sec
battery-n50,50,1,6000,42.18,2067,2746,0,2746,4800,True,0.556,679
battery-n50,50,1,6000,42.18,2067,2746,1200,2746,4800,True,0.556,679
battery-n50,50,2,6000,42.18,2024,1975,0,1975,15600,True,0.278,0
battery-n50,50,2,6000,42.18,2024,1975,8400,8400,15600,True,0.278,6376
battery-n50,50,3,6000,42.18,1982,1745,0,1745,26400,True,0.185,0
battery-n50,50,3,6000,42.18,1982,1745,15600,15600,26400,True,0.185,13618
battery-n50,50,4,6000,42.18,1940,1547,0,1547,37200,True,0.139,0
battery-n50,50,4,6000,42.18,1940,1547,22800,22800,37200,True,0.139,20860
battery-n50,50,5,6000,42.18,1898,1358,0,1358,48000,True,0.111,0
battery-n50,50,5,6000,42.18,1898,1358,30000,30000,48000,True,0.111,28102
battery-n50,50,6,6000,42.18,1856,1228,0,1228,58800,True,0.093,0
battery-n50,50,6,6000,42.18,1856,1228,37200,37200,58800,True,0.093,35344
battery-n50,50,7,6000,42.18,1814,1137,0,1137,69600,True,0.079,0
battery-n50,50,7,6000,42.18,1814,1137,44400,44400,69600,True,0.079,42586
battery-n50,50,8,6000,42.18,1771,1055,0,1055,80400,True,0.069,0
battery-n50,50,8,6000,42.18,1771,1055,51600,51600,80400,True,0.069,49829
battery-n50,50,9,6000,42.18,1729,975,0,975,91200,True,0.062,0
battery-n50,50,9,6000,42.18,1729,975,58800,58800,91200,True,0.062,57071
battery-n50,50,10,6000,42.18,1687,900,0,900,102000,True,0.056,0
battery-n50,50,10,6000,42.18,1687,900,66000,66000,102000,True,0.056,64313
battery-n50,50,11,6000,42.18,1645,828,0,828,112800,True,0.051,0
battery-n50,50,11,6000,42.18,1645,828,73200,73200,112800,True,0.051,71555
battery-n50,50,12,6000,42.18,1603,767,0,767,123600,True,0.046,0
battery-n50,50,12,6000,42.18,1603,767,80400,80400,123600,True,0.046,78797
battery-n50,50,13,6000,42.18,1561,715,0,715,134400,True,0.043,0
battery-n50,50,13,6000,42.18,1561,715,87600,87600,134400,True,0.043,86039
battery-n50,50,14,6000,42.18,1518,664,0,664,145200,True,0.04,0
battery-n50,50,14,6000,42.18,1518,664,94800,94800,145200,True,0.04,93282
battery-n50,50,15,6000,42.18,1476,615,0,615,156000,True,0.037,0
battery-n50,50,15,6000,42.18,1476,615,102000,102000,156000,True,0.037,100524
battery-n50,50,16,6000,42.18,1434,566,0,566,166800,True,0.035,0
battery-n50,50,16,6000,42.18,1434,566,109200,109200,166800,True,0.035,107766
battery-n50,50,17,6000,42.18,1392,522,0,522,177600,True,0.033,0
battery-n50,50,17,6000,42.18,1392,522,116400,116400,177600,True,0.033,115008
battery-n50,50,18,6000,42.18,1350,483,0,483,188400,True,0.031,0
battery-n50,50,18,6000,42.18,1350,483,123600,123600,188400,True,0.031,122250
battery-n50,50,19,6000,42.18,1307,447,0,447,199200,True,0.029,0
battery-n50,50,19,6000,42.18,1307,447,130800,130800,199200,True,0.029,129493
battery-n50,50,20,6000,42.18,1265,415,0,415,210000,True,0.028,0
battery-n50,50,20,6000,42.18,1265,415,138000,138000,210000,True,0.028,136735
battery-n50,50,21,6000,42.18,1223,384,0,384,220800,True,0.026,0
battery-n50,50,21,6000,42.18,1223,384,145200,145200,220800,True,0.026,143977
battery-n50,50,22,6000,42.18,1181,356,0,356,231600,True,0.025,0
battery-n50,50,22,6000,42.18,1181,356,152400,152400,231600,True,0.025,151219
battery-n50,50,23,6000,42.18,1139,328,0,328,242400,True,0.024,0
battery-n50,50,23,6000,42.18,1139,328,159600,159600,242400,True,0.024,158461
battery-n50,50,24,6000,42.18,1097,300,0,300,253200,True,0.023,0
battery-n50,50,24,6000,42.18,1097,300,166800,166800,253200,True,0.023,165703
battery-n50,50,25,6000,42.18,1054,273,0,273,264000,True,0.022,0
battery-n50,50,25,6000,42.18,1054,273,174000,174000,264000,True,0.022,172946
battery-n50,50,26,6000,42.18,1012,248,0,248,274800,True,0.021,0
battery-n50,50,26,6000,42.18,1012,248,181200,181200,274800,True,0.021,180188
battery-n50,50,27,6000,42.18,970,223,0,223,285600,True,0.021,0
battery-n50,50,27,6000,42.18,970,223,188400,188400,285600,True,0.021,187430
battery-n50,50,28,6000,42.18,928,201,0,201,296400,True,0.02,0
battery-n50,50,28,6000,42.18,928,201,195600,195600,296400,True,0.02,194672
battery-n50,50,29,6000,42.18,886,181,0,181,307200,True,0.019,0
battery-n50,50,29,6000,42.18,886,181,202800,202800,307200,True,0.019,201914
battery-n50,50,30,6000,42.18,844,160,0,160,318000,True,0.019,0
battery-n50,50,30,6000,42.18,844,160,210000,210000,318000,True,0.019,209156
battery-n50,50,31,6000,42.18,801,143,0,143,328800,True,0.018,0
battery-n50,50,31,6000,42.18,801,143,217200,217200,328800,True,0.018,216399
battery-n50,50,32,6000,42.18,759,126,0,126,339600,True,0.017,0
battery-n50,50,32,6000,42.18,759,126,224400,224400,339600,True,0.017,223641
battery-n50,50,33,6000,42.18,717,111,0,111,350400,True,0.017,0
battery-n50,50,33,6000,42.18,717,111,231600,231600,350400,True,0.017,230883
battery-n50,50,34,6000,42.18,675,96,0,96,361200,True,0.016,0
battery-n50,50,34,6000,42.18,675,96,238800,238800,361200,True,0.016,238125
battery-n50,50,35,6000,42.18,633,82,0,82,372000,True,0.016,0
battery-n50,50,35,6000,42.18,633,82,246000,246000,372000,True,0.016,245367
battery-n50,50,36,6000,42.18,590,72,0,72,382800,True,0.015,0
