instance,n,axis,cell,strategy,balance_arm,span_coef,spatial_span_coef,max_vehicles_forced,time_global_span_coef,post_resequence,arc_lambda,arc_tau,seed,k,drops,degenerate_routes,travel_sec,balance,sigma_t_sec,dur_min_sec,dur_median_sec,dur_max_sec,crossings,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,msf_k_sec,relleno_msf_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec
battery-n50,50,config,actual,spatial_term,actual,0,3,,0,False,0.0,112.6,1,2,0,0,8378,0.999,2,7187,7189,7191,4,0.218,21.5,0.583,0.665,0.278,6354,1975,6403,8400,105.06,0.001,0.005,0.01,104.99,0.0
battery-n50,50,config,actual,spatial_term,actual,0,3,,0,False,0.0,112.6,2,2,0,0,8385,0.999,2,7190,7192,7195,18,0.116,7.0,0.583,0.666,0.278,6361,1975,6410,8400,105.03,0.001,0.002,0.009,104.991,0.0
battery-n50,50,config,actual,spatial_term,actual,0,3,,0,False,0.0,112.6,3,2,0,0,8385,0.999,4,7189,7192,7196,8,0.211,18.0,0.583,0.666,0.278,6361,1975,6410,8400,105.03,0.001,0.005,0.008,104.991,0.0
battery-n50,50,config,actual,spatial_term,actual,0,3,,0,False,0.0,112.6,4,2,0,0,8385,0.999,4,7189,7192,7196,8,0.211,18.0,0.583,0.666,0.278,6361,1975,6410,8400,105.03,0.001,0.002,0.008,104.991,0.0
battery-n50,50,config,actual,spatial_term,actual,0,3,,0,False,0.0,112.6,5,2,0,0,8420,0.997,12,7198,7210,7222,8,0.181,13.0,0.584,0.667,0.278,6396,1975,6445,8400,105.05,0.001,0.002,0.008,104.992,0.0
battery-n100,100,config,actual,spatial_term,actual,0,3,,0,False,0.0,67.3,1,2,0,0,4268,0.964,150,7984,8134,8283,6,0.017,3.0,0.262,0.753,0.556,1808,2601,1667,2401,120.06,0.003,0.007,0.021,120.001,0.0
battery-n100,100,config,actual,spatial_term,actual,0,3,,0,False,0.0,67.3,2,2,0,0,4698,0.969,132,8217,8349,8481,2,0.101,10.5,0.281,0.773,0.556,2238,2601,2097,2400,120.04,0.005,0.007,0.021,119.98,0.0
battery-n100,100,config,actual,spatial_term,actual,0,3,,0,False,0.0,67.3,3,2,0,0,4292,0.967,138,8008,8146,8283,4,0.017,3.0,0.263,0.754,0.556,1832,2601,1691,2401,120.04,0.003,0.007,0.021,119.98,0.0
battery-n100,100,config,actual,spatial_term,actual,0,3,,0,False,0.0,67.3,4,2,0,0,4186,0.838,713,7380,8093,8806,5,0.049,5.0,0.259,0.749,0.556,1726,2601,1585,2400,120.04,0.003,0.007,0.02,119.98,0.0
battery-n100,100,config,actual,spatial_term,actual,0,3,,0,False,0.0,67.3,5,2,0,0,4126,0.832,741,7322,8063,8804,0,0.049,5.0,0.256,0.746,0.556,1666,2601,1525,2400,120.04,0.003,0.007,0.021,119.985,0.0
battery-n200,200,config,actual,spatial_term,actual,0,3,,0,False,0.0,59.0,1,4,0,0,7992,0.831,619,7229,8031,8701,2,0.318,30.5,0.25,0.741,0.556,4514,4541,3451,4800,120.08,0.01,0.027,0.072,119.928,0.001
battery-n200,200,config,actual,spatial_term,actual,0,3,,0,False,0.0,59.0,2,4,0,0,7877,0.844,558,7501,7746,8883,5,0.099,20.25,0.247,0.738,0.556,4399,4541,3336,5040,120.09,0.009,0.025,0.059,119.942,0.001
battery-n200,200,config,actual,spatial_term,actual,0,3,,0,False,0.0,59.0,3,4,0,0,8029,0.833,519,7251,8036,8705,2,0.112,23.75,0.251,0.741,0.556,4551,4541,3488,4800,120.09,0.01,0.027,0.062,119.939,0.001
battery-n200,200,config,actual,spatial_term,actual,0,3,,0,False,0.0,59.0,4,4,0,0,7672,0.851,526,7481,7702,8786,0,0.099,20.25,0.242,0.733,0.556,4194,4541,3131,5040,120.08,0.01,0.026,0.059,119.932,0.001
battery-n200,200,config,actual,spatial_term,actual,0,3,,0,False,0.0,59.0,5,4,0,0,7832,0.885,358,7552,7874,8533,0,0.099,19.75,0.246,0.737,0.556,4354,4541,3291,4800,120.09,0.012,0.026,0.059,119.94,0.001
battery-n400,400,config,actual,spatial_term,actual,0,3,,0,False,0.0,46.7,1,7,0,0,15412,0.939,188,8923,8981,9507,15,0.704,91.71,0.243,0.839,0.635,9894,7314,8098,4440,120.26,0.045,0.102,0.203,119.797,0.002
battery-n400,400,config,actual,spatial_term,actual,0,3,,0,False,0.0,46.7,2,7,0,0,14086,0.961,109,8618,8901,8972,3,0.344,52.71,0.227,0.821,0.635,8568,7314,6772,3000,120.25,0.036,0.103,0.205,119.796,0.002
battery-n400,400,config,actual,spatial_term,actual,0,3,,0,False,0.0,46.7,3,7,0,0,14947,0.97,84,8920,8969,9195,14,0.528,81.0,0.237,0.832,0.635,9429,7314,7633,4080,120.25,0.04,0.116,0.237,119.764,0.002
battery-n400,400,config,actual,spatial_term,actual,0,3,,0,False,0.0,46.7,4,7,0,0,13864,0.974,84,8721,8844,8952,2,0.601,81.43,0.224,0.818,0.635,8346,7314,6550,3000,120.27,0.038,0.104,0.204,119.804,0.003
battery-n400,400,config,actual,spatial_term,actual,0,3,,0,False,0.0,46.7,5,6,0,0,12177,0.846,557,9032,10011,10682,23,0.342,47.0,0.202,0.929,0.741,6645,7477,4700,120,120.4,0.047,0.123,0.259,119.746,0.003
battery-n800,800,config,actual,spatial_term,actual,0,3,,0,False,0.0,35.4,1,12,0,0,21305,0.835,569,8969,9888,10745,57,0.496,112.67,0.182,0.905,0.741,12342,12392,8913,600,124.36,0.31,0.804,0.88,119.414,0.096
battery-n800,800,config,actual,spatial_term,actual,0,3,,0,False,0.0,35.4,2,12,0,0,23133,0.853,476,8973,10070,10519,66,0.546,110.33,0.194,0.919,0.741,14170,12392,10741,1560,128.66,1.482,3.767,3.585,116.442,0.087
battery-n800,800,config,actual,spatial_term,actual,0,3,,0,False,0.0,35.4,3,12,0,0,20891,0.85,576,8959,9742,10535,59,0.512,74.92,0.179,0.902,0.741,11928,12392,8499,120,143.87,0.963,1.111,3.081,118.103,0.649
battery-n800,800,config,actual,spatial_term,actual,0,3,,0,False,0.0,35.4,4,12,0,0,24323,0.844,536,9033,10032,10701,73,0.318,91.0,0.202,0.928,0.741,15360,12392,11931,1560,131.05,3.88,1.999,7.693,112.745,0.087
battery-n800,800,config,actual,spatial_term,actual,0,3,,0,False,0.0,35.4,5,12,0,0,23767,0.837,666,8958,10256,10708,79,0.389,91.83,0.198,0.924,0.741,14804,12392,11375,121,129.73,5.012,0.647,5.121,114.696,0.137
battery-n1000,1000,config,actual,spatial_term,actual,0,3,,0,False,0.0,34.7,1,15,0,0,27263,0.839,613,8982,9842,10702,72,0.571,83.2,0.185,0.909,0.741,16311,15438,11825,2401,121.18,0.218,0.658,1.121,118.884,0.005
battery-n1000,1000,config,actual,spatial_term,actual,0,3,,0,False,0.0,34.7,2,15,0,0,26107,0.841,613,9014,9662,10719,57,0.552,104.53,0.179,0.902,0.741,15155,15438,10669,960,121.12,0.224,0.639,1.158,118.844,0.004
battery-n1000,1000,config,actual,spatial_term,actual,0,3,,0,False,0.0,34.7,3,15,0,0,26912,0.84,554,8981,9742,10698,61,0.386,92.67,0.183,0.907,0.741,15960,15438,11474,1560,121.13,0.222,0.662,1.089,118.912,0.004
battery-n1000,1000,config,actual,spatial_term,actual,0,3,,0,False,0.0,34.7,4,15,0,0,25944,0.845,588,8983,9462,10631,80,0.444,59.33,0.178,0.901,0.741,14992,15438,10506,720,121.12,0.23,0.656,1.091,118.91,0.004
battery-n1000,1000,config,actual,spatial_term,actual,0,3,,0,False,0.0,34.7,5,15,0,0,25755,0.836,699,8993,9579,10751,53,0.493,78.87,0.177,0.9,0.741,14803,15438,10317,600,121.09,0.225,0.649,1.099,118.906,0.004
battery-sparse-n250,250,config,actual,spatial_term,actual,0,3,,0,False,0.0,85.8,1,6,0,0,16044,0.92,247,7332,7786,7967,2,0.329,10.17,0.348,0.711,0.463,7668,10927,5117,13200,120.11,0.014,0.043,0.085,119.915,0.001
battery-sparse-n250,250,config,actual,spatial_term,actual,0,3,,0,False,0.0,85.8,2,5,0,0,15708,0.963,123,8975,9156,9324,8,0.133,19.8,0.344,0.846,0.556,7298,11132,4576,6000,120.09,0.014,0.043,0.084,119.88,0.001
