instance,n,axis,cell,strategy,balance_arm,span_coef,spatial_span_coef,max_vehicles_forced,time_global_span_coef,post_resequence,arc_lambda,arc_tau,seed,k,drops,degenerate_routes,travel_sec,balance,sigma_t_sec,dur_min_sec,dur_median_sec,dur_max_sec,crossings,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,msf_k_sec,relleno_msf_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec
battery-n50,50,config,feasible-floor-b060-stops10,spatial_term,feasible-floor-b060-stops10,0,3,,0,False,0.0,112.6,1,1,0,0,3419,1.0,0,9419,9419,9419,0,0.0,0.0,0.363,0.872,0.556,1352,2746,673,1200,105.06,0.001,0.004,0.012,104.988,0.0
battery-n50,50,config,feasible-floor-b060-stops10,spatial_term,feasible-floor-b060-stops10,0,3,,0,False,0.0,112.6,2,1,0,0,3419,1.0,0,9419,9419,9419,0,0.0,0.0,0.363,0.872,0.556,1352,2746,673,1200,105.02,0.001,0.002,0.009,104.99,0.0
battery-n50,50,config,feasible-floor-b060-stops10,spatial_term,feasible-floor-b060-stops10,0,3,,0,False,0.0,112.6,3,1,0,0,3419,1.0,0,9419,9419,9419,0,0.0,0.0,0.363,0.872,0.556,1352,2746,673,1200,105.03,0.001,0.003,0.01,104.99,0.0
battery-n50,50,config,feasible-floor-b060-stops10,spatial_term,feasible-floor-b060-stops10,0,3,,0,False,0.0,112.6,4,1,0,0,3419,1.0,0,9419,9419,9419,0,0.0,0.0,0.363,0.872,0.556,1352,2746,673,1200,105.03,0.001,0.002,0.014,104.986,0.0
battery-n50,50,config,feasible-floor-b060-stops10,spatial_term,feasible-floor-b060-stops10,0,3,,0,False,0.0,112.6,5,1,0,0,3419,1.0,0,9419,9419,9419,0,0.0,0.0,0.363,0.872,0.556,1352,2746,673,1200,105.04,0.001,0.002,0.01,104.991,0.0
battery-n100,100,config,feasible-floor-b060-stops10,spatial_term,feasible-floor-b060-stops10,0,3,,0,False,0.0,67.3,1,2,0,0,4291,0.653,1712,6433,8146,9858,3,0.03,5.0,0.263,0.754,0.556,1831,2601,1690,2400,120.06,0.003,0.007,0.025,119.997,0.0
battery-n100,100,config,feasible-floor-b060-stops10,spatial_term,feasible-floor-b060-stops10,0,3,,0,False,0.0,67.3,2,2,0,0,4315,0.648,1742,6415,8158,9900,1,0.03,5.0,0.264,0.756,0.556,1855,2601,1714,2400,120.04,0.003,0.007,0.023,119.977,0.0
battery-n100,100,config,feasible-floor-b060-stops10,spatial_term,feasible-floor-b060-stops10,0,3,,0,False,0.0,67.3,3,2,0,0,4259,0.652,1714,6415,8130,9844,3,0.03,5.0,0.262,0.752,0.556,1799,2601,1658,2400,120.04,0.003,0.007,0.023,119.977,0.0
battery-n100,100,config,feasible-floor-b060-stops10,spatial_term,feasible-floor-b060-stops10,0,3,,0,False,0.0,67.3,4,2,0,0,4173,0.66,1654,6433,8086,9740,0,0.03,5.0,0.258,0.749,0.556,1713,2601,1572,2400,120.04,0.003,0.007,0.024,119.977,0.0
battery-n100,100,config,feasible-floor-b060-stops10,spatial_term,feasible-floor-b060-stops10,0,3,,0,False,0.0,67.3,5,2,0,0,4174,0.644,1754,6333,8087,9841,0,0.03,5.0,0.258,0.748,0.556,1714,2601,1573,2400,120.04,0.003,0.007,0.024,119.977,0.0
battery-n200,200,config,feasible-floor-b060-stops10,spatial_term,feasible-floor-b060-stops10,0,3,,0,False,0.0,59.0,1,4,0,0,8124,0.805,661,7009,8204,8708,2,0.092,9.25,0.253,0.744,0.556,4646,4541,3583,4800,120.09,0.01,0.028,0.079,119.922,0.001
battery-n200,200,config,feasible-floor-b060-stops10,spatial_term,feasible-floor-b060-stops10,0,3,,0,False,0.0,59.0,2,4,0,0,7698,0.755,827,6559,8224,8692,4,0.078,7.75,0.243,0.734,0.556,4220,4541,3157,4800,120.09,0.01,0.026,0.066,119.935,0.001
battery-n200,200,config,feasible-floor-b060-stops10,spatial_term,feasible-floor-b060-stops10,0,3,,0,False,0.0,59.0,3,4,0,0,7969,0.685,1131,6043,8553,8820,4,0.05,4.75,0.249,0.74,0.556,4491,4541,3428,4800,120.09,0.011,0.026,0.071,119.93,0.001
battery-n200,200,config,feasible-floor-b060-stops10,spatial_term,feasible-floor-b060-stops10,0,3,,0,False,0.0,59.0,4,4,0,0,7877,0.483,1911,4842,8501,10033,2,0.062,8.5,0.247,0.738,0.556,4399,4541,3336,4800,120.08,0.01,0.027,0.068,119.924,0.001
battery-n200,200,config,feasible-floor-b060-stops10,spatial_term,feasible-floor-b060-stops10,0,3,,0,False,0.0,59.0,5,4,0,0,7876,0.689,1270,6961,7410,10096,0,0.092,9.25,0.247,0.738,0.556,4398,4541,3335,6000,120.1,0.01,0.028,0.071,119.947,0.001
battery-n400,400,config,feasible-floor-b060-stops10,spatial_term,feasible-floor-b060-stops10,0,3,,0,False,0.0,46.7,1,6,0,0,12900,0.838,660,8973,10517,10711,4,0.259,32.67,0.212,0.94,0.741,7368,7477,5423,961,120.26,0.041,0.106,0.218,119.783,0.002
battery-n400,400,config,feasible-floor-b060-stops10,spatial_term,feasible-floor-b060-stops10,0,3,,0,False,0.0,46.7,2,6,0,0,12857,0.917,322,9719,10138,10596,6,0.332,15.83,0.211,0.939,0.741,7325,7477,5380,0,120.24,0.039,0.111,0.219,119.782,0.002
battery-n400,400,config,feasible-floor-b060-stops10,spatial_term,feasible-floor-b060-stops10,0,3,,0,False,0.0,46.7,3,6,0,0,13451,0.874,468,9411,10442,10765,4,0.314,23.5,0.219,0.948,0.741,7919,7477,5974,120,120.26,0.042,0.124,0.243,119.759,0.002
battery-n400,400,config,feasible-floor-b060-stops10,spatial_term,feasible-floor-b060-stops10,0,3,,0,False,0.0,46.7,4,6,0,0,13141,0.751,958,8060,10590,10738,6,0.259,21.33,0.215,0.944,0.741,7609,7477,5664,120,120.3,0.039,0.107,0.239,119.762,0.003
battery-n400,400,config,feasible-floor-b060-stops10,spatial_term,feasible-floor-b060-stops10,0,3,,0,False,0.0,46.7,5,6,0,0,12757,0.821,638,8827,10356,10751,4,0.336,51.83,0.21,0.938,0.741,7225,7477,5280,960,120.42,0.05,0.137,0.284,119.719,0.003
