instance,n,axis,cell,strategy,balance_arm,span_coef,spatial_span_coef,max_vehicles_forced,time_global_span_coef,post_resequence,arc_lambda,arc_tau,seed,k,drops,degenerate_routes,travel_sec,balance,sigma_t_sec,dur_min_sec,dur_median_sec,dur_max_sec,crossings,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,msf_k_sec,relleno_msf_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec
battery-n50,50,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,112.6,1,1,0,0,3419,1.0,0,9419,9419,9419,0,0.0,0.0,0.363,0.872,0.556,1352,2746,673,1200,105.06,0.001,0.005,0.01,104.99,0.0
battery-n50,50,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,112.6,2,1,0,0,3419,1.0,0,9419,9419,9419,0,0.0,0.0,0.363,0.872,0.556,1352,2746,673,1200,105.03,0.001,0.002,0.009,104.992,0.0
battery-n50,50,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,112.6,3,1,0,0,3419,1.0,0,9419,9419,9419,0,0.0,0.0,0.363,0.872,0.556,1352,2746,673,1200,105.03,0.002,0.003,0.009,104.992,0.0
battery-n50,50,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,112.6,4,1,0,0,3419,1.0,0,9419,9419,9419,0,0.0,0.0,0.363,0.872,0.556,1352,2746,673,1200,105.03,0.001,0.002,0.009,104.991,0.0
battery-n50,50,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,112.6,5,1,0,0,3419,1.0,0,9419,9419,9419,0,0.0,0.0,0.363,0.872,0.556,1352,2746,673,1200,105.04,0.001,0.002,0.009,104.991,0.0
battery-n100,100,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,67.3,1,2,0,0,4291,0.653,1712,6433,8146,9858,3,0.03,5.0,0.263,0.754,0.556,1831,2601,1690,2400,120.07,0.003,0.011,0.021,120.001,0.0
battery-n100,100,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,67.3,2,2,0,0,4292,0.653,1713,6433,8146,9859,3,0.03,5.0,0.263,0.754,0.556,1832,2601,1691,2400,120.04,0.003,0.009,0.02,119.98,0.0
battery-n100,100,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,67.3,3,2,0,0,4295,0.968,134,8014,8148,8281,0,0.017,3.0,0.264,0.754,0.556,1835,2601,1694,2400,120.04,0.003,0.008,0.022,119.979,0.0
battery-n100,100,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,67.3,4,2,0,0,4173,0.66,1654,6433,8086,9740,0,0.03,5.0,0.258,0.749,0.556,1713,2601,1572,2400,120.04,0.003,0.007,0.021,119.98,0.0
battery-n100,100,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,67.3,5,2,0,0,4328,0.526,2534,5630,8164,10698,1,0.117,2.0,0.265,0.756,0.556,1868,2601,1727,3720,120.05,0.003,0.013,0.022,119.979,0.0
battery-n200,200,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,59.0,1,4,0,0,7887,0.809,648,6985,8136,8630,2,0.092,9.25,0.247,0.738,0.556,4409,4541,3346,4801,120.09,0.011,0.026,0.065,119.935,0.001
battery-n200,200,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,59.0,2,4,0,0,8026,0.724,950,6686,8050,9239,4,0.18,18.75,0.251,0.741,0.556,4548,4541,3485,4800,120.1,0.011,0.029,0.059,119.942,0.001
battery-n200,200,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,59.0,3,4,0,0,8137,0.651,1375,6532,7782,10040,3,0.048,3.0,0.253,0.744,0.556,4659,4541,3596,4800,120.09,0.011,0.026,0.06,119.941,0.001
battery-n200,200,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,59.0,4,4,0,0,8542,0.766,794,6811,8419,8893,5,0.302,14.0,0.262,0.753,0.556,5064,4541,4001,4800,120.08,0.012,0.026,0.059,119.932,0.001
battery-n200,200,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,59.0,5,4,0,0,8072,0.835,583,7133,8196,8547,6,0.099,16.5,0.252,0.742,0.556,4594,4541,3531,4801,120.09,0.01,0.026,0.061,119.939,0.001
battery-n400,400,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,46.7,1,6,0,0,13066,0.911,282,9644,10229,10590,8,0.545,47.5,0.214,0.943,0.741,7534,7477,5589,120,120.28,0.042,0.103,0.198,119.817,0.001
battery-n400,400,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,46.7,2,6,0,0,12871,0.821,696,8827,10544,10748,8,0.17,15.17,0.211,0.939,0.741,7339,7477,5394,960,120.25,0.041,0.103,0.2,119.801,0.002
battery-n400,400,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,46.7,3,6,0,0,13451,0.874,468,9411,10442,10765,4,0.314,23.5,0.219,0.948,0.741,7919,7477,5974,120,120.27,0.048,0.115,0.236,119.765,0.001
battery-n400,400,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,46.7,4,6,0,0,13244,0.874,459,9308,10332,10649,7,0.515,39.0,0.216,0.945,0.741,7712,7477,5767,0,120.27,0.04,0.104,0.196,119.805,0.003
battery-n400,400,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,46.7,5,6,0,0,12757,0.821,638,8827,10356,10751,4,0.336,51.83,0.21,0.938,0.741,7225,7477,5280,960,120.39,0.051,0.127,0.266,119.736,0.004
battery-n800,800,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,35.4,1,12,0,0,22531,0.717,1058,7698,10524,10732,1,0.56,82.08,0.19,0.915,0.741,13568,12392,10139,3120,124.3,0.311,0.794,0.879,119.41,0.086
battery-n800,800,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,35.4,2,12,0,0,22532,0.721,952,7757,10182,10756,7,0.356,59.17,0.19,0.915,0.741,13569,12392,10140,2520,128.68,1.725,3.486,3.615,116.415,0.085
