instance,n,axis,cell,strategy,balance_arm,span_coef,spatial_span_coef,max_vehicles_forced,time_global_span_coef,post_resequence,arc_lambda,arc_tau,seed,k,drops,degenerate_routes,travel_sec,balance,sigma_t_sec,dur_min_sec,dur_median_sec,dur_max_sec,crossings,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,msf_k_sec,relleno_msf_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec
battery-n50,50,config,no-floor-stops10,spatial_term,no-floor-stops10,0,3,,0,False,0.0,112.6,1,1,0,0,3419,1.0,0,9419,9419,9419,0,0.0,0.0,0.363,0.872,0.556,1352,2746,673,1200,105.06,0.001,0.005,0.011,104.988,0.0
battery-n50,50,config,no-floor-stops10,spatial_term,no-floor-stops10,0,3,,0,False,0.0,112.6,2,1,0,0,3419,1.0,0,9419,9419,9419,0,0.0,0.0,0.363,0.872,0.556,1352,2746,673,1200,105.03,0.001,0.002,0.009,104.991,0.0
battery-n50,50,config,no-floor-stops10,spatial_term,no-floor-stops10,0,3,,0,False,0.0,112.6,3,1,0,0,3419,1.0,0,9419,9419,9419,0,0.0,0.0,0.363,0.872,0.556,1352,2746,673,1200,105.02,0.001,0.002,0.009,104.991,0.0
battery-n50,50,config,no-floor-stops10,spatial_term,no-floor-stops10,0,3,,0,False,0.0,112.6,4,1,0,0,3419,1.0,0,9419,9419,9419,0,0.0,0.0,0.363,0.872,0.556,1352,2746,673,1200,105.03,0.001,0.002,0.011,104.99,0.0
battery-n50,50,config,no-floor-stops10,spatial_term,no-floor-stops10,0,3,,0,False,0.0,112.6,5,1,0,0,3419,1.0,0,9419,9419,9419,0,0.0,0.0,0.363,0.872,0.556,1352,2746,673,1200,105.05,0.001,0.005,0.01,104.99,0.0
battery-n100,100,config,no-floor-stops10,spatial_term,no-floor-stops10,0,3,,0,False,0.0,67.3,1,2,0,0,4291,0.653,1712,6433,8146,9858,3,0.03,5.0,0.263,0.754,0.556,1831,2601,1690,2400,120.06,0.003,0.007,0.031,119.991,0.0
battery-n100,100,config,no-floor-stops10,spatial_term,no-floor-stops10,0,3,,0,False,0.0,67.3,2,2,0,0,4295,0.968,134,8014,8148,8281,0,0.017,3.0,0.264,0.754,0.556,1835,2601,1694,2400,120.04,0.003,0.007,0.027,119.976,0.0
battery-n100,100,config,no-floor-stops10,spatial_term,no-floor-stops10,0,3,,0,False,0.0,67.3,3,2,0,0,4280,0.965,144,7996,8140,8283,3,0.017,3.0,0.263,0.754,0.556,1820,2601,1679,2401,120.04,0.003,0.007,0.025,119.975,0.0
battery-n100,100,config,no-floor-stops10,spatial_term,no-floor-stops10,0,3,,0,False,0.0,67.3,4,2,0,0,4173,0.66,1654,6433,8086,9740,0,0.03,5.0,0.258,0.749,0.556,1713,2601,1572,2400,120.04,0.003,0.007,0.026,119.974,0.0
battery-n100,100,config,no-floor-stops10,spatial_term,no-floor-stops10,0,3,,0,False,0.0,67.3,5,2,0,0,4274,0.654,1704,6433,8137,9841,0,0.03,5.0,0.263,0.754,0.556,1814,2601,1673,2400,120.04,0.003,0.008,0.022,119.978,0.0
battery-n200,200,config,no-floor-stops10,spatial_term,no-floor-stops10,0,3,,0,False,0.0,59.0,1,4,0,0,7812,0.81,630,6981,8106,8620,2,0.092,9.25,0.246,0.736,0.556,4334,4541,3271,4800,120.09,0.012,0.028,0.071,119.93,0.001
battery-n200,200,config,no-floor-stops10,spatial_term,no-floor-stops10,0,3,,0,False,0.0,59.0,2,4,0,0,8008,0.474,1958,4800,8543,10121,8,0.032,2.75,0.25,0.741,0.556,4530,4541,3467,4801,120.1,0.011,0.026,0.066,119.938,0.001
battery-n200,200,config,no-floor-stops10,spatial_term,no-floor-stops10,0,3,,0,False,0.0,59.0,3,3,0,0,7956,0.974,123,10481,10710,10765,2,0.265,32.33,0.249,0.986,0.741,4461,4730,3226,0,120.09,0.01,0.028,0.066,119.935,0.001
battery-n200,200,config,no-floor-stops10,spatial_term,no-floor-stops10,0,3,,0,False,0.0,59.0,4,4,0,0,7782,0.476,1937,4745,8539,9959,4,0.032,2.75,0.245,0.736,0.556,4304,4541,3241,4800,120.08,0.01,0.028,0.065,119.927,0.001
battery-n200,200,config,no-floor-stops10,spatial_term,no-floor-stops10,0,3,,0,False,0.0,59.0,5,4,0,0,7798,0.66,1255,6418,7826,9727,2,0.087,11.25,0.245,0.736,0.556,4320,4541,3257,5520,120.09,0.01,0.032,0.068,119.932,0.001
battery-n400,400,config,no-floor-stops10,spatial_term,no-floor-stops10,0,3,,0,False,0.0,46.7,1,6,0,0,13897,0.935,209,10023,10294,10720,4,0.301,30.33,0.225,0.955,0.741,8365,7477,6420,241,120.27,0.044,0.103,0.215,119.786,0.002
battery-n400,400,config,no-floor-stops10,spatial_term,no-floor-stops10,0,3,,0,False,0.0,46.7,2,6,0,0,12852,0.898,366,9634,10088,10727,4,0.332,15.83,0.211,0.939,0.741,7320,7477,5375,0,120.25,0.035,0.103,0.219,119.782,0.002
