source,instance,n,cell,seed,k,travel_sec,relleno_sec,msf_k_sec,relleno_msf_sec
route-config-algorithm-sweep-20260718.csv,battery-n50,50,actual,1,2,8399,6375,1975,6424
route-config-algorithm-sweep-20260718.csv,battery-n50,50,actual,2,2,8399,6375,1975,6424
route-config-algorithm-sweep-20260718.csv,battery-n50,50,actual,3,2,8399,6375,1975,6424
route-config-algorithm-sweep-20260718.csv,battery-n50,50,upper-tmax-tmin9000,1,1,3419,1352,2746,673
route-config-algorithm-sweep-20260718.csv,battery-n50,50,upper-tmax-tmin9000,2,1,3419,1352,2746,673
route-config-algorithm-sweep-20260718.csv,battery-n50,50,upper-tmax-tmin9000,3,1,3419,1352,2746,673
route-config-algorithm-sweep-20260718.csv,battery-n50,50,tmin-scaled,1,2,3221,1197,1975,1246
route-config-algorithm-sweep-20260718.csv,battery-n50,50,tmin-scaled,2,2,3221,1197,1975,1246
route-config-algorithm-sweep-20260718.csv,battery-n50,50,tmin-scaled,3,2,3221,1197,1975,1246
route-config-algorithm-sweep-20260718.csv,battery-n50,50,service-floor,1,2,2500,476,1975,525
route-config-algorithm-sweep-20260718.csv,battery-n50,50,service-floor,2,2,2500,476,1975,525
route-config-algorithm-sweep-20260718.csv,battery-n50,50,service-floor,3,2,2500,476,1975,525
route-config-algorithm-sweep-20260718.csv,battery-n50,50,tmin-scaled+exempt-last,1,2,3221,1197,1975,1246
route-config-algorithm-sweep-20260718.csv,battery-n50,50,tmin-scaled+exempt-last,2,2,3221,1197,1975,1246
route-config-algorithm-sweep-20260718.csv,battery-n50,50,tmin-scaled+exempt-last,3,2,3221,1197,1975,1246
route-config-algorithm-sweep-20260718.csv,battery-n50,50,span-c100,1,1,3266,1199,2746,520
route-config-algorithm-sweep-20260718.csv,battery-n50,50,span-c100,2,1,3266,1199,2746,520
route-config-algorithm-sweep-20260718.csv,battery-n50,50,span-c100,3,1,3266,1199,2746,520
route-config-algorithm-sweep-20260718.csv,battery-n50,50,global,1,2,8385,6361,1975,6410
route-config-algorithm-sweep-20260718.csv,battery-n50,50,global,2,2,8385,6361,1975,6410
route-config-algorithm-sweep-20260718.csv,battery-n50,50,global,3,2,8385,6361,1975,6410
route-config-algorithm-sweep-20260718.csv,battery-n50,50,greedy,1,1,3776,1709,2746,1030
route-config-algorithm-sweep-20260718.csv,battery-n50,50,greedy,2,1,3776,1709,2746,1030
route-config-algorithm-sweep-20260718.csv,battery-n50,50,greedy,3,1,3776,1709,2746,1030
route-config-algorithm-sweep-20260718.csv,battery-n100,100,actual,1,2,4244,1784,2601,1643
route-config-algorithm-sweep-20260718.csv,battery-n100,100,actual,2,2,4244,1784,2601,1643
route-config-algorithm-sweep-20260718.csv,battery-n100,100,actual,3,2,4244,1784,2601,1643
route-config-algorithm-sweep-20260718.csv,battery-n100,100,upper-tmax-tmin9000,1,2,5961,3501,2601,3360
route-config-algorithm-sweep-20260718.csv,battery-n100,100,upper-tmax-tmin9000,2,2,5961,3501,2601,3360
route-config-algorithm-sweep-20260718.csv,battery-n100,100,upper-tmax-tmin9000,3,2,5961,3501,2601,3360
route-config-algorithm-sweep-20260718.csv,battery-n100,100,tmin-scaled,1,3,4241,1806,2412,1829
route-config-algorithm-sweep-20260718.csv,battery-n100,100,tmin-scaled,2,3,4241,1806,2412,1829
route-config-algorithm-sweep-20260718.csv,battery-n100,100,tmin-scaled,3,3,4241,1806,2412,1829
route-config-algorithm-sweep-20260718.csv,battery-n100,100,service-floor,1,2,4354,1894,2601,1753
route-config-algorithm-sweep-20260718.csv,battery-n100,100,service-floor,2,2,4354,1894,2601,1753
route-config-algorithm-sweep-20260718.csv,battery-n100,100,service-floor,3,2,4354,1894,2601,1753
route-config-algorithm-sweep-20260718.csv,battery-n100,100,tmin-scaled+exempt-last,1,3,4241,1806,2412,1829
route-config-algorithm-sweep-20260718.csv,battery-n100,100,tmin-scaled+exempt-last,2,3,4241,1806,2412,1829
route-config-algorithm-sweep-20260718.csv,battery-n100,100,tmin-scaled+exempt-last,3,3,4241,1806,2412,1829
route-config-algorithm-sweep-20260718.csv,battery-n100,100,span-c100,1,2,3797,1337,2601,1196
route-config-algorithm-sweep-20260718.csv,battery-n100,100,span-c100,2,2,3797,1337,2601,1196
route-config-algorithm-sweep-20260718.csv,battery-n100,100,span-c100,3,2,3797,1337,2601,1196
route-config-algorithm-sweep-20260718.csv,battery-n100,100,global,1,2,4040,1580,2601,1439
route-config-algorithm-sweep-20260718.csv,battery-n100,100,global,2,2,4040,1580,2601,1439
route-config-algorithm-sweep-20260718.csv,battery-n100,100,global,3,2,4040,1580,2601,1439
route-config-algorithm-sweep-20260718.csv,battery-n100,100,greedy,1,2,4917,2457,2601,2316
route-config-algorithm-sweep-20260718.csv,battery-n100,100,greedy,2,2,4917,2457,2601,2316
route-config-algorithm-sweep-20260718.csv,battery-n100,100,greedy,3,2,4917,2457,2601,2316
route-config-algorithm-sweep-20260718.csv,battery-n200,200,actual,1,4,8254,4776,4541,3713
route-config-algorithm-sweep-20260718.csv,battery-n200,200,actual,2,4,8254,4776,4541,3713
route-config-algorithm-sweep-20260718.csv,battery-n200,200,actual,3,4,8254,4776,4541,3713
route-config-algorithm-sweep-20260718.csv,battery-n200,200,upper-tmax-tmin9000,1,4,12024,8546,4541,7483
route-config-algorithm-sweep-20260718.csv,battery-n200,200,upper-tmax-tmin9000,2,4,12024,8546,4541,7483
route-config-algorithm-sweep-20260718.csv,battery-n200,200,upper-tmax-tmin9000,3,4,12024,8546,4541,7483
route-config-algorithm-sweep-20260718.csv,battery-n200,200,tmin-scaled,1,5,7728,4268,4404,3324
route-config-algorithm-sweep-20260718.csv,battery-n200,200,tmin-scaled,2,5,7728,4268,4404,3324
route-config-algorithm-sweep-20260718.csv,battery-n200,200,tmin-scaled,3,5,7728,4268,4404,3324
route-config-algorithm-sweep-20260718.csv,battery-n200,200,service-floor,1,4,7890,4412,4541,3349
route-config-algorithm-sweep-20260718.csv,battery-n200,200,service-floor,2,4,7890,4412,4541,3349
route-config-algorithm-sweep-20260718.csv,battery-n200,200,service-floor,3,4,7890,4412,4541,3349
route-config-algorithm-sweep-20260718.csv,battery-n200,200,tmin-scaled+exempt-last,1,5,7728,4268,4404,3324
route-config-algorithm-sweep-20260718.csv,battery-n200,200,tmin-scaled+exempt-last,2,5,7728,4268,4404,3324
route-config-algorithm-sweep-20260718.csv,battery-n200,200,tmin-scaled+exempt-last,3,5,7728,4268,4404,3324
route-config-algorithm-sweep-20260718.csv,battery-n200,200,span-c100,1,4,7168,3690,4541,2627
