instance,n,k,msf_k_sec,ub_k_sec,ub_k_directed_sec,gap_sec,gap_pct,ub_max_route_dur_sec,ub_routes_over_tmax,ub_tmax_feasible,tsp_time_limit_sec
area-26-n157,157,1,4256,5131,5131,875,20.56,23971,1,False,120
area-26-n157,157,2,3881,4632,4632,751,19.35,16497,1,False,120
area-26-n157,157,3,3618,4290,4290,672,18.56,13943,1,False,120
area-26-n157,157,4,3406,4078,4078,672,19.71,13943,1,False,120
area-26-n157,157,5,3230,3892,3892,662,20.48,8516,0,True,120
area-26-n157,157,6,3075,3714,3714,639,20.77,8217,0,True,120
area-27-n72,72,1,1303,1425,1425,122,9.35,10065,0,True,120
area-27-n72,72,2,914,1036,1036,122,13.33,5357,0,True,120
area-27-n72,72,3,788,909,909,122,15.46,5357,0,True,120
area-27-n72,72,4,740,798,798,58,7.81,5357,0,True,120
area-27-n72,72,5,694,751,751,57,8.15,5189,0,True,120
area-27-n72,72,6,649,704,704,56,8.6,3276,0,True,120
area-29-n43,43,1,789,955,955,166,21.09,6115,0,True,120
area-29-n43,43,2,685,851,851,166,24.31,5397,0,True,120
area-29-n43,43,3,620,766,766,146,23.57,2812,0,True,120
area-29-n43,43,4,569,702,702,133,23.41,2504,0,True,120
area-29-n43,43,5,522,644,644,122,23.37,2501,0,True,120
area-29-n43,43,6,476,594,594,119,24.92,2501,0,True,120
battery-n50,50,1,2746,3266,3266,520,18.95,9266,0,True,120
battery-n50,50,2,1975,2414,2414,439,22.24,8294,0,True,120
battery-n50,50,3,1745,2143,2143,398,22.8,6344,0,True,120
battery-n50,50,4,1547,1929,1929,382,24.68,6010,0,True,120
battery-n50,50,5,1358,1732,1732,373,27.48,2954,0,True,120
battery-n50,50,6,1228,1582,1582,353,28.77,2954,0,True,120
battery-n100,100,1,3371,4065,4065,694,20.57,16065,1,False,120
battery-n100,100,2,2601,3239,3239,638,24.53,15119,1,False,120
battery-n100,100,3,2412,3027,3027,615,25.51,14787,1,False,120
battery-n100,100,4,2238,2853,2853,615,27.5,9099,0,True,120
battery-n100,100,5,2092,2707,2707,615,29.41,5653,0,True,120
battery-n100,100,6,1972,2587,2587,615,31.21,5653,0,True,120
battery-n200,200,1,5900,7620,7620,1720,29.15,31620,1,False,120
battery-n200,200,2,5130,6816,6816,1686,32.87,29648,1,False,120
battery-n200,200,3,4730,6416,6416,1686,35.65,29648,1,False,120
battery-n200,200,4,4541,6202,6202,1662,36.6,29315,1,False,120
battery-n200,200,5,4404,6005,6005,1600,36.33,17002,2,False,120
battery-n200,200,6,4292,5863,5863,1571,36.6,17002,2,False,120
battery-n400,400,1,9530,12634,12634,3104,32.57,60634,1,False,120
battery-n400,400,2,8936,12040,12040,3104,34.74,51318,1,False,120
battery-n400,400,3,8453,11517,11517,3064,36.24,51318,1,False,120
battery-n400,400,4,8053,10997,10997,2945,36.57,49771,1,False,120
battery-n400,400,5,7666,10611,10611,2945,38.41,49771,1,False,120
battery-n400,400,6,7477,10303,10303,2825,37.79,31937,2,False,120
battery-n800,800,1,14989,19716,19716,4727,31.54,115716,1,False,120
battery-n800,800,2,14551,19122,19122,4571,31.41,84859,2,False,120
battery-n800,800,3,14138,18612,18612,4475,31.65,84859,2,False,120
battery-n800,800,4,13738,18105,18105,4368,31.79,80130,2,False,120
battery-n800,800,5,13370,17733,17733,4362,32.63,80130,2,False,120
battery-n800,800,6,13171,17424,17424,4254,32.3,42857,3,False,120
battery-n1000,1000,1,17990,24716,24716,6726,37.39,144716,1,False,120
battery-n1000,1000,2,17577,24207,24207,6629,37.72,102143,2,False,120
battery-n1000,1000,3,17177,23724,23724,6547,38.11,92988,2,False,120
battery-n1000,1000,4,16810,23292,23292,6482,38.56,92988,2,False,120
battery-n1000,1000,5,16621,22891,22891,6270,37.72,92988,2,False,120
battery-n1000,1000,6,16450,22658,22658,6208,37.74,86302,2,False,120
battery-sparse-n250,250,1,12436,15298,15298,2862,23.01,45298,1,False,120
battery-sparse-n250,250,2,11934,14796,14796,2862,23.98,28673,2,False,120
battery-sparse-n250,250,3,11561,14423,14423,2862,24.75,28673,2,False,120
battery-sparse-n250,250,4,11344,14155,14155,2810,24.77,20217,2,False,120
battery-sparse-n250,250,5,11132,13901,13901,2768,24.87,20217,1,False,120
battery-sparse-n250,250,6,10927,13653,13653,2726,24.95,20217,1,False,120
battery-sparse-n500,500,1,15215,19785,19785,4570,30.04,79785,1,False,120
battery-sparse-n500,500,2,14721,19292,19292,4570,31.05,51899,2,False,120
battery-sparse-n500,500,3,14349,18919,18919,4570,31.85,51899,2,False,120
battery-sparse-n500,500,4,14148,18673,18673,4525,31.98,32239,3,False,120
battery-sparse-n500,500,5,13959,18428,18428,4469,32.02,31874,3,False,120
battery-sparse-n500,500,6,13783,18211,18211,4428,32.13,26900,4,False,120
reference-n1607,1607,1,42837,55644,55644,12807,29.9,248484,1,False,600
reference-n1607,1607,2,36051,48858,48858,12807,35.52,241578,1,False,600
reference-n1607,1607,3,35259,47685,47685,12426,35.24,240131,1,False,600
reference-n1607,1607,4,34759,46824,46824,12065,34.71,215520,2,False,600
reference-n1607,1607,5,34370,45985,45985,11615,33.79,215520,2,False,600
reference-n1607,1607,6,33995,45394,45394,11399,33.53,118132,3,False,600
reference-n1607,1607,7,33663,44894,44894,11230,33.36,118132,3,False,600
reference-n1607,1607,8,33358,44435,44435,11078,33.21,118132,3,False,600
reference-n1607,1607,9,33095,44040,44040,10946,33.07,118132,3,False,600
reference-n1607,1607,10,32883,43651,43651,10768,32.75,112386,3,False,600
reference-n1607,1607,11,32679,43267,43267,10588,32.4,96797,4,False,600
reference-n1607,1607,12,32504,42904,42904,10400,32.0,96797,5,False,600
reference-n1607,1607,13,32344,42557,42557,10213,31.58,77497,6,False,600
reference-n1607,1607,14,32189,42226,42226,10037,31.18,77497,6,False,600
reference-n1607,1607,15,32036,41944,41944,9908,30.93,77497,6,False,600
reference-n1607,1607,16,31887,41665,41665,9778,30.66,77497,6,False,600
reference-n1607,1607,17,31751,41429,41429,9678,30.48,77497,6,False,600
reference-n1607,1607,18,31623,41196,41196,9574,30.27,77497,6,False,600
reference-n1607,1607,19,31500,40971,40971,9472,30.07,64503,7,False,600
reference-n1607,1607,20,31377,40749,40749,9372,29.87,42581,8,False,600
reference-n1607,1607,21,31260,40532,40532,9272,29.66,40408,8,False,600
reference-n1607,1607,22,31147,40320,40320,9173,29.45,40408,8,False,600
reference-n1607,1607,23,31037,40110,40110,9073,29.23,40408,8,False,600
reference-n1607,1607,24,30928,39900,39900,8973,29.01,40408,8,False,600
reference-n1607,1607,25,30823,39695,39695,8872,28.78,40408,8,False,600
reference-n1607,1607,26,30719,39491,39491,8772,28.55,40408,8,False,600
reference-n1607,1607,27,30616,39287,39287,8671,28.32,40408,8,False,600
reference-n1607,1607,28,30516,39091,39091,8576,28.1,40408,8,False,600
reference-n1607,1607,29,30416,38897,38897,8481,27.88,40408,8,False,600
reference-n1607,1607,30,30318,38708,38708,8389,27.67,40408,8,False,600
