instance,n,k,msf_k_sec,ub_k_sec,ub_k_directed_sec,gap_sec,gap_pct,ub_max_route_dur_sec,ub_routes_over_tmax,ub_tmax_feasible,tsp_time_limit_sec
area-26-n157,157,1,4256,5131,5131,875,20.56,23971,1,False,30
area-27-n72,72,1,1303,1425,1425,122,9.35,10065,0,True,30
area-29-n43,43,1,789,955,955,166,21.09,6115,0,True,30
battery-n50,50,1,2746,3266,3266,520,18.95,9266,0,True,30
battery-n100,100,1,3371,4065,4065,694,20.57,16065,1,False,30
battery-n200,200,1,5900,7653,7653,1753,29.7,31653,1,False,30
battery-n400,400,1,9530,12634,12634,3104,32.57,60634,1,False,30
battery-n800,800,1,14989,19913,19913,4924,32.85,115913,1,False,30
battery-n1000,1000,1,17990,24830,24830,6840,38.02,144830,1,False,30
battery-sparse-n250,250,1,12436,15298,15298,2862,23.01,45298,1,False,30
battery-sparse-n500,500,1,15215,19787,19787,4572,30.05,79787,1,False,30
reference-n1607,1607,1,42837,58150,58150,15313,35.75,250990,1,False,30
