source,instance,n,cell,seed,k,travel_sec,relleno_sec,msf_k_sec,relleno_msf_sec,ub_k_sec,relleno_ub_sec
sweep-metrology-20260720-h2h-actual.csv,battery-n50,50,actual,1,2,8378,6354,1975,6403,2414,5964
sweep-metrology-20260720-h2h-actual.csv,battery-n50,50,actual,2,2,8385,6361,1975,6410,2414,5971
sweep-metrology-20260720-h2h-actual.csv,battery-n50,50,actual,3,2,8385,6361,1975,6410,2414,5971
sweep-metrology-20260720-h2h-actual.csv,battery-n50,50,actual,4,2,8385,6361,1975,6410,2414,5971
sweep-metrology-20260720-h2h-actual.csv,battery-n50,50,actual,5,2,8420,6396,1975,6445,2414,6006
sweep-metrology-20260720-h2h-actual.csv,battery-n100,100,actual,1,2,4268,1808,2601,1667,3239,1029
sweep-metrology-20260720-h2h-actual.csv,battery-n100,100,actual,2,2,4698,2238,2601,2097,3239,1459
sweep-metrology-20260720-h2h-actual.csv,battery-n100,100,actual,3,2,4292,1832,2601,1691,3239,1053
sweep-metrology-20260720-h2h-actual.csv,battery-n100,100,actual,4,2,4186,1726,2601,1585,3239,947
sweep-metrology-20260720-h2h-actual.csv,battery-n100,100,actual,5,2,4126,1666,2601,1525,3239,887
sweep-metrology-20260720-h2h-actual.csv,battery-n200,200,actual,1,4,7992,4514,4541,3451,6202,1790
sweep-metrology-20260720-h2h-actual.csv,battery-n200,200,actual,2,4,7877,4399,4541,3336,6202,1675
sweep-metrology-20260720-h2h-actual.csv,battery-n200,200,actual,3,4,8029,4551,4541,3488,6202,1827
sweep-metrology-20260720-h2h-actual.csv,battery-n200,200,actual,4,4,7672,4194,4541,3131,6202,1470
sweep-metrology-20260720-h2h-actual.csv,battery-n200,200,actual,5,4,7832,4354,4541,3291,6202,1630
sweep-metrology-20260720-h2h-actual.csv,battery-n400,400,actual,1,7,15412,9894,7314,8098,,
sweep-metrology-20260720-h2h-actual.csv,battery-n400,400,actual,2,7,14086,8568,7314,6772,,
sweep-metrology-20260720-h2h-actual.csv,battery-n400,400,actual,3,7,14947,9429,7314,7633,,
sweep-metrology-20260720-h2h-actual.csv,battery-n400,400,actual,4,7,13864,8346,7314,6550,,
sweep-metrology-20260720-h2h-actual.csv,battery-n400,400,actual,5,6,12177,6645,7477,4700,10303,1874
sweep-metrology-20260720-h2h-actual.csv,battery-n800,800,actual,1,12,21305,12342,12392,8913,,
sweep-metrology-20260720-h2h-actual.csv,battery-n800,800,actual,2,12,23133,14170,12392,10741,,
sweep-metrology-20260720-h2h-actual.csv,battery-n800,800,actual,3,12,20891,11928,12392,8499,,
sweep-metrology-20260720-h2h-actual.csv,battery-n800,800,actual,4,12,24323,15360,12392,11931,,
sweep-metrology-20260720-h2h-actual.csv,battery-n800,800,actual,5,12,23767,14804,12392,11375,,
